Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/01/2008 01,08/01/2008 05,0.4,83132.098,6625.9,2650.36,6625.9
08/01/2008 02,08/01/2008 06,0.38,78123.402,6760.8,2569.12,6760.8
08/01/2008 03,08/01/2008 07,0.25,74567.822,6737.3,1684.48,6737.3
08/01/2008 04,08/01/2008 08,0.25,72511.386,6737.9,1684.65,6737.9
08/01/2008 05,08/01/2008 09,0.25,72103.31,6738.4,1684.71,6738.4
08/01/2008 06,08/01/2008 10,0.25,74800.375,6736.5,1684.23,6736.5
08/01/2008 07,08/01/2008 11,0.38,79238.965,6715.2,2551.76,6715.2
08/01/2008 08,08/01/2008 12,0.38,85047.084,6719.3,2553.35,6719.3
08/01/2008 09,08/01/2008 13,0.43,92035.324,6712.6,2886.45,6712.6
08/01/2008 10,08/01/2008 14,0.43,99023.381,6767.6,2910.12,6767.6
08/01/2008 11,08/01/2008 15,0.43,105757.476,6776.6,2913.97,6776.6
08/01/2008 12,08/01/2008 16,0.43,111258.24,6781.8,2916.17,6781.8
08/01/2008 13,08/01/2008 17,0.44,115096.231,6798.4,2991.32,6798.4
08/01/2008 14,08/01/2008 18,0.44,118175.052,6831.3,3005.79,6831.3
08/01/2008 15,08/01/2008 19,0.97,120532.511,6833.6,6628.65,6833.6
08/01/2008 16,08/01/2008 20,1.5,121868.635,6835.7,10253.55,6835.7
08/01/2008 17,08/01/2008 21,1.5,122214.537,6840.6,10260.9,6840.6
08/01/2008 18,08/01/2008 22,1,121434.944,6826.899,6826.9,6826.899
08/01/2008 19,08/01/2008 23,0.44,118636.136,6797.7,2991.01,6797.7
08/01/2008 20,08/02/2008 00,0.43,113851.105,6807.6,2927.26,6807.6
08/01/2008 21,08/02/2008 01,0.43,109982.607,6804.7,2926.02,6804.7
08/01/2008 22,08/02/2008 02,0.43,107295.622,6789,2919.27,6789
08/01/2008 23,08/02/2008 03,0.43,100208.955,6800.8,2924.39,6800.8
08/01/2008 24,08/02/2008 04,0.43,91548.044,6751,2902.96,6751
08/02/2008 01,08/02/2008 05,0.25,83905.211,5606.9,1401.81,5606.9
08/02/2008 02,08/02/2008 06,0.25,78402.802,5721.9,1430.64,5721.9
08/02/2008 03,08/02/2008 07,0.25,74331.472,5711,1427.85,5711
08/02/2008 04,08/02/2008 08,0.25,71602.602,5741.7,1435.62,5741.7
08/02/2008 05,08/02/2008 09,0.25,70063.756,5741.6,1435.5,5741.6
08/02/2008 06,08/02/2008 10,0.25,69946.863,5741.5,1435.49,5741.5
08/02/2008 07,08/02/2008 11,0.25,70586.338,5680.7,1420.33,5680.7
08/02/2008 08,08/02/2008 12,0.25,73019.315,5722.7,1430.75,5722.7
08/02/2008 09,08/02/2008 13,0.25,78624.5,5569,1392.35,5569
08/02/2008 10,08/02/2008 14,0.38,84715.959,5732.4,2178.32,5732.4
08/02/2008 11,08/02/2008 15,0.43,89950.804,5698.9,2450.56,5698.9
08/02/2008 12,08/02/2008 16,0.43,94145.795,5689.4,2446.47,5689.4
08/02/2008 13,08/02/2008 17,0.43,97309.87,5674.6,2440.1,5674.6
08/02/2008 14,08/02/2008 18,0.43,99489.024,5647,2428.2,5647
08/02/2008 15,08/02/2008 19,0.43,100974.363,5643,2426.48,5643
08/02/2008 16,08/02/2008 20,0.44,102464.465,5630.4,2477.37,5630.4
08/02/2008 17,08/02/2008 21,0.44,103113.164,5630.4,2477.36,5630.4
08/02/2008 18,08/02/2008 22,0.43,102564.486,5651.1,2429.98,5651.1
08/02/2008 19,08/02/2008 23,0.43,100557.246,5676,2440.71,5676
08/02/2008 20,08/03/2008 00,0.43,96658.439,5678.9,2441.95,5678.9
08/02/2008 21,08/03/2008 01,0.43,93834.836,5716.3,2458.05,5716.3
08/02/2008 22,08/03/2008 02,0.43,91851.195,5711.4,2455.94,5711.4
08/02/2008 23,08/03/2008 03,0.38,86309.012,5746.8,2183.78,5746.8
08/02/2008 24,08/03/2008 04,0.38,79525.881,5478.5,2081.82,5478.5
08/03/2008 01,08/03/2008 05,0.25,73361.053,5602.2,1400.6,5602.2
08/03/2008 02,08/03/2008 06,0.25,68607.011,5751.2,1437.96,5751.2
08/03/2008 03,08/03/2008 07,0.25,65164.825,5752.4,1438.22,5752.4
08/03/2008 04,08/03/2008 08,0.25,62826,5811.7,1453.01,5811.7
08/03/2008 05,08/03/2008 09,0.25,61611.913,5811.9,1453.08,5811.9
08/03/2008 06,08/03/2008 10,0.25,61282.971,5811.9,1453.08,5811.9
08/03/2008 07,08/03/2008 11,0.25,61058.364,5798.8,1449.79,5798.8
08/03/2008 08,08/03/2008 12,0.25,63394.814,5829.3,1457.4,5829.3
08/03/2008 09,08/03/2008 13,0.25,69265.603,5844.3,1461.23,5844.3
08/03/2008 10,08/03/2008 14,0.25,75467.935,5847,1461.85,5847
08/03/2008 11,08/03/2008 15,0.26,80860.295,5847.2,1520.27,5847.2
08/03/2008 12,08/03/2008 16,0.38,85429.198,5693.5,2163.46,5693.5
08/03/2008 13,08/03/2008 17,0.43,89057.93,5797.4,2492.93,5797.4
08/03/2008 14,08/03/2008 18,0.43,91813.816,5799.4,2493.76,5799.4
08/03/2008 15,08/03/2008 19,0.43,94238.564,5802.5,2495.09,5802.5
