Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"September, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 11:59:09 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
09/01/2008 01,09/01/2008 05,0.23,66110.78,5619.2,1292.47,5619.2
09/01/2008 02,09/01/2008 06,0.23,62182.144,5769.8,1327.04,5769.8
09/01/2008 03,09/01/2008 07,0.23,59516.501,5786.9,1330.99,5786.9
09/01/2008 04,09/01/2008 08,0.23,57497.142,5796.4,1333.21,5796.4
09/01/2008 05,09/01/2008 09,0.23,56971.223,5797.6,1333.45,5797.6
09/01/2008 06,09/01/2008 10,0.23,57384.624,5797.7,1333.49,5797.7
09/01/2008 07,09/01/2008 11,0.23,58017.729,5780.9,1329.58,5780.9
09/01/2008 08,09/01/2008 12,0.23,58877.229,5758.1,1324.33,5758.1
09/01/2008 09,09/01/2008 13,0.23,63618.968,5747.1,1321.86,5747.1
09/01/2008 10,09/01/2008 14,0.25,70090.227,5576,1394.07,5576
09/01/2008 11,09/01/2008 15,0.25,76038.725,5467.1,1366.85,5467.1
09/01/2008 12,09/01/2008 16,0.35,81160.997,5508.7,1928.08,5508.7
09/01/2008 13,09/01/2008 17,0.35,85240.382,5701.2,1995.45,5701.2
09/01/2008 14,09/01/2008 18,0.35,88686.571,5701.4,1995.52,5701.4
09/01/2008 15,09/01/2008 19,0.35,91765.771,5701.4,1995.53,5701.4
09/01/2008 16,09/01/2008 20,0.35,94629.543,5719.8,2001.98,5719.8
09/01/2008 17,09/01/2008 21,0.5,96970.758,5750.1,2875.05,5750.1
09/01/2008 18,09/01/2008 22,0.73,97856.416,5829.7,4255.68,5829.7
09/01/2008 19,09/01/2008 23,0.35,96419.53,5810,2033.54,5810
09/01/2008 20,09/02/2008 00,0.35,93838.685,5822.5,2037.91,5822.5
09/01/2008 21,09/02/2008 01,0.35,93921.536,5822.6,2037.95,5822.6
09/01/2008 22,09/02/2008 02,0.35,89450.101,5752.3,2013.34,5752.3
09/01/2008 23,09/02/2008 03,0.25,82084.912,5579.5,1394.94,5579.5
