Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"October, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:30:01 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
10/01/2008 01,10/01/2008 05,0,60519.202,4952.5,0,4952.5
10/01/2008 02,10/01/2008 06,0,57782.035,4900,0,4900
10/01/2008 03,10/01/2008 07,0,56073.161,4900.2,0,4900.2
10/01/2008 04,10/01/2008 08,0,55346.729,4874.8,0,4874.8
10/01/2008 05,10/01/2008 09,0,56180.428,4900.8,0,4900.8
10/01/2008 06,10/01/2008 10,0,59926.201,4892.6,0,4892.6
10/01/2008 07,10/01/2008 11,0.14,67832.262,4884.2,683.78,4884.2
10/01/2008 08,10/01/2008 12,0.14,72708.316,4867.1,681.4,4867.1
10/01/2008 09,10/01/2008 13,0.14,74192.171,4884.6,683.84,4884.6
10/01/2008 10,10/01/2008 14,0.15,75956.71,4850.8,727.73,4850.8
10/01/2008 11,10/01/2008 15,0.15,77612.563,4845.3,726.94,4845.3
10/01/2008 12,10/01/2008 16,0.15,78537.313,4869.8,730.57,4869.8
10/01/2008 13,10/01/2008 17,0.15,79162.891,4915.6,737.46,4915.6
10/01/2008 14,10/01/2008 18,0.15,79379.278,4868.9,730.46,4868.9
10/01/2008 15,10/01/2008 19,0.15,78753.76,4830.3,724.62,4830.3
10/01/2008 16,10/01/2008 20,0.15,77841.631,4852.1,727.92,4852.1
10/01/2008 17,10/01/2008 21,0.15,77478.037,4875.6,731.41,4875.6
10/01/2008 18,10/01/2008 22,0.15,77114.294,4898.4,734.84,4898.4
10/01/2008 19,10/01/2008 23,0.15,77682.006,4872.5,730.99,4872.5
10/01/2008 20,10/02/2008 00,0.15,80106.499,4855.8,728.42,4855.8
10/01/2008 21,10/02/2008 01,0.15,79535.164,4910.4,736.67,4910.4
10/01/2008 22,10/02/2008 02,0.14,75916.473,4882.9,683.6,4882.9
10/01/2008 23,10/02/2008 03,0,70182.265,4892.8,0,4892.8
10/01/2008 24,10/02/2008 04,0,64004.006,4862.9,0,4862.9
10/02/2008 01,10/02/2008 05,0,59502.659,4793.4,0,4793.4
10/02/2008 02,10/02/2008 06,0,57006.51,4793.5,0,4793.5
10/02/2008 03,10/02/2008 07,0,55467.325,4793.8,0,4793.8
10/02/2008 04,10/02/2008 08,0,54768.545,4793.2,0,4793.2
10/02/2008 05,10/02/2008 09,0,55637.587,4793.8,0,4793.8
10/02/2008 06,10/02/2008 10,0,59594.464,4790.5,0,4790.5
10/02/2008 07,10/02/2008 11,0,67772.632,4788.4,0,4788.4
10/02/2008 08,10/02/2008 12,0,72623.449,4788.2,0,4788.2
10/02/2008 09,10/02/2008 13,0.14,73955.885,4811.8,673.65,4811.8
10/02/2008 10,10/02/2008 14,0.14,74998.71,4811.7,673.62,4811.7
10/02/2008 11,10/02/2008 15,0.14,75982.868,4824.3,675.42,4824.3
10/02/2008 12,10/02/2008 16,0.14,76353.165,4824.1,675.38,4824.1
10/02/2008 13,10/02/2008 17,0.14,76143.905,4824.2,675.42,4824.2
10/02/2008 14,10/02/2008 18,0.15,76064.002,4817.8,722.82,4817.8
10/02/2008 15,10/02/2008 19,0.15,75604.649,4809.1,721.44,4809.1
10/02/2008 16,10/02/2008 20,0.15,75114.194,4806.2,720.99,4806.2
10/02/2008 17,10/02/2008 21,0.15,74928.411,4806.9,721.22,4806.9
10/02/2008 18,10/02/2008 22,0.15,74698.244,4821.1,723.26,4821.1
10/02/2008 19,10/02/2008 23,0.15,75182.92,4780.2,717.12,4780.2
10/02/2008 20,10/03/2008 00,0.15,78824.387,4811.9,721.93,4811.9
10/02/2008 21,10/03/2008 01,0.15,78985.297,4812,721.9,4812
10/02/2008 22,10/03/2008 02,0.14,75107.946,4811.7,673.58,4811.7
10/02/2008 23,10/03/2008 03,0,69836.058,4791.1,0,4791.1
10/02/2008 24,10/03/2008 04,0,64255.54,4790.3,0,4790.3
10/03/2008 01,10/03/2008 05,0,59799.442,4700.1,0,4700.1
10/03/2008 02,10/03/2008 06,0,57173.542,4700.4,0,4700.4
10/03/2008 03,10/03/2008 07,0,55809.642,4674.1,0,4674.1
10/03/2008 04,10/03/2008 08,0,55277.837,4675,0,4675
10/03/2008 05,10/03/2008 09,0,56221.04,4674.8,0,4674.8
10/03/2008 06,10/03/2008 10,0,60100.908,4671.1,0,4671.1
10/03/2008 07,10/03/2008 11,0.14,68039.022,4664.8,653.05,4664.8
10/03/2008 08,10/03/2008 12,0.14,73097.715,4693.2,657.09,4693.2
10/03/2008 09,10/03/2008 13,0.14,74543.513,4707,658.96,4707
10/03/2008 10,10/03/2008 14,0.15,75202.878,4706.6,706.05,4706.6
10/03/2008 11,10/03/2008 15,0.15,76005.428,4730,709.59,4730
10/03/2008 12,10/03/2008 16,0.15,76118.131,4734.2,710.22,4734.2
10/03/2008 13,10/03/2008 17,0.15,76004.078,4642.6,696.5,4642.6
10/03/2008 14,10/03/2008 18,0.15,75821.976,4652.3,697.91,4652.3
10/03/2008 15,10/03/2008 19,0.15,75401.56,4642.7,696.53,4642.7
10/03/2008 16,10/03/2008 20,0.14,74805.941,4725.1,661.49,4725.1
10/03/2008 17,10/03/2008 21,0.14,74326.401,4724.5,661.46,4724.5
10/03/2008 18,10/03/2008 22,0.14,73680.626,4704.8,658.7,4704.8
10/03/2008 19,10/03/2008 23,0.14,73001.637,4699.8,657.97,4699.8
10/03/2008 20,10/04/2008 00,0.14,75524.323,4718.2,660.51,4718.2
10/03/2008 21,10/04/2008 01,0.14,74855.258,4716.5,660.29,4716.5
10/03/2008 22,10/04/2008 02,0.14,72293.793,4660.4,652.46,4660.4
10/03/2008 23,10/04/2008 03,0,67876.562,4670.6,0,4670.6
10/03/2008 24,10/04/2008 04,0,62854.791,4671.5,0,4671.5
10/04/2008 01,10/04/2008 05,0,58566.527,4317,0,4317
10/04/2008 02,10/04/2008 06,0,55828.847,4317.4,0,4317.4
10/04/2008 03,10/04/2008 07,0,54187.147,4316.8,0,4316.8
10/04/2008 04,10/04/2008 08,0,53441.784,4317.2,0,4317.2
10/04/2008 05,10/04/2008 09,0,53566.068,4317.2,0,4317.2
10/04/2008 06,10/04/2008 10,0,54848.184,4307.5,0,4307.5
10/04/2008 07,10/04/2008 11,0.14,57498.975,4307.1,603.01,4307.1
10/04/2008 08,10/04/2008 12,0.14,60607.781,4306.6,602.9,4306.6
10/04/2008 09,10/04/2008 13,0.14,64006.84,4306.9,603.01,4306.9
10/04/2008 10,10/04/2008 14,0.14,66955.556,4323.6,605.32,4323.6
10/04/2008 11,10/04/2008 15,0.15,68161.037,4299.4,645.06,4299.4
10/04/2008 12,10/04/2008 16,0.15,68451.048,4288.6,643.4,4288.6
10/04/2008 13,10/04/2008 17,0.15,67926.743,4282.5,642.5,4282.5
10/04/2008 14,10/04/2008 18,0.15,67270.237,4322.7,648.53,4322.7
10/04/2008 15,10/04/2008 19,0.14,66660.326,4322.8,605.18,4322.8
10/04/2008 16,10/04/2008 20,0.14,66490.573,4321.7,605.01,4321.7
10/04/2008 17,10/04/2008 21,0.14,66571.017,4321.5,605.02,4321.5
10/04/2008 18,10/04/2008 22,0.14,66563.801,4321.7,605.01,4321.7
10/04/2008 19,10/04/2008 23,0.15,67323.797,4294.1,644.27,4294.1
10/04/2008 20,10/05/2008 00,0.15,70571.578,4269.8,640.6,4269.8
10/04/2008 21,10/05/2008 01,0.15,70563.457,4291.4,643.85,4291.4
10/04/2008 22,10/05/2008 02,0.14,68245.915,4321.4,604.97,4321.4
10/04/2008 23,10/05/2008 03,0.14,64486.773,4306.9,602.95,4306.9
10/04/2008 24,10/05/2008 04,0.14,60411.478,4237.3,593.26,4237.3
10/05/2008 01,10/05/2008 05,0,56553.021,4297,0,4297
10/05/2008 02,10/05/2008 06,0,54140.086,4287.1,0,4287.1
10/05/2008 03,10/05/2008 07,0,52489.13,4287.4,0,4287.4
10/05/2008 04,10/05/2008 08,0,51773.806,4286.9,0,4286.9
10/05/2008 05,10/05/2008 09,0,51631.302,4287.2,0,4287.2
10/05/2008 06,10/05/2008 10,0,52556.893,4278.9,0,4278.9
10/05/2008 07,10/05/2008 11,0,54183.919,4276.6,0,4276.6
10/05/2008 08,10/05/2008 12,0,56463.345,4297.3,0,4297.3
10/05/2008 09,10/05/2008 13,0,59519.321,4302.2,0,4302.2
10/05/2008 10,10/05/2008 14,0.14,62410.463,4317.1,604.41,4317.1
10/05/2008 11,10/05/2008 15,0.15,64141.871,4315.6,647.51,4315.6
10/05/2008 12,10/05/2008 16,0.14,65256.049,4317.5,604.44,4317.5
10/05/2008 13,10/05/2008 17,0.14,66099.192,4377.4,612.86,4377.4
10/05/2008 14,10/05/2008 18,0.14,66400.101,4377.6,612.85,4377.6
10/05/2008 15,10/05/2008 19,0.14,66569.786,4377.1,612.82,4377.1
10/05/2008 16,10/05/2008 20,0.14,66807.953,4377.5,612.88,4377.5
10/05/2008 17,10/05/2008 21,0.14,67520.312,4377.3,612.85,4377.3
10/05/2008 18,10/05/2008 22,0.14,67895.789,4377.7,612.88,4377.7
10/05/2008 19,10/05/2008 23,0.15,68965.706,4309.2,646.56,4309.2
10/05/2008 20,10/06/2008 00,0.15,73081.976,4298.601,644.88,4298.601
10/05/2008 21,10/06/2008 01,0.15,72784.355,4377.4,656.78,4377.4
10/05/2008 22,10/06/2008 02,0.15,69493.289,4370.6,655.68,4370.6
10/05/2008 23,10/06/2008 03,0.14,65047.92,4361.1,610.58,4361.1
10/05/2008 24,10/06/2008 04,0,60228.746,4322.2,0,4322.2
10/06/2008 01,10/06/2008 05,0,56558.884,4912.4,0,4912.4
10/06/2008 02,10/06/2008 06,0,54549.835,4855.6,0,4855.6
10/06/2008 03,10/06/2008 07,0,53642.332,4855.1,0,4855.1
10/06/2008 04,10/06/2008 08,0,53319.733,4913.2,0,4913.2
10/06/2008 05,10/06/2008 09,0,54534.755,4913.1,0,4913.1
10/06/2008 06,10/06/2008 10,0.14,58748.065,4910.8,687.51,4910.8
10/06/2008 07,10/06/2008 11,0.14,67163.583,4910.7,687.5,4910.7
10/06/2008 08,10/06/2008 12,0.15,72886.999,4891.2,733.84,4891.2
10/06/2008 09,10/06/2008 13,0.15,74320.615,4936.2,740.54,4936.2
10/06/2008 10,10/06/2008 14,0.15,75704.074,4932,739.92,4932
10/06/2008 11,10/06/2008 15,0.15,76854.325,4943.8,741.68,4943.8
10/06/2008 12,10/06/2008 16,0.15,77481.756,4946,742,4946
10/06/2008 13,10/06/2008 17,0.15,77924.952,4947.4,742.27,4947.4
10/06/2008 14,10/06/2008 18,0.15,78347.215,4948,742.29,4948
10/06/2008 15,10/06/2008 19,0.15,78158.155,4947.6,742.27,4947.6
10/06/2008 16,10/06/2008 20,0.15,77637.921,4947.4,742.27,4947.4
10/06/2008 17,10/06/2008 21,0.19,77462.257,4947.2,939.98,4947.2
10/06/2008 18,10/06/2008 22,0.15,77099.602,4855.3,728.39,4855.3
10/06/2008 19,10/06/2008 23,0.19,77426.992,4840.7,919.78,4840.7
10/06/2008 20,10/07/2008 00,0.22,80867.752,4936.3,1085.96,4936.3
10/06/2008 21,10/07/2008 01,0.15,79926.701,4936.2,740.55,4936.2
10/06/2008 22,10/07/2008 02,0.15,75922.262,4912.4,736.95,4912.4
10/06/2008 23,10/07/2008 03,0.15,70078.505,4894.5,734.34,4894.5
10/06/2008 24,10/07/2008 04,0.14,64115.704,4910.7,687.5,4910.7
10/07/2008 01,10/07/2008 05,0,59613.346,4883.4,0,4883.4
10/07/2008 02,10/07/2008 06,0,57236.185,4852.8,0,4852.8
10/07/2008 03,10/07/2008 07,0,55946.836,4854.9,0,4854.9
10/07/2008 04,10/07/2008 08,0,55447.38,4884.2,0,4884.2
10/07/2008 05,10/07/2008 09,0,56612.401,4883,0,4883
10/07/2008 06,10/07/2008 10,0.14,60901.153,4878.3,682.97,4878.3
10/07/2008 07,10/07/2008 11,0.14,69095.215,4878.3,682.95,4878.3
10/07/2008 08,10/07/2008 12,0.15,74030.637,4870.8,730.75,4870.8
10/07/2008 09,10/07/2008 13,0.14,75106.676,4840.9,677.73,4840.9
10/07/2008 10,10/07/2008 14,0.15,75562.48,4819.5,723,4819.5
10/07/2008 11,10/07/2008 15,0.15,76325.939,4798.2,719.92,4798.2
10/07/2008 12,10/07/2008 16,0.15,76678.231,4796.1,719.54,4796.1
10/07/2008 13,10/07/2008 17,0.15,76753.288,4890.1,733.58,4890.1
10/07/2008 14,10/07/2008 18,0.15,76953.265,4894.2,734.25,4894.2
10/07/2008 15,10/07/2008 19,0.15,76884.896,4902.4,735.49,4902.4
10/07/2008 16,10/07/2008 20,0.15,76494.675,4893.4,734.09,4893.4
10/07/2008 17,10/07/2008 21,0.15,76363.971,4898.1,734.8,4898.1
10/07/2008 18,10/07/2008 22,0.15,76467.235,4830.7,724.78,4830.7
10/07/2008 19,10/07/2008 23,0.15,77516.514,4883,732.57,4883
10/07/2008 20,10/08/2008 00,0.15,80944.98,4893.8,734.18,4893.8
10/07/2008 21,10/08/2008 01,0.15,79875.814,4894,734.21,4894
10/07/2008 22,10/08/2008 02,0.14,75969.045,4814.3,674.03,4814.3
10/07/2008 23,10/08/2008 03,0.14,70350.434,4616.6,646.3,4616.6
10/07/2008 24,10/08/2008 04,0,64440.873,4644.9,0,4644.9
10/08/2008 01,10/08/2008 05,0.13,60080.546,4645.2,603.9,4645.2
10/08/2008 02,10/08/2008 06,0.13,57543.187,4798.3,623.79,4798.3
10/08/2008 03,10/08/2008 07,0,56296.527,4798.8,0,4798.8
10/08/2008 04,10/08/2008 08,0,55909.235,4799.1,0,4799.1
