Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:49:46 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/01/2008 01,11/01/2008 05,0.09,61795.998,4412.6,397.15,4412.6
11/01/2008 02,11/01/2008 06,0,59538.268,4449.5,0,4449.5
11/01/2008 03,11/01/2008 07,0,58497.868,4449.3,0,4449.3
11/01/2008 04,11/01/2008 08,0,58012.829,4449.5,0,4449.5
11/01/2008 05,11/01/2008 09,0,58407.314,4448.7,0,4448.7
11/01/2008 06,11/01/2008 10,0.09,60139.86,4447.2,400.27,4447.2
11/01/2008 07,11/01/2008 11,0.09,63095.861,4447.4,400.28,4447.4
11/01/2008 08,11/01/2008 12,0.1,66582.607,4400.1,440.01,4400.1
11/01/2008 09,11/01/2008 13,0.1,69293.941,4415.7,441.57,4415.7
11/01/2008 10,11/01/2008 14,0.1,70599.578,4430.5,443.05,4430.5
11/01/2008 11,11/01/2008 15,0.1,70724.693,4422.3,442.23,4422.3
11/01/2008 12,11/01/2008 16,0.1,69841.577,4412.6,441.26,4412.6
11/01/2008 13,11/01/2008 17,0.1,68655.52,4405.9,440.59,4405.9
11/01/2008 14,11/01/2008 18,0.09,67351.69,4466,401.98,4466
11/01/2008 15,11/01/2008 19,0.09,66353.473,4406,396.59,4406
11/01/2008 16,11/01/2008 20,0.09,65858.816,4316.3,388.48,4316.3
11/01/2008 17,11/01/2008 21,0.09,66073.989,4316.4,388.52,4316.4
11/01/2008 18,11/01/2008 22,0.1,67184.544,4293.4,429.34,4293.4
11/01/2008 19,11/01/2008 23,0.1,70487.321,4389.4,438.94,4389.4
11/01/2008 20,11/02/2008 00,0.1,72042.257,4462.2,446.22,4462.2
11/01/2008 21,11/02/2008 01,0.1,70683.337,4462,446.2,4462
11/01/2008 22,11/02/2008 02,0.1,68545.424,4399.3,439.93,4399.3
11/01/2008 23,11/02/2008 03,0.09,65478.233,4378.4,394.09,4378.4
11/01/2008 24,11/02/2008 04,0,61917.746,4352.1,0,4352.1
11/02/2008 01,11/02/2008 05,0,58310.234,4322.5,0,4322.5
11/02/2008 02,11/02/2008 06,0,56150.964,4465.8,0,4465.8
11/02/2008 02,11/02/2008 07,0,55248.226,4465.3,0,4465.3
11/02/2008 03,11/02/2008 08,0,54179.536,4194.6,0,4194.6
11/02/2008 04,11/02/2008 09,0,54162.03,4196.6,0,4196.6
11/02/2008 05,11/02/2008 10,0,54517.628,4194.2,0,4194.2
11/02/2008 06,11/02/2008 11,0,55928.556,4173.8,0,4173.8
11/02/2008 07,11/02/2008 12,0,58540.542,4393.2,0,4393.2
11/02/2008 08,11/02/2008 13,0.09,61799.88,4462,401.61,4462
11/02/2008 09,11/02/2008 14,0.09,64671.909,4462.5,401.7,4462.5
11/02/2008 10,11/02/2008 15,0.09,66106.713,4416.7,397.52,4416.7
11/02/2008 11,11/02/2008 16,0.09,66136.001,4416.8,397.53,4416.8
11/02/2008 12,11/02/2008 17,0.09,65802.822,4286.9,385.86,4286.9
11/02/2008 13,11/02/2008 18,0.09,65283.961,4317,388.57,4317
11/02/2008 14,11/02/2008 19,0,64760.707,4320.3,0,4320.3
11/02/2008 15,11/02/2008 20,0,64820.094,4325.8,0,4325.8
11/02/2008 16,11/02/2008 21,0,64926.683,4325.6,0,4325.6
11/02/2008 17,11/02/2008 22,0,67219.096,4353.3,0,4353.3
11/02/2008 18,11/02/2008 23,0.1,72728.741,4477.2,447.72,4477.2
11/02/2008 19,11/03/2008 00,0.1,75149.326,4476.6,447.66,4476.6
11/02/2008 20,11/03/2008 01,0.1,74204.472,4476.5,447.65,4476.5
11/02/2008 21,11/03/2008 02,0.1,72639.216,4477,447.7,4477
11/02/2008 22,11/03/2008 03,0.09,69565.45,4468.6,402.18,4468.6
11/02/2008 23,11/03/2008 04,0,65185.848,4312.3,0,4312.3
11/02/2008 24,11/03/2008 05,0,61969.198,4423.1,0,4423.1
11/03/2008 01,11/03/2008 06,0,58202.333,4770.9,0,4770.9
11/03/2008 02,11/03/2008 07,0,56697.475,4770.9,0,4770.9
11/03/2008 03,11/03/2008 08,0,56201.345,4770.3,0,4770.3
11/03/2008 04,11/03/2008 09,0,56292.677,4769.6,0,4769.6
11/03/2008 05,11/03/2008 10,0,58089.37,4765.6,0,4765.6
11/03/2008 06,11/03/2008 11,0.09,63076.97,4692.1,422.34,4692.1
11/03/2008 07,11/03/2008 12,0.1,71240.599,4540.6,454.06,4540.6
11/03/2008 08,11/03/2008 13,0.1,75993.308,4636.8,463.68,4636.8
