Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"December, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 03:51:48 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
12/31/2008 19,01/01/2009 00,0.25,97498.777,4095,1023.83,4095
12/31/2008 20,01/01/2009 01,0.19,95414.994,4099.3,778.89,4099.3
12/31/2008 21,01/01/2009 02,0.1,92871.358,4166.8,416.68,4166.8
12/31/2008 22,01/01/2009 03,0.1,90072.928,4229.3,422.93,4229.3
12/31/2008 23,01/01/2009 04,0.1,86977.763,4204.7,420.47,4204.7
12/31/2008 24,01/01/2009 05,0.1,84142.112,4214.3,421.43,4214.3
12/01/2008 01,12/01/2008 06,0.05,65508.257,4926.6,246.39,4926.6
12/01/2008 02,12/01/2008 07,0.05,63409.05,4920.6,246.1,4920.6
12/01/2008 03,12/01/2008 08,0.05,62835.016,4942.2,247.17,4942.2
12/01/2008 04,12/01/2008 09,0.05,62858.447,4930.5,246.61,4930.5
12/01/2008 05,12/01/2008 10,0.05,64782.312,4975.9,248.88,4975.9
12/01/2008 06,12/01/2008 11,0,69921.991,5029.2,0,5029.2
12/01/2008 07,12/01/2008 12,0.1,77939.319,4973.7,497.37,4973.7
12/01/2008 08,12/01/2008 13,0.1,83157.766,5008.2,500.82,5008.2
12/01/2008 09,12/01/2008 14,0.1,84101.838,5020,502,5020
12/01/2008 10,12/01/2008 15,0.1,84521.79,5010.1,501.01,5010.1
12/01/2008 11,12/01/2008 16,0.1,84778.028,5005.4,500.54,5005.4
12/01/2008 12,12/01/2008 17,0.1,84574.574,4992.7,499.27,4992.7
12/01/2008 13,12/01/2008 18,0.09,84136.871,4996.7,449.71,4996.7
12/01/2008 14,12/01/2008 19,0.09,83809.586,5029.5,452.68,5029.5
12/01/2008 15,12/01/2008 20,0.09,83433.594,4993.9,449.49,4993.9
12/01/2008 16,12/01/2008 21,0.09,83531.458,4994.4,449.54,4994.4
12/01/2008 17,12/01/2008 22,0.09,86345.732,5027,452.47,5027
12/01/2008 18,12/01/2008 23,0.1,93153.59,4980.5,498.05,4980.5
12/01/2008 19,12/02/2008 00,0.1,94725.716,4984.7,498.47,4984.7
12/01/2008 20,12/02/2008 01,0.1,94000.074,4991.7,499.17,4991.7
12/01/2008 21,12/02/2008 02,0.1,92346.877,5016.9,501.69,5016.9
12/01/2008 22,12/02/2008 03,0.09,88835.311,5027.2,452.49,5027.2
12/01/2008 23,12/02/2008 04,0.1,83069.057,5009.8,500.98,5009.8
12/01/2008 24,12/02/2008 05,0.09,77088.758,5006.5,450.61,5006.5
12/02/2008 01,12/02/2008 06,0.09,72810.415,5316.4,478.51,5316.4
12/02/2008 02,12/02/2008 07,0.09,70795.092,5324.4,479.22,5324.4
12/02/2008 03,12/02/2008 08,0.09,69911.533,5324.4,479.21,5324.4
12/02/2008 04,12/02/2008 09,0.09,70132.68,5324.6,479.25,5324.6
12/02/2008 05,12/02/2008 10,0.1,71962.624,5322.8,532.28,5322.8
12/02/2008 06,12/02/2008 11,0.1,77204.809,5318.2,531.82,5318.2
