Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"January, 2009 ",Report Creation Timestamp (EPT):, 07/06/2010 07:09:36 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/01/2009 01,01/01/2009 06,0.09,81354.884,4980.9,448.32,4980.9
01/01/2009 02,01/01/2009 07,0.09,79295.031,5293.1,476.39,5293.1
01/01/2009 03,01/01/2009 08,0.09,77816.48,5293.5,476.46,5293.5
01/01/2009 04,01/01/2009 09,0.09,77127.913,5355.7,482.06,5355.7
01/01/2009 05,01/01/2009 10,0.09,77500.568,5356.2,482.09,5356.2
01/01/2009 06,01/01/2009 11,0.09,78972.723,5356.4,482.12,5356.4
01/01/2009 07,01/01/2009 12,0.09,80966.307,5356.1,482.05,5356.1
01/01/2009 08,01/01/2009 13,0.1,82025.958,5356,535.6,5356
01/01/2009 09,01/01/2009 14,0.1,82476.827,5371.4,537.14,5371.4
01/01/2009 10,01/01/2009 15,0.1,83164.023,5371,537.1,5371
01/01/2009 11,01/01/2009 16,0.1,83702.721,5371.4,537.14,5371.4
01/01/2009 12,01/01/2009 17,0.1,83421.152,5370.9,537.09,5370.9
01/01/2009 13,01/01/2009 18,0.09,82167.886,5371.4,483.41,5371.4
01/01/2009 14,01/01/2009 19,0.09,80436.978,5371,483.45,5371
01/01/2009 15,01/01/2009 20,0.09,78878.02,5371.1,483.39,5371.1
01/01/2009 16,01/01/2009 21,0.09,78442.472,5371,483.38,5371
01/01/2009 17,01/01/2009 22,0.1,81017.544,5366,536.6,5366
01/01/2009 18,01/01/2009 23,0.19,88366.52,5318.9,1010.58,5318.9
01/01/2009 19,01/02/2009 00,0.22,90901.299,5342,1175.23,5342
01/01/2009 20,01/02/2009 01,0.1,90674.254,5379.4,537.94,5379.4
01/01/2009 21,01/02/2009 02,0.19,89738.919,5309.2,1008.74,5309.2
01/01/2009 22,01/02/2009 03,0.1,87776.401,5367.7,536.77,5367.7
01/01/2009 23,01/02/2009 04,0.1,84269.639,5351.1,535.11,5351.1
