Preliminary Day-ahead Scheduling Reserve Summary
Month:,"March, 2009" ,Report Creation Timestamp (EPT):, 08/03/2012 10:28:28 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
03/01/2009 01,03/01/2009 06,.050,71505.769000,5147.000,257.42,5147.000
03/01/2009 02,03/01/2009 07,.050,69619.937000,5140.000,257.11,5140.000
03/01/2009 03,03/01/2009 08,.050,68820.331000,5140.300,257.15,5140.300
03/01/2009 04,03/01/2009 09,.050,68694.210000,5140.300,257.12,5140.300
03/01/2009 05,03/01/2009 10,.030,69037.021000,5038.900,151.20,5038.900
03/01/2009 06,03/01/2009 11,.030,70742.107000,5210.700,156.35,5210.700
03/01/2009 07,03/01/2009 12,.050,72752.932000,4990.300,249.62,4990.300
03/01/2009 08,03/01/2009 13,.050,75036.246000,5229.100,261.56,5229.100
03/01/2009 09,03/01/2009 14,.070,78093.015000,5216.200,365.18,5216.200
03/01/2009 10,03/01/2009 15,.070,80269.350000,5241.800,366.96,5241.800
03/01/2009 11,03/01/2009 16,.070,80910.396000,5241.700,366.93,5241.700
03/01/2009 12,03/01/2009 17,.070,80793.992000,5206.800,364.50,5206.800
03/01/2009 13,03/01/2009 18,.070,80318.099000,5151.700,360.63,5151.700
03/01/2009 14,03/01/2009 19,.050,79502.649000,5151.900,257.74,5151.900
03/01/2009 15,03/01/2009 20,.050,79099.887000,5152.100,257.76,5152.100
03/01/2009 16,03/01/2009 21,.050,79398.495000,5151.700,257.68,5151.700
03/01/2009 17,03/01/2009 22,.050,81073.387000,5151.600,257.67,5151.600
03/01/2009 18,03/01/2009 23,.070,84343.547000,5206.800,364.49,5206.800
03/01/2009 19,03/02/2009 00,.100,88479.334000,5206.500,520.65,5206.500
03/01/2009 20,03/02/2009 01,.150,89984.929000,5206.500,781.13,5206.500
03/01/2009 21,03/02/2009 02,.150,88976.419000,5207.000,781.17,5207.000
03/01/2009 22,03/02/2009 03,.100,86544.762000,5206.600,520.66,5206.600
03/01/2009 23,03/02/2009 04,.070,82587.198000,5145.900,360.24,5145.900
03/01/2009 24,03/02/2009 05,.050,79048.569000,5145.800,257.43,5145.800
03/02/2009 01,03/02/2009 06,.070,76244.484000,4983.100,348.87,4983.100
