Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"April, 2009 ",Report Creation Timestamp (EPT):, 07/07/2010 01:50:56 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/01/2009 01,04/01/2009 05,0,60619.435,4680,0,4680
04/01/2009 02,04/01/2009 06,0,58494.787,4661.3,0,4661.3
04/01/2009 03,04/01/2009 07,0,57547.748,4763.6,0,4763.6
04/01/2009 04,04/01/2009 08,0,57421.274,4664.5,0,4664.5
04/01/2009 05,04/01/2009 09,0,58714.833,4594.8,0,4594.8
04/01/2009 06,04/01/2009 10,0,63026.492,4710.7,0,4710.7
04/01/2009 07,04/01/2009 11,0,71667.668,4806.5,0,4806.5
04/01/2009 08,04/01/2009 12,0.05,76872.838,4802.6,240.25,4802.6
04/01/2009 09,04/01/2009 13,0.05,77452.431,4803,240.31,4803
04/01/2009 10,04/01/2009 14,0.04,77773.622,4802.3,192.1,4802.3
04/01/2009 11,04/01/2009 15,0.04,78066.878,4802.4,192.08,4802.4
04/01/2009 12,04/01/2009 16,0.04,77522.937,4708.5,188.34,4708.5
04/01/2009 13,04/01/2009 17,0.04,76926.454,4753,190.14,4753
04/01/2009 14,04/01/2009 18,0.04,76355.306,4738.7,189.55,4738.7
04/01/2009 15,04/01/2009 19,0,75307.512,4816.2,0,4816.2
04/01/2009 16,04/01/2009 20,0,74502.254,4783.6,0,4783.6
04/01/2009 17,04/01/2009 21,0,74349.11,4733.7,0,4733.7
04/01/2009 18,04/01/2009 22,0,74494.23,4814.1,0,4814.1
04/01/2009 19,04/01/2009 23,0,74646.455,4779.2,0,4779.2
04/01/2009 20,04/02/2009 00,0.04,75888.658,4774.4,190.96,4774.4
04/01/2009 21,04/02/2009 01,0.05,77875.488,4760.1,238.12,4760.1
04/01/2009 22,04/02/2009 02,0,75287.867,4793,0,4793
04/01/2009 23,04/02/2009 03,0,70210.241,4749.7,0,4749.7
04/01/2009 24,04/02/2009 04,0,64730.965,4802,0,4802
04/02/2009 01,04/02/2009 05,0,60521.449,4680.6,0,4680.6
04/02/2009 02,04/02/2009 06,0,58367.586,4691.6,0,4691.6
04/02/2009 03,04/02/2009 07,0,57374.528,4691.1,0,4691.1
04/02/2009 04,04/02/2009 08,0,57001.236,4691.9,0,4691.9
04/02/2009 05,04/02/2009 09,0,58061.195,4544.2,0,4544.2
04/02/2009 06,04/02/2009 10,0,62558.334,4575.2,0,4575.2
04/02/2009 07,04/02/2009 11,0,71024.491,4708.1,0,4708.1
04/02/2009 08,04/02/2009 12,0.05,75543.741,4463.3,223.22,4463.3
04/02/2009 09,04/02/2009 13,0.05,76325.407,4589.9,229.6,4589.9
04/02/2009 10,04/02/2009 14,0.04,76228.215,4590.6,183.62,4590.6
04/02/2009 11,04/02/2009 15,0.05,76056.203,4530.2,226.62,4530.2
04/02/2009 12,04/02/2009 16,0.04,75331.259,4560.3,182.41,4560.3
04/02/2009 13,04/02/2009 17,0.04,74675.232,4605.8,184.23,4605.8
04/02/2009 14,04/02/2009 18,0.04,74120.969,4555.2,182.23,4555.2
04/02/2009 15,04/02/2009 19,0.04,73350.737,4719.2,188.82,4719.2
04/02/2009 16,04/02/2009 20,0,72570.034,4679.5,0,4679.5
04/02/2009 17,04/02/2009 21,0,72230.292,4616.9,0,4616.9
04/02/2009 18,04/02/2009 22,0,72159.464,4651.5,0,4651.5
04/02/2009 19,04/02/2009 23,0,72332.194,4650.9,0,4650.9
04/02/2009 20,04/03/2009 00,0.05,74640.015,4466.5,223.47,4466.5
04/02/2009 21,04/03/2009 01,0.05,76860.548,4544.3,227.36,4544.3
04/02/2009 22,04/03/2009 02,0.04,74065.453,4662.1,186.51,4662.1
04/02/2009 23,04/03/2009 03,0,68949.206,4663.8,0,4663.8
04/02/2009 24,04/03/2009 04,0,63417.251,4651,0,4651
04/03/2009 01,04/03/2009 05,0,59041.243,4568,0,4568
04/03/2009 02,04/03/2009 06,0,56483.837,4438.7,0,4438.7
04/03/2009 03,04/03/2009 07,0,55345.188,4449.6,0,4449.6
