Preliminary Day-ahead Scheduling Reserve Summary
Month:,"June, 2009" ,Report Creation Timestamp (EPT):, 09/05/2012 01:36:00 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
06/01/2009 01,06/01/2009 05,.000,56620.723000,5005.200,.00,5005.200
06/01/2009 02,06/01/2009 06,.000,53839.146000,4988.500,.00,4988.500
06/01/2009 03,06/01/2009 07,.000,52380.146000,5031.000,.00,5031.000
06/01/2009 04,06/01/2009 08,.000,51678.468000,5029.699,.00,5029.699
06/01/2009 05,06/01/2009 09,.000,52533.909000,5029.699,.00,5029.699
06/01/2009 06,06/01/2009 10,.000,55582.910000,4919.601,.00,4919.601
06/01/2009 07,06/01/2009 11,.000,61578.853000,4877.999,.00,4877.999
06/01/2009 08,06/01/2009 12,.000,67519.925000,4823.599,.00,4823.599
06/01/2009 09,06/01/2009 13,.000,71414.510000,4858.000,.00,4858.000
06/01/2009 10,06/01/2009 14,.000,73876.905000,4930.400,.00,4930.400
06/01/2009 11,06/01/2009 15,.040,76105.489000,4815.500,192.65,4815.500
06/01/2009 12,06/01/2009 16,.040,77858.213000,4940.600,197.66,4940.600
06/01/2009 13,06/01/2009 17,.040,79073.981000,4988.400,199.55,4988.400
06/01/2009 14,06/01/2009 18,.050,80503.628000,4965.200,248.38,4965.200
06/01/2009 15,06/01/2009 19,.050,81630.815000,4966.300,248.41,4966.300
06/01/2009 16,06/01/2009 20,.050,82441.940000,4964.800,248.35,4964.800
06/01/2009 17,06/01/2009 21,.050,83229.563000,4968.800,248.52,4968.800
06/01/2009 18,06/01/2009 22,.040,83058.652000,5005.900,200.29,5005.900
06/01/2009 19,06/01/2009 23,.040,81213.488000,5047.200,201.90,5047.200
06/01/2009 20,06/02/2009 00,.040,79172.894000,5046.400,201.87,5046.400
06/01/2009 21,06/02/2009 01,.040,79021.581000,5044.400,201.82,5044.400
