Preliminary Day-ahead Scheduling Reserve Summary
Month:,"September, 2009" ,Report Creation Timestamp (EPT):, 09/07/2011 11:39:03 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
09/01/2009 01,09/01/2009 05,.000,59324.958000,5371.300,.00,5371.300
09/01/2009 02,09/01/2009 06,.000,56381.898000,5401.900,.00,5401.900
09/01/2009 03,09/01/2009 07,.000,54688.486000,5189.100,.00,5189.100
09/01/2009 04,09/01/2009 08,.000,53943.549000,5189.100,.00,5189.100
09/01/2009 05,09/01/2009 09,.000,54515.615000,5264.100,.00,5264.100
09/01/2009 06,09/01/2009 10,.000,57796.110000,5347.200,.00,5347.200
09/01/2009 07,09/01/2009 11,.000,64054.480000,5299.300,.00,5299.300
09/01/2009 08,09/01/2009 12,.000,68061.099000,5292.700,.00,5292.700
09/01/2009 09,09/01/2009 13,.000,71245.293000,5277.100,.00,5277.100
09/01/2009 10,09/01/2009 14,.000,74087.665000,5299.700,.00,5299.700
09/01/2009 11,09/01/2009 15,.000,76799.196000,5408.800,.00,5408.800
09/01/2009 12,09/01/2009 16,.000,78387.254000,5469.300,.00,5469.300
09/01/2009 13,09/01/2009 17,.020,79612.264000,5469.300,109.38,5469.300
09/01/2009 14,09/01/2009 18,.030,80819.656000,5469.400,164.09,5469.400
09/01/2009 15,09/01/2009 19,.030,81749.943000,5476.400,164.29,5476.400
09/01/2009 16,09/01/2009 20,.030,82283.588000,5345.300,160.35,5345.300
09/01/2009 17,09/01/2009 21,.030,82617.791000,5440.600,163.24,5440.600
09/01/2009 18,09/01/2009 22,.030,82354.141000,5469.500,164.08,5469.500
09/01/2009 19,09/01/2009 23,.020,80230.052000,5469.300,109.37,5469.300
09/01/2009 20,09/02/2009 00,.000,78791.151000,5468.700,.00,5468.700
09/01/2009 21,09/02/2009 01,.020,80361.440000,5275.700,105.53,5275.700
09/01/2009 22,09/02/2009 02,.000,77404.653000,5490.300,.00,5490.300
09/01/2009 23,09/02/2009 03,.000,70952.662000,5387.800,.00,5387.800
09/01/2009 24,09/02/2009 04,.000,64480.186000,5297.800,.00,5297.800
09/02/2009 01,09/02/2009 05,.000,59658.429000,4371.700,.00,4371.700
09/02/2009 02,09/02/2009 06,.000,56763.217000,4666.500,.00,4666.500
09/02/2009 03,09/02/2009 07,.000,54942.711000,4666.600,.00,4666.600
09/02/2009 04,09/02/2009 08,.000,54140.307000,4666.600,.00,4666.600
09/02/2009 05,09/02/2009 09,.000,54620.724000,4666.600,.00,4666.600
09/02/2009 06,09/02/2009 10,.000,57826.064000,4666.600,.00,4666.600
09/02/2009 07,09/02/2009 11,.000,64286.171000,4524.600,.00,4524.600
09/02/2009 08,09/02/2009 12,.000,68336.648000,4644.400,.00,4644.400
09/02/2009 09,09/02/2009 13,.000,71796.739000,4546.700,.00,4546.700
09/02/2009 10,09/02/2009 14,.000,74939.755000,4467.400,.00,4467.400
09/02/2009 11,09/02/2009 15,.000,77901.878000,4412.100,.00,4412.100
09/02/2009 12,09/02/2009 16,.020,79925.097000,4436.900,88.75,4436.900
09/02/2009 13,09/02/2009 17,.020,81240.680000,4441.100,88.84,4441.100
09/02/2009 14,09/02/2009 18,.020,82663.747000,4397.900,87.97,4397.900
09/02/2009 15,09/02/2009 19,.020,83756.836000,4359.300,87.20,4359.300
09/02/2009 16,09/02/2009 20,.040,84324.510000,4572.200,182.93,4572.200
09/02/2009 17,09/02/2009 21,.040,84712.641000,4588.400,183.52,4588.400
09/02/2009 18,09/02/2009 22,.040,84314.148000,4533.900,181.35,4533.900
09/02/2009 19,09/02/2009 23,.020,82350.231000,4508.700,90.18,4508.700
09/02/2009 20,09/03/2009 00,.000,80675.443000,4428.100,.00,4428.100
09/02/2009 21,09/03/2009 01,.020,82175.066000,4434.800,88.72,4434.800
09/02/2009 22,09/03/2009 02,.000,78833.175000,4570.099,.00,4570.099
09/02/2009 23,09/03/2009 03,.000,72501.567000,4536.200,.00,4536.200
09/02/2009 24,09/03/2009 04,.000,65832.010000,4577.600,.00,4577.600
09/03/2009 01,09/03/2009 05,.000,60690.350000,5663.500,.00,5663.500
09/03/2009 02,09/03/2009 06,.000,57482.425000,5720.900,.00,5720.900
09/03/2009 03,09/03/2009 07,.000,55757.177000,5598.700,.00,5598.700
09/03/2009 04,09/03/2009 08,.000,54702.687000,5678.300,.00,5678.300
09/03/2009 05,09/03/2009 09,.000,55310.319000,5603.900,.00,5603.900
09/03/2009 06,09/03/2009 10,.000,58659.149000,5554.900,.00,5554.900
09/03/2009 07,09/03/2009 11,.000,65362.807000,5686.600,.00,5686.600
09/03/2009 08,09/03/2009 12,.000,69393.659000,5678.100,.00,5678.100
09/03/2009 09,09/03/2009 13,.000,72905.311000,5699.000,.00,5699.000
09/03/2009 10,09/03/2009 14,.020,76407.239000,5694.701,113.91,5694.701
09/03/2009 11,09/03/2009 15,.020,79572.682000,5694.600,113.91,5694.600
09/03/2009 12,09/03/2009 16,.020,81512.488000,5544.600,110.91,5544.600
09/03/2009 13,09/03/2009 17,.020,83269.372000,5481.000,109.63,5481.000
09/03/2009 14,09/03/2009 18,.040,84773.504000,5583.100,223.32,5583.100
09/03/2009 15,09/03/2009 19,.040,85911.570000,5672.000,226.85,5672.000
09/03/2009 16,09/03/2009 20,.050,86655.283000,5637.100,281.87,5637.100
09/03/2009 17,09/03/2009 21,.050,87219.045000,5706.500,285.39,5706.500
09/03/2009 18,09/03/2009 22,.050,86620.882000,5706.200,285.44,5706.200
09/03/2009 19,09/03/2009 23,.040,84304.519000,5679.800,227.15,5679.800
09/03/2009 20,09/04/2009 00,.040,82714.778000,5679.800,227.24,5679.800
09/03/2009 21,09/04/2009 01,.040,83977.816000,5651.300,226.03,5651.300
09/03/2009 22,09/04/2009 02,.020,80714.730000,5633.300,112.67,5633.300
09/03/2009 23,09/04/2009 03,.000,74263.675000,5625.400,.00,5625.400
09/03/2009 24,09/04/2009 04,.000,67531.777000,5685.300,.00,5685.300
09/04/2009 01,09/04/2009 05,.000,62223.792000,5396.000,.00,5396.000
09/04/2009 02,09/04/2009 06,.000,59131.637000,5475.300,.00,5475.300
09/04/2009 03,09/04/2009 07,.000,57079.838000,5359.500,.00,5359.500
09/04/2009 04,09/04/2009 08,.000,56057.065000,5440.401,.00,5440.401
09/04/2009 05,09/04/2009 09,.000,56531.207000,5432.399,.00,5432.399
09/04/2009 06,09/04/2009 10,.000,59578.238000,5392.300,.00,5392.300
09/04/2009 07,09/04/2009 11,.000,65431.469000,5498.900,.00,5498.900
09/04/2009 08,09/04/2009 12,.000,69469.360000,5417.700,.00,5417.700
09/04/2009 09,09/04/2009 13,.000,73473.708000,5361.200,.00,5361.200
09/04/2009 10,09/04/2009 14,.010,77297.815000,5427.300,54.27,5427.300
09/04/2009 11,09/04/2009 15,.020,80932.417000,5313.700,106.28,5313.700
09/04/2009 12,09/04/2009 16,.020,83779.320000,5344.500,106.90,5344.500
09/04/2009 13,09/04/2009 17,.040,85953.980000,5419.200,216.74,5419.200
09/04/2009 14,09/04/2009 18,.050,87877.538000,5437.400,272.03,5437.400
09/04/2009 15,09/04/2009 19,.050,89149.706000,5439.600,272.05,5439.600
09/04/2009 16,09/04/2009 20,.050,89882.423000,5353.300,267.76,5353.300
09/04/2009 17,09/04/2009 21,.050,90229.161000,5452.300,272.71,5452.300
09/04/2009 18,09/04/2009 22,.050,89496.443000,5452.300,272.75,5452.300
09/04/2009 19,09/04/2009 23,.040,86469.041000,5372.100,214.89,5372.100
09/04/2009 20,09/05/2009 00,.020,83886.276000,5445.800,108.92,5445.800
09/04/2009 21,09/05/2009 01,.020,84009.477000,5378.700,107.60,5378.700
09/04/2009 22,09/05/2009 02,.020,80670.982000,5409.300,108.19,5409.300
09/04/2009 23,09/05/2009 03,.000,75149.855000,5396.300,.00,5396.300
09/04/2009 24,09/05/2009 04,.000,68891.551000,5498.900,.00,5498.900
09/05/2009 01,09/05/2009 05,.000,63247.319000,5532.400,.00,5532.400
09/05/2009 02,09/05/2009 06,.000,59378.388000,5549.500,.00,5549.500
09/05/2009 03,09/05/2009 07,.000,56956.638000,5533.100,.00,5533.100
09/05/2009 04,09/05/2009 08,.000,55419.694000,5552.600,.00,5552.600
09/05/2009 05,09/05/2009 09,.000,54735.721000,5468.600,.00,5468.600
09/05/2009 06,09/05/2009 10,.000,55192.209000,5552.600,.00,5552.600
09/05/2009 07,09/05/2009 11,.000,56362.352000,5496.000,.00,5496.000
09/05/2009 08,09/05/2009 12,.000,58183.492000,5549.000,.00,5549.000
09/05/2009 09,09/05/2009 13,.000,62933.514000,5532.800,.00,5532.800
09/05/2009 10,09/05/2009 14,.000,68279.547000,5444.800,.00,5444.800
09/05/2009 11,09/05/2009 15,.000,72616.771000,5402.400,.00,5402.400
09/05/2009 12,09/05/2009 16,.040,76288.678000,5395.700,215.78,5395.700
09/05/2009 13,09/05/2009 17,.040,78996.777000,5364.000,214.56,5364.000
09/05/2009 14,09/05/2009 18,.050,81120.814000,5347.700,267.46,5347.700
09/05/2009 15,09/05/2009 19,.050,82387.662000,5353.700,267.72,5353.700
09/05/2009 16,09/05/2009 20,.420,83616.797000,5342.700,2243.95,5342.700
09/05/2009 17,09/05/2009 21,.420,84459.611000,5336.700,2241.39,5336.700
09/05/2009 18,09/05/2009 22,.420,83991.721000,5336.700,2241.42,5336.700
09/05/2009 19,09/05/2009 23,.050,81666.951000,5354.200,267.81,5354.200
09/05/2009 20,09/06/2009 00,.040,79680.229000,5370.900,214.83,5370.900
09/05/2009 21,09/06/2009 01,.040,80158.659000,5373.900,214.96,5373.900
09/05/2009 22,09/06/2009 02,.020,77087.222000,5412.800,108.27,5412.800
09/05/2009 23,09/06/2009 03,.000,72398.223000,5528.800,.00,5528.800
09/05/2009 24,09/06/2009 04,.000,66984.681000,5556.100,.00,5556.100
09/06/2009 01,09/06/2009 05,.000,62021.074000,5218.300,.00,5218.300
09/06/2009 02,09/06/2009 06,.000,58469.369000,5216.700,.00,5216.700
09/06/2009 03,09/06/2009 07,.000,56158.412000,5218.100,.00,5218.100
09/06/2009 04,09/06/2009 08,.000,54585.295000,5077.200,.00,5077.200
09/06/2009 05,09/06/2009 09,.000,53744.838000,5077.300,.00,5077.300
09/06/2009 06,09/06/2009 10,.000,53915.451000,5070.200,.00,5070.200
09/06/2009 07,09/06/2009 11,.000,54417.397000,5117.900,.00,5117.900
09/06/2009 08,09/06/2009 12,.000,55837.278000,5082.600,.00,5082.600
09/06/2009 09,09/06/2009 13,.000,59931.023000,5104.600,.00,5104.600
09/06/2009 10,09/06/2009 14,.000,64547.447000,5236.200,.00,5236.200
09/06/2009 11,09/06/2009 15,.000,68435.304000,5199.401,.00,5199.401
09/06/2009 12,09/06/2009 16,.000,71541.799000,5195.700,.00,5195.700
09/06/2009 13,09/06/2009 17,.020,74054.264000,5183.000,103.68,5183.000
09/06/2009 14,09/06/2009 18,.040,75983.084000,5196.600,207.88,5196.600
09/06/2009 15,09/06/2009 19,.050,76845.235000,5196.700,259.94,5196.700
09/06/2009 16,09/06/2009 20,.050,77576.227000,5196.800,259.92,5196.800
09/06/2009 17,09/06/2009 21,.050,77518.149000,5196.500,259.90,5196.500
09/06/2009 18,09/06/2009 22,.050,76850.854000,5196.700,259.88,5196.700
09/06/2009 19,09/06/2009 23,.040,74962.346000,5197.000,207.86,5197.000
09/06/2009 20,09/07/2009 00,.040,74354.285000,5197.200,207.92,5197.200
09/06/2009 21,09/07/2009 01,.040,75382.059000,5196.900,207.93,5196.900
09/06/2009 22,09/07/2009 02,.000,73228.540000,5203.099,.00,5203.099
09/06/2009 23,09/07/2009 03,.000,69485.255000,5196.800,.00,5196.800
09/06/2009 24,09/07/2009 04,.000,64972.639000,5214.700,.00,5214.700
09/07/2009 01,09/07/2009 05,.000,60713.757000,5000.299,.00,5000.299
09/07/2009 02,09/07/2009 06,.000,57767.163000,5151.800,.00,5151.800
09/07/2009 03,09/07/2009 07,.000,55699.850000,5158.800,.00,5158.800
09/07/2009 04,09/07/2009 08,.000,54552.367000,5158.800,.00,5158.800
09/07/2009 05,09/07/2009 09,.000,54351.176000,5136.501,.00,5136.501
09/07/2009 06,09/07/2009 10,.000,55240.806000,5126.800,.00,5126.800
09/07/2009 07,09/07/2009 11,.000,56800.038000,5155.600,.00,5155.600
09/07/2009 08,09/07/2009 12,.000,57810.615000,5005.000,.00,5005.000
09/07/2009 09,09/07/2009 13,.000,61156.814000,5142.600,.00,5142.600
09/07/2009 10,09/07/2009 14,.000,65650.243000,5144.700,.00,5144.700
09/07/2009 11,09/07/2009 15,.000,69379.363000,5142.400,.00,5142.400
09/07/2009 12,09/07/2009 16,.000,71990.354000,5133.299,.00,5133.299
09/07/2009 13,09/07/2009 17,.010,73642.459000,5119.600,51.23,5119.600
09/07/2009 14,09/07/2009 18,.040,74303.985000,5119.600,204.78,5119.600
09/07/2009 15,09/07/2009 19,.040,74672.415000,5119.200,204.75,5119.200
09/07/2009 16,09/07/2009 20,.050,75054.773000,5119.500,256.02,5119.500
09/07/2009 17,09/07/2009 21,.050,75397.849000,5059.400,253.02,5059.400
09/07/2009 18,09/07/2009 22,.050,75945.849000,5106.600,255.35,5106.600
09/07/2009 19,09/07/2009 23,.040,75522.524000,5113.600,204.54,5113.600
09/07/2009 20,09/08/2009 00,.040,76769.178000,5113.700,204.53,5113.700
09/07/2009 21,09/08/2009 01,.020,78517.897000,5113.400,102.28,5113.400
09/07/2009 22,09/08/2009 02,.000,75792.744000,5131.400,.00,5131.400
09/07/2009 23,09/08/2009 03,.000,70283.466000,5155.100,.00,5155.100
09/07/2009 24,09/08/2009 04,.000,64599.819000,5128.900,.00,5128.900
09/08/2009 01,09/08/2009 05,.000,60393.997000,5311.400,.00,5311.400
09/08/2009 02,09/08/2009 06,.000,57714.056000,5312.900,.00,5312.900
09/08/2009 03,09/08/2009 07,.000,56163.081000,5321.700,.00,5321.700
09/08/2009 04,09/08/2009 08,.000,55635.346000,5321.800,.00,5321.800
09/08/2009 05,09/08/2009 09,.000,56484.078000,5417.502,.00,5417.502
09/08/2009 06,09/08/2009 10,.000,60234.623000,5321.800,.00,5321.800
09/08/2009 07,09/08/2009 11,.000,68206.030000,5319.400,.00,5319.400
09/08/2009 08,09/08/2009 12,.000,73476.748000,5312.400,.00,5312.400
09/08/2009 09,09/08/2009 13,.000,76361.988000,5293.800,.00,5293.800
09/08/2009 10,09/08/2009 14,.000,78953.257000,5295.500,.00,5295.500
09/08/2009 11,09/08/2009 15,.000,81416.498000,5162.800,.00,5162.800
09/08/2009 12,09/08/2009 16,.010,83168.623000,5261.000,52.64,5261.000
09/08/2009 13,09/08/2009 17,.020,84603.024000,5176.400,103.52,5176.400
09/08/2009 14,09/08/2009 18,.040,85659.684000,5176.400,207.08,5176.400
09/08/2009 15,09/08/2009 19,.050,86219.259000,5275.400,263.84,5275.400
09/08/2009 16,09/08/2009 20,.050,86193.733000,5275.600,263.89,5275.600
09/08/2009 17,09/08/2009 21,.050,86226.495000,5275.300,263.85,5275.300
09/08/2009 18,09/08/2009 22,.050,85744.337000,5275.100,263.85,5275.100
09/08/2009 19,09/08/2009 23,.040,84139.167000,5275.300,211.04,5275.300
09/08/2009 20,09/09/2009 00,.000,84349.089000,5241.600,.00,5241.600
09/08/2009 21,09/09/2009 01,.020,85461.692000,5269.200,105.37,5269.200
09/08/2009 22,09/09/2009 02,.000,81947.321000,5170.899,.00,5170.899
09/08/2009 23,09/09/2009 03,.000,75407.682000,5315.000,.00,5315.000
09/08/2009 24,09/09/2009 04,.000,68731.711000,5317.900,.00,5317.900
09/09/2009 01,09/09/2009 05,.000,63459.715000,5522.600,.00,5522.600
09/09/2009 02,09/09/2009 06,.000,60389.980000,5530.300,.00,5530.300
09/09/2009 03,09/09/2009 07,.000,58508.778000,5540.600,.00,5540.600
09/09/2009 04,09/09/2009 08,.000,57553.252000,5540.600,.00,5540.600
09/09/2009 05,09/09/2009 09,.000,57983.044000,5540.700,.00,5540.700
09/09/2009 06,09/09/2009 10,.000,61817.029000,5540.700,.00,5540.700
09/09/2009 07,09/09/2009 11,.000,69524.913000,5526.900,.00,5526.900
09/09/2009 08,09/09/2009 12,.000,74578.953000,5537.900,.00,5537.900
09/09/2009 09,09/09/2009 13,.000,77247.757000,5483.800,.00,5483.800
09/09/2009 10,09/09/2009 14,.000,79840.648000,5481.000,.00,5481.000
09/09/2009 11,09/09/2009 15,.000,82228.832000,5472.300,.00,5472.300
09/09/2009 12,09/09/2009 16,.000,83921.702000,5475.300,.00,5475.300
09/09/2009 13,09/09/2009 17,.000,85294.062000,5508.500,.00,5508.500
09/09/2009 14,09/09/2009 18,.040,86735.774000,5385.900,215.45,5385.900
09/09/2009 15,09/09/2009 19,.040,87720.207000,5390.300,215.63,5390.300
09/09/2009 16,09/09/2009 20,.040,87967.845000,5393.500,215.71,5393.500
09/09/2009 17,09/09/2009 21,.040,88007.949000,5402.500,216.08,5402.500
09/09/2009 18,09/09/2009 22,.040,87264.181000,5377.700,215.09,5377.700
09/09/2009 19,09/09/2009 23,.010,85291.884000,5417.000,54.19,5417.000
09/09/2009 20,09/10/2009 00,.000,85182.970000,5521.600,.00,5521.600
09/09/2009 21,09/10/2009 01,.010,85858.656000,5382.500,53.84,5382.500
09/09/2009 22,09/10/2009 02,.000,82307.071000,5475.100,.00,5475.100
09/09/2009 23,09/10/2009 03,.000,75754.580000,5318.300,.00,5318.300
09/09/2009 24,09/10/2009 04,.000,68947.524000,5531.200,.00,5531.200
09/10/2009 01,09/10/2009 05,.000,63436.129000,5106.300,.00,5106.300
09/10/2009 02,09/10/2009 06,.000,60133.737000,5120.700,.00,5120.700
09/10/2009 03,09/10/2009 07,.000,58005.906000,5124.300,.00,5124.300
09/10/2009 04,09/10/2009 08,.000,57137.163000,5124.200,.00,5124.200
09/10/2009 05,09/10/2009 09,.000,57412.188000,5124.300,.00,5124.300
