Preliminary Day-ahead Scheduling Reserve Summary
Month:,"December, 2009" ,Report Creation Timestamp (EPT):, 09/29/2011 06:36:50 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
12/31/2009 19,01/01/2010 00,.110,91571.706000,5946.800,654.21,5946.800
12/31/2009 20,01/01/2010 01,.070,88713.424000,5997.100,419.82,5997.100
12/31/2009 21,01/01/2010 02,.070,85625.932000,5982.000,418.77,5982.000
12/31/2009 22,01/01/2010 03,.050,82621.755000,5996.200,299.93,5996.200
12/31/2009 23,01/01/2010 04,.050,79232.005000,5902.500,295.23,5902.500
12/31/2009 24,01/01/2010 05,.040,76002.466000,5966.900,238.70,5966.900
12/01/2009 01,12/01/2009 06,.000,67638.412000,5252.100,.00,5252.100
12/01/2009 02,12/01/2009 07,.000,65531.262000,5250.300,.00,5250.300
12/01/2009 03,12/01/2009 08,.000,64881.235000,5225.200,.00,5225.200
12/01/2009 04,12/01/2009 09,.000,65185.243000,5241.700,.00,5241.700
12/01/2009 05,12/01/2009 10,.000,66961.973000,5308.900,.00,5308.900
12/01/2009 06,12/01/2009 11,.040,72242.703000,5452.000,218.12,5452.000
12/01/2009 07,12/01/2009 12,.040,81032.199000,5541.100,221.67,5541.100
12/01/2009 08,12/01/2009 13,.050,85468.288000,5377.600,268.98,5377.600
12/01/2009 09,12/01/2009 14,.050,84728.512000,5514.100,275.80,5514.100
12/01/2009 10,12/01/2009 15,.040,83144.023000,5546.100,221.83,5546.100
12/01/2009 11,12/01/2009 16,.040,81931.182000,5546.300,221.85,5546.300
12/01/2009 12,12/01/2009 17,.040,80283.207000,5545.600,221.80,5545.600
12/01/2009 13,12/01/2009 18,.040,78753.809000,5546.400,221.85,5546.400
12/01/2009 14,12/01/2009 19,.000,77576.422000,5547.300,.00,5547.300
12/01/2009 15,12/01/2009 20,.000,76392.384000,5547.100,.00,5547.100
12/01/2009 16,12/01/2009 21,.000,76023.744000,5477.000,.00,5477.000
12/01/2009 17,12/01/2009 22,.000,78625.993000,5538.300,.00,5538.300
12/01/2009 18,12/01/2009 23,.050,86123.504000,5523.200,276.22,5523.200
12/01/2009 19,12/02/2009 00,.050,88335.507000,5482.300,274.25,5482.300
12/01/2009 20,12/02/2009 01,.050,88044.996000,5470.700,273.68,5470.700
12/01/2009 21,12/02/2009 02,.040,86634.992000,5511.400,220.47,5511.400
12/01/2009 22,12/02/2009 03,.040,83581.030000,5511.200,220.44,5511.200
12/01/2009 23,12/02/2009 04,.010,77964.646000,5541.400,55.45,5541.400
12/01/2009 24,12/02/2009 05,.000,72092.862000,5578.600,.00,5578.600
12/02/2009 01,12/02/2009 06,.000,67811.317000,5500.000,.00,5500.000
12/02/2009 02,12/02/2009 07,.000,65564.479000,5564.800,.00,5564.800
12/02/2009 03,12/02/2009 08,.000,64772.362000,5569.700,.00,5569.700
12/02/2009 04,12/02/2009 09,.000,64701.525000,5575.400,.00,5575.400
12/02/2009 05,12/02/2009 10,.000,66373.725000,5603.800,.00,5603.800
12/02/2009 06,12/02/2009 11,.000,71142.141000,5515.800,.00,5515.800
12/02/2009 07,12/02/2009 12,.040,79571.847000,5524.200,220.96,5524.200
12/02/2009 08,12/02/2009 13,.050,84265.194000,5523.300,276.26,5523.300
12/02/2009 09,12/02/2009 14,.050,84199.143000,5501.400,275.14,5501.400
12/02/2009 10,12/02/2009 15,.040,83789.328000,5563.900,222.55,5563.900
12/02/2009 11,12/02/2009 16,.040,83346.981000,5564.100,222.61,5564.100
12/02/2009 12,12/02/2009 17,.040,82817.272000,5564.100,222.56,5564.100
12/02/2009 13,12/02/2009 18,.010,82148.325000,5564.200,55.68,5564.200
12/02/2009 14,12/02/2009 19,.000,81749.742000,5568.100,.00,5568.100
12/02/2009 15,12/02/2009 20,.000,81603.020000,5564.200,.00,5564.200
12/02/2009 16,12/02/2009 21,.000,82034.069000,5564.300,.00,5564.300
12/02/2009 17,12/02/2009 22,.040,84949.026000,5564.600,222.52,5564.600
12/02/2009 18,12/02/2009 23,.050,89315.700000,5564.200,278.29,5564.200
12/02/2009 19,12/03/2009 00,.050,89143.673000,5564.300,278.28,5564.300
12/02/2009 20,12/03/2009 01,.040,87373.284000,5564.300,222.57,5564.300
12/02/2009 21,12/03/2009 02,.040,85116.351000,5564.400,222.55,5564.400
12/02/2009 22,12/03/2009 03,.000,81002.500000,5564.200,.00,5564.200
12/02/2009 23,12/03/2009 04,.000,74762.981000,5528.300,.00,5528.300
12/02/2009 24,12/03/2009 05,.000,68365.770000,5499.500,.00,5499.500
12/03/2009 01,12/03/2009 06,.000,63462.665000,5597.900,.00,5597.900
12/03/2009 02,12/03/2009 07,.000,60902.453000,5628.000,.00,5628.000
12/03/2009 03,12/03/2009 08,.000,59301.697000,5628.000,.00,5628.000
12/03/2009 04,12/03/2009 09,.000,58895.197000,5627.900,.00,5627.900
12/03/2009 05,12/03/2009 10,.000,59869.218000,5603.100,.00,5603.100
12/03/2009 06,12/03/2009 11,.000,64052.156000,5628.000,.00,5628.000
12/03/2009 07,12/03/2009 12,.040,72049.129000,5559.300,222.34,5559.300
12/03/2009 08,12/03/2009 13,.050,76519.065000,5580.300,279.16,5580.300
12/03/2009 09,12/03/2009 14,.040,77324.460000,5569.600,222.80,5569.600
12/03/2009 10,12/03/2009 15,.050,77837.186000,5553.000,277.73,5553.000
12/03/2009 11,12/03/2009 16,.050,78557.971000,5559.400,278.06,5559.400
12/03/2009 12,12/03/2009 17,.040,78763.016000,5488.000,219.51,5488.000
12/03/2009 13,12/03/2009 18,.040,78656.681000,5454.400,218.17,5454.400
12/03/2009 14,12/03/2009 19,.040,78335.236000,5464.000,218.58,5464.000
12/03/2009 15,12/03/2009 20,.040,77990.269000,5423.700,216.95,5423.700
12/03/2009 16,12/03/2009 21,.040,78023.403000,5361.400,214.45,5361.400
12/03/2009 17,12/03/2009 22,.040,80488.735000,5564.700,222.60,5564.700
12/03/2009 18,12/03/2009 23,.070,86096.087000,5542.300,387.98,5542.300
12/03/2009 19,12/04/2009 00,.070,87268.030000,5542.300,387.99,5542.300
12/03/2009 20,12/04/2009 01,.050,86318.351000,5562.800,278.27,5562.800
12/03/2009 21,12/04/2009 02,.040,84963.876000,5568.100,222.75,5568.100
12/03/2009 22,12/04/2009 03,.040,81906.101000,5568.000,222.70,5568.000
12/03/2009 23,12/04/2009 04,.010,76533.296000,5471.300,54.71,5471.300
12/03/2009 24,12/04/2009 05,.000,70625.290000,5539.700,.00,5539.700
12/04/2009 01,12/04/2009 06,.000,66221.501000,5350.500,.00,5350.500
12/04/2009 02,12/04/2009 07,.000,64028.514000,5549.500,.00,5549.500
12/04/2009 03,12/04/2009 08,.000,62981.823000,5564.600,.00,5564.600
12/04/2009 04,12/04/2009 09,.000,62994.050000,5597.500,.00,5597.500
12/04/2009 05,12/04/2009 10,.000,64997.147000,5613.100,.00,5613.100
12/04/2009 06,12/04/2009 11,.000,69955.671000,5486.300,.00,5486.300
12/04/2009 07,12/04/2009 12,.040,78611.352000,5577.200,223.09,5577.200
12/04/2009 08,12/04/2009 13,.050,83425.006000,5576.800,278.90,5576.800
12/04/2009 09,12/04/2009 14,.050,83552.082000,5577.300,278.96,5577.300
12/04/2009 10,12/04/2009 15,.040,83008.828000,5576.600,223.06,5576.600
12/04/2009 11,12/04/2009 16,.040,82321.534000,5577.300,223.13,5577.300
12/04/2009 12,12/04/2009 17,.040,81365.549000,5486.700,219.50,5486.700
12/04/2009 13,12/04/2009 18,.040,80263.432000,5487.100,219.49,5487.100
12/04/2009 14,12/04/2009 19,.040,79506.620000,5476.700,219.10,5476.700
12/04/2009 15,12/04/2009 20,.040,78977.281000,5507.200,220.27,5507.200
12/04/2009 16,12/04/2009 21,.020,78976.072000,5473.100,109.47,5473.100
12/04/2009 17,12/04/2009 22,.040,81697.725000,5576.900,223.09,5576.900
12/04/2009 18,12/04/2009 23,.080,87734.957000,5550.700,444.08,5550.700
12/04/2009 19,12/05/2009 00,.070,88352.938000,5565.800,389.66,5565.800
12/04/2009 20,12/05/2009 01,.050,86848.493000,5572.000,278.64,5572.000
12/04/2009 21,12/05/2009 02,.040,85215.592000,5571.800,222.88,5571.800
12/04/2009 22,12/05/2009 03,.040,82604.374000,5571.600,222.88,5571.600
12/04/2009 23,12/05/2009 04,.040,78567.205000,5472.200,218.87,5472.200
12/04/2009 24,12/05/2009 05,.000,72885.712000,5470.300,.00,5470.300
12/05/2009 01,12/05/2009 06,.000,68332.735000,5012.800,.00,5012.800
12/05/2009 02,12/05/2009 07,.000,65484.013000,5174.800,.00,5174.800
12/05/2009 03,12/05/2009 08,.000,63919.225000,5195.400,.00,5195.400
12/05/2009 04,12/05/2009 09,.000,63365.603000,5211.500,.00,5211.500
12/05/2009 05,12/05/2009 10,.000,63747.607000,5195.300,.00,5195.300
12/05/2009 06,12/05/2009 11,.000,65753.338000,5076.400,.00,5076.400
12/05/2009 07,12/05/2009 12,.040,69011.656000,5069.400,202.74,5069.400
12/05/2009 08,12/05/2009 13,.040,73135.519000,5069.700,202.74,5069.700
12/05/2009 09,12/05/2009 14,.040,77002.051000,5174.800,206.96,5174.800
12/05/2009 10,12/05/2009 15,.050,80108.604000,5174.700,258.88,5174.700
12/05/2009 11,12/05/2009 16,.050,81498.343000,5174.900,258.86,5174.900
12/05/2009 12,12/05/2009 17,.050,82016.233000,5175.400,258.87,5175.400
12/05/2009 13,12/05/2009 18,.040,81822.916000,5174.800,207.02,5174.800
12/05/2009 14,12/05/2009 19,.040,81179.085000,5175.200,207.02,5175.200
12/05/2009 15,12/05/2009 20,.040,80797.923000,5167.000,206.69,5167.000
12/05/2009 16,12/05/2009 21,.040,81217.843000,5138.100,205.51,5138.100
12/05/2009 17,12/05/2009 22,.050,83997.452000,5174.200,258.83,5174.200
12/05/2009 18,12/05/2009 23,.050,88961.333000,5153.500,257.78,5153.500
12/05/2009 19,12/06/2009 00,.050,90186.426000,5148.700,257.49,5148.700
12/05/2009 20,12/06/2009 01,.050,89153.126000,5174.000,258.79,5174.000
12/05/2009 21,12/06/2009 02,.050,87654.037000,5169.800,258.56,5169.800
12/05/2009 22,12/06/2009 03,.050,85334.162000,5170.600,258.61,5170.600
12/05/2009 23,12/06/2009 04,.040,81624.426000,5174.600,207.02,5174.600
12/05/2009 24,12/06/2009 05,.040,77078.648000,5045.900,201.84,5045.900
12/06/2009 01,12/06/2009 06,.040,73014.064000,5122.200,204.87,5122.200
12/06/2009 02,12/06/2009 07,.040,71009.162000,5146.300,205.86,5146.300
12/06/2009 03,12/06/2009 08,.040,69688.209000,5117.600,204.70,5117.600
12/06/2009 04,12/06/2009 09,.020,69385.479000,5113.400,102.26,5113.400
12/06/2009 05,12/06/2009 10,.010,70020.096000,5127.000,51.32,5127.000
12/06/2009 06,12/06/2009 11,.040,71499.306000,5146.500,205.88,5146.500
12/06/2009 07,12/06/2009 12,.040,74149.535000,5146.800,205.91,5146.800
12/06/2009 08,12/06/2009 13,.040,76711.408000,5196.100,207.82,5196.100
12/06/2009 09,12/06/2009 14,.050,78862.141000,5179.400,259.08,5179.400
12/06/2009 10,12/06/2009 15,.050,79212.344000,5172.800,258.77,5172.800
12/06/2009 11,12/06/2009 16,.050,78266.096000,5179.200,259.11,5179.200
12/06/2009 12,12/06/2009 17,.040,77229.118000,5196.500,207.86,5196.500
12/06/2009 13,12/06/2009 18,.040,76431.940000,5196.300,207.89,5196.300
12/06/2009 14,12/06/2009 19,.040,75571.954000,5134.800,205.38,5134.800
12/06/2009 15,12/06/2009 20,.010,75113.635000,4965.900,49.69,4965.900
12/06/2009 16,12/06/2009 21,.010,76006.512000,4973.100,49.77,4973.100
12/06/2009 17,12/06/2009 22,.040,80388.467000,5016.500,200.65,5016.500
12/06/2009 18,12/06/2009 23,.110,88412.601000,5104.600,561.52,5104.600
12/06/2009 19,12/07/2009 00,.420,90497.398000,5115.500,2148.54,5115.500
12/06/2009 20,12/07/2009 01,.050,90512.381000,5171.800,258.66,5171.800
12/06/2009 21,12/07/2009 02,.050,89700.386000,5179.400,259.02,5179.400
12/06/2009 22,12/07/2009 03,.050,86691.775000,5180.400,259.04,5180.400
12/06/2009 23,12/07/2009 04,.040,81920.044000,5126.600,205.12,5126.600
12/06/2009 24,12/07/2009 05,.040,76728.775000,5126.700,205.06,5126.700
12/07/2009 01,12/07/2009 06,.010,72863.064000,5921.500,59.24,5921.500
12/07/2009 02,12/07/2009 07,.010,71056.130000,5897.400,59.02,5897.400
12/07/2009 03,12/07/2009 08,.000,70521.960000,5936.200,.00,5936.200
12/07/2009 04,12/07/2009 09,.000,70968.855000,5965.900,.00,5965.900
12/07/2009 05,12/07/2009 10,.010,73088.281000,5916.200,59.21,5916.200
12/07/2009 06,12/07/2009 11,.010,78703.321000,5874.100,58.75,5874.100
12/07/2009 07,12/07/2009 12,.050,87407.781000,5811.100,290.66,5811.100
12/07/2009 08,12/07/2009 13,.050,92120.170000,5763.900,288.29,5763.900
12/07/2009 09,12/07/2009 14,.050,92004.390000,5486.900,274.46,5486.900
12/07/2009 10,12/07/2009 15,.040,90624.988000,5490.100,219.62,5490.100
12/07/2009 11,12/07/2009 16,.040,89581.098000,5491.100,219.63,5491.100
12/07/2009 12,12/07/2009 17,.040,88446.878000,5491.900,219.64,5491.900
12/07/2009 13,12/07/2009 18,.040,87500.882000,5644.100,225.76,5644.100
12/07/2009 14,12/07/2009 19,.010,87159.855000,5650.400,56.54,5650.400
12/07/2009 15,12/07/2009 20,.010,86510.042000,5804.200,58.05,5804.200
12/07/2009 16,12/07/2009 21,.000,86636.137000,5816.900,.00,5816.900
12/07/2009 17,12/07/2009 22,.040,89677.982000,5801.200,232.07,5801.200
12/07/2009 18,12/07/2009 23,.110,95939.050000,5852.200,643.74,5852.200
12/07/2009 19,12/08/2009 00,.070,96967.323000,5496.800,384.77,5496.800
12/07/2009 20,12/08/2009 01,.050,96064.059000,5747.400,287.43,5747.400
12/07/2009 21,12/08/2009 02,.050,94412.726000,5765.800,288.34,5765.800
12/07/2009 22,12/08/2009 03,.040,90715.826000,5765.500,230.65,5765.500
12/07/2009 23,12/08/2009 04,.010,84572.184000,5691.000,56.94,5691.000
12/07/2009 24,12/08/2009 05,.000,78102.674000,5818.200,.00,5818.200
12/08/2009 01,12/08/2009 06,.000,73497.905000,5419.000,.00,5419.000
12/08/2009 02,12/08/2009 07,.000,70841.555000,5455.900,.00,5455.900
12/08/2009 03,12/08/2009 08,.000,69729.181000,5511.000,.00,5511.000
12/08/2009 04,12/08/2009 09,.000,69574.457000,5517.700,.00,5517.700
12/08/2009 05,12/08/2009 10,.000,71157.803000,5489.100,.00,5489.100
12/08/2009 06,12/08/2009 11,.000,76145.232000,5423.700,.00,5423.700
12/08/2009 07,12/08/2009 12,.050,84858.560000,5462.600,273.29,5462.600
12/08/2009 08,12/08/2009 13,.050,89564.011000,5611.300,280.66,5611.300
12/08/2009 09,12/08/2009 14,.050,89018.955000,5616.000,280.91,5616.000
12/08/2009 10,12/08/2009 15,.050,87786.536000,5616.100,280.94,5616.100
12/08/2009 11,12/08/2009 16,.040,87025.335000,5618.500,224.74,5618.500
12/08/2009 12,12/08/2009 17,.040,85754.980000,5618.900,224.74,5618.900
12/08/2009 13,12/08/2009 18,.040,84773.026000,5611.600,224.47,5611.600
12/08/2009 14,12/08/2009 19,.040,84263.877000,5611.800,224.51,5611.800
12/08/2009 15,12/08/2009 20,.040,84234.179000,5611.600,224.46,5611.600
12/08/2009 16,12/08/2009 21,.040,85193.654000,5582.000,223.29,5582.000
12/08/2009 17,12/08/2009 22,.040,89336.125000,5604.100,224.17,5604.100
12/08/2009 18,12/08/2009 23,.050,95491.910000,5360.000,268.07,5360.000
12/08/2009 19,12/09/2009 00,.050,96469.542000,5354.600,267.77,5354.600
12/08/2009 20,12/09/2009 01,.050,95274.787000,5575.800,278.88,5575.800
12/08/2009 21,12/09/2009 02,.050,93376.176000,5615.900,280.90,5615.900
12/08/2009 22,12/09/2009 03,.040,89813.124000,5618.400,224.71,5618.400
12/08/2009 23,12/09/2009 04,.040,83743.410000,5569.300,222.81,5569.300
12/08/2009 24,12/09/2009 05,.000,77048.264000,5468.300,.00,5468.300
12/09/2009 01,12/09/2009 06,.000,72186.054000,4985.200,.00,4985.200
12/09/2009 02,12/09/2009 07,.000,69460.789000,5257.100,.00,5257.100
12/09/2009 03,12/09/2009 08,.000,68067.291000,5114.000,.00,5114.000
12/09/2009 04,12/09/2009 09,.000,67687.215000,5257.500,.00,5257.500
12/09/2009 05,12/09/2009 10,.000,68529.864000,5254.400,.00,5254.400
12/09/2009 06,12/09/2009 11,.000,72491.944000,5152.300,.00,5152.300
12/09/2009 07,12/09/2009 12,.040,79855.609000,5230.600,209.24,5230.600
12/09/2009 08,12/09/2009 13,.050,85169.526000,5214.500,260.79,5214.500
12/09/2009 09,12/09/2009 14,.050,85623.310000,5086.900,254.39,5086.900
12/09/2009 10,12/09/2009 15,.050,85569.010000,5107.500,255.51,5107.500
12/09/2009 11,12/09/2009 16,.050,85258.755000,5262.600,263.22,5262.600
12/09/2009 12,12/09/2009 17,.050,84214.861000,5271.700,263.69,5271.700
12/09/2009 13,12/09/2009 18,.040,82995.126000,5272.600,210.91,5272.600
12/09/2009 14,12/09/2009 19,.040,81845.248000,5267.900,210.69,5267.900
12/09/2009 15,12/09/2009 20,.040,81041.007000,5242.900,209.70,5242.900
12/09/2009 16,12/09/2009 21,.040,81335.938000,5247.200,209.86,5247.200
12/09/2009 17,12/09/2009 22,.040,84304.614000,5272.900,210.92,5272.900
12/09/2009 18,12/09/2009 23,.050,91038.641000,5254.800,262.82,5254.800
12/09/2009 19,12/10/2009 00,.050,92506.386000,5242.700,262.16,5242.700
12/09/2009 20,12/10/2009 01,.050,91444.823000,5230.500,261.63,5230.500
12/09/2009 21,12/10/2009 02,.050,90039.878000,5218.200,261.04,5218.200
12/09/2009 22,12/10/2009 03,.040,86878.402000,5218.200,208.76,5218.200
12/09/2009 23,12/10/2009 04,.040,81309.426000,5201.600,208.07,5201.600
12/09/2009 24,12/10/2009 05,.000,75309.850000,5232.500,.00,5232.500
12/10/2009 01,12/10/2009 06,.000,70923.389000,5216.100,.00,5216.100
12/10/2009 02,12/10/2009 07,.000,68675.866000,5256.800,.00,5256.800
12/10/2009 03,12/10/2009 08,.000,67927.739000,5371.300,.00,5371.300
12/10/2009 04,12/10/2009 09,.000,68244.894000,5432.400,.00,5432.400
12/10/2009 05,12/10/2009 10,.000,70238.826000,5247.800,.00,5247.800
12/10/2009 06,12/10/2009 11,.000,75288.914000,5213.600,.00,5213.600
12/10/2009 07,12/10/2009 12,.040,84278.596000,4877.700,195.10,4877.700
12/10/2009 08,12/10/2009 13,.050,89651.974000,4750.700,237.64,4750.700
12/10/2009 09,12/10/2009 14,.050,90016.055000,4893.800,244.81,4893.800
12/10/2009 10,12/10/2009 15,.050,89771.090000,4898.300,245.00,4898.300
12/10/2009 11,12/10/2009 16,.050,89533.443000,5088.800,254.54,5088.800
12/10/2009 12,12/10/2009 17,.040,88926.102000,5116.800,204.69,5116.800
12/10/2009 13,12/10/2009 18,.040,88415.756000,5134.900,205.37,5134.900
12/10/2009 14,12/10/2009 19,.040,87909.539000,5170.100,206.87,5170.100
12/10/2009 15,12/10/2009 20,.040,87453.532000,5155.000,206.17,5155.000
12/10/2009 16,12/10/2009 21,.040,88047.157000,5151.900,206.11,5151.900
12/10/2009 17,12/10/2009 22,.040,92112.116000,5142.600,205.75,5142.600
12/10/2009 18,12/10/2009 23,.080,100244.968000,5093.400,407.51,5093.400
12/10/2009 19,12/11/2009 00,.110,102655.687000,5114.200,562.57,5114.200
12/10/2009 20,12/11/2009 01,.050,102256.799000,5110.700,255.64,5110.700
12/10/2009 21,12/11/2009 02,.050,101338.833000,5099.000,255.03,5099.000
12/10/2009 22,12/11/2009 03,.050,98572.973000,5093.100,254.80,5093.100
12/10/2009 23,12/11/2009 04,.050,93340.067000,5070.200,253.62,5070.200
12/10/2009 24,12/11/2009 05,.040,87059.928000,5220.500,208.80,5220.500
12/11/2009 01,12/11/2009 06,.020,82508.154000,6095.300,121.92,6095.300
12/11/2009 02,12/11/2009 07,.040,80491.857000,6111.900,244.52,6111.900
12/11/2009 03,12/11/2009 08,.040,79813.966000,6106.100,244.30,6106.100
12/11/2009 04,12/11/2009 09,.020,79919.536000,6102.400,122.06,6102.400
12/11/2009 05,12/11/2009 10,.040,81966.594000,6099.700,244.00,6099.700
12/11/2009 06,12/11/2009 11,.040,86601.411000,6081.500,243.29,6081.500
12/11/2009 07,12/11/2009 12,.070,94977.323000,5995.700,419.77,5995.700
12/11/2009 08,12/11/2009 13,.110,99559.489000,6035.400,663.92,6035.400
12/11/2009 09,12/11/2009 14,.080,99030.789000,6048.100,483.81,6048.100
12/11/2009 10,12/11/2009 15,.050,97576.885000,6052.000,302.70,6052.000
12/11/2009 11,12/11/2009 16,.050,95895.987000,6060.300,303.16,6060.300
12/11/2009 12,12/11/2009 17,.050,94172.207000,6047.900,302.48,6047.900
12/11/2009 13,12/11/2009 18,.040,92388.962000,5909.700,236.39,5909.700
12/11/2009 14,12/11/2009 19,.040,91032.441000,5798.700,232.00,5798.700
12/11/2009 15,12/11/2009 20,.040,90038.664000,5817.700,232.71,5817.700
12/11/2009 16,12/11/2009 21,.040,89661.393000,6022.000,240.91,6022.000
12/11/2009 17,12/11/2009 22,.040,92745.939000,5994.700,239.82,5994.700
12/11/2009 18,12/11/2009 23,.080,99703.347000,6043.500,483.49,6043.500
12/11/2009 19,12/12/2009 00,.110,101139.120000,6041.900,664.67,6041.900
12/11/2009 20,12/12/2009 01,.070,99717.622000,6036.100,422.54,6036.100
12/11/2009 21,12/12/2009 02,.050,98191.133000,6056.700,303.00,6056.700
12/11/2009 22,12/12/2009 03,.050,95771.223000,6049.000,302.56,6049.000
12/11/2009 23,12/12/2009 04,.050,91566.836000,6033.300,301.75,6033.300
12/11/2009 24,12/12/2009 05,.040,86069.567000,6068.900,242.76,6068.900
12/12/2009 01,12/12/2009 06,.050,81305.751000,5621.600,281.23,5621.600
12/12/2009 02,12/12/2009 07,.050,78706.896000,5779.700,289.11,5779.700
12/12/2009 03,12/12/2009 08,.050,77581.204000,5765.800,288.41,5765.800
12/12/2009 04,12/12/2009 09,.050,77204.935000,5755.200,287.94,5755.200
12/12/2009 05,12/12/2009 10,.050,77943.450000,5758.900,288.08,5758.900
12/12/2009 06,12/12/2009 11,.040,80092.331000,5725.500,229.05,5725.500
12/12/2009 07,12/12/2009 12,.050,83611.231000,5779.100,289.08,5779.100
12/12/2009 08,12/12/2009 13,.050,86630.612000,5778.300,289.09,5778.300
12/12/2009 09,12/12/2009 14,.050,88570.926000,5788.600,289.52,5788.600
12/12/2009 10,12/12/2009 15,.070,87990.293000,5788.600,405.18,5788.600
12/12/2009 11,12/12/2009 16,.050,86121.528000,5779.200,289.10,5779.200
12/12/2009 12,12/12/2009 17,.050,83510.671000,5777.800,289.03,5777.800
12/12/2009 13,12/12/2009 18,.050,80893.941000,5719.600,286.08,5719.600
12/12/2009 14,12/12/2009 19,.050,78794.524000,5702.800,285.28,5702.800
12/12/2009 15,12/12/2009 20,.040,77350.220000,5707.900,228.33,5707.900
12/12/2009 16,12/12/2009 21,.040,77905.589000,5779.400,231.18,5779.400
12/12/2009 17,12/12/2009 22,.050,81668.239000,5773.400,288.81,5773.400
12/12/2009 18,12/12/2009 23,.080,88966.476000,5779.600,462.37,5779.600
12/12/2009 19,12/13/2009 00,.070,90274.656000,5779.300,404.60,5779.300
12/12/2009 20,12/13/2009 01,.070,89443.723000,5779.300,404.56,5779.300
12/12/2009 21,12/13/2009 02,.050,88405.837000,5779.400,289.00,5779.400
12/12/2009 22,12/13/2009 03,.050,86412.087000,5779.500,289.11,5779.500
12/12/2009 23,12/13/2009 04,.050,82925.445000,5761.300,288.26,5761.300
12/12/2009 24,12/13/2009 05,.040,77965.111000,5629.500,225.16,5629.500
12/13/2009 01,12/13/2009 06,.040,73493.096000,5389.200,215.61,5389.200
12/13/2009 02,12/13/2009 07,.040,70668.064000,5582.502,223.35,5582.502
12/13/2009 03,12/13/2009 08,.040,69098.484000,5725.800,229.00,5725.800
12/13/2009 04,12/13/2009 09,.040,68452.134000,5727.700,229.11,5727.700
12/13/2009 05,12/13/2009 10,.040,68351.030000,5649.200,226.01,5649.200
12/13/2009 06,12/13/2009 11,.040,69411.635000,5725.702,228.99,5725.702
12/13/2009 07,12/13/2009 12,.040,71318.067000,5732.802,229.31,5732.802
12/13/2009 08,12/13/2009 13,.050,74142.781000,5713.800,285.84,5713.800
12/13/2009 09,12/13/2009 14,.050,77071.984000,5712.000,285.74,5712.000
12/13/2009 10,12/13/2009 15,.050,79848.553000,5701.000,285.23,5701.000
12/13/2009 11,12/13/2009 16,.050,81120.827000,5703.900,285.36,5703.900
12/13/2009 12,12/13/2009 17,.050,81424.074000,5734.300,286.89,5734.300
12/13/2009 13,12/13/2009 18,.050,81613.273000,5704.000,285.34,5704.000
12/13/2009 14,12/13/2009 19,.040,80850.916000,5704.100,228.21,5704.100
12/13/2009 15,12/13/2009 20,.040,79866.315000,5704.600,228.25,5704.600
12/13/2009 16,12/13/2009 21,.040,79769.074000,5704.400,228.18,5704.400
12/13/2009 17,12/13/2009 22,.050,81976.136000,5661.000,283.19,5661.000
12/13/2009 18,12/13/2009 23,.070,86865.250000,5688.601,398.21,5688.601
12/13/2009 19,12/14/2009 00,.500,87860.589000,5709.300,2854.65,5709.300
12/13/2009 20,12/14/2009 01,.070,87211.259000,5734.200,401.41,5734.200
12/13/2009 21,12/14/2009 02,.070,85901.373000,5734.300,401.43,5734.300
12/13/2009 22,12/14/2009 03,.050,82950.867000,5727.100,286.46,5727.100
12/13/2009 23,12/14/2009 04,.050,78094.334000,5695.400,284.93,5695.400
12/13/2009 24,12/14/2009 05,.010,72492.542000,5695.300,56.96,5695.300
12/14/2009 01,12/14/2009 06,.000,68183.423000,5461.200,.00,5461.200
12/14/2009 02,12/14/2009 07,.000,65909.099000,5661.900,.00,5661.900
12/14/2009 03,12/14/2009 08,.000,65174.514000,5687.200,.00,5687.200
12/14/2009 04,12/14/2009 09,.000,65368.093000,5668.600,.00,5668.600
12/14/2009 05,12/14/2009 10,.000,67496.122000,5678.700,.00,5678.700
12/14/2009 06,12/14/2009 11,.000,72658.087000,5547.900,.00,5547.900
12/14/2009 07,12/14/2009 12,.050,81160.547000,5589.900,279.69,5589.900
12/14/2009 08,12/14/2009 13,.050,86520.484000,5580.300,279.17,5580.300
12/14/2009 09,12/14/2009 14,.050,86879.469000,5566.000,278.44,5566.000
12/14/2009 10,12/14/2009 15,.050,85986.890000,5597.500,279.98,5597.500
12/14/2009 11,12/14/2009 16,.050,84749.172000,5601.400,280.20,5601.400
