Preliminary Day-ahead Scheduling Reserve Summary
Month:,"February, 2010" ,Report Creation Timestamp (EPT):, 03/30/2012 09:56:30 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
02/01/2010 01,02/01/2010 06,.040,81683.772000,6450.400,257.98,6450.400
02/01/2010 02,02/01/2010 07,.050,80670.177000,6546.700,327.45,6546.700
02/01/2010 03,02/01/2010 08,.040,80605.151000,6476.100,259.01,6476.100
02/01/2010 04,02/01/2010 09,.050,81184.548000,6519.900,326.17,6519.900
02/01/2010 05,02/01/2010 10,.050,83416.870000,6519.500,326.13,6519.500
02/01/2010 06,02/01/2010 11,.050,88341.668000,6550.100,327.59,6550.100
02/01/2010 07,02/01/2010 12,.050,96226.672000,6503.500,325.34,6503.500
02/01/2010 08,02/01/2010 13,.250,100950.360000,6501.800,1625.57,6501.800
02/01/2010 09,02/01/2010 14,.500,100353.518000,6228.600,3114.30,6228.600
02/01/2010 10,02/01/2010 15,.080,97780.505000,6223.400,497.86,6223.400
02/01/2010 11,02/01/2010 16,.050,95412.875000,6407.600,320.49,6407.600
02/01/2010 12,02/01/2010 17,.050,93015.652000,6375.600,318.91,6375.600
02/01/2010 13,02/01/2010 18,.050,90827.319000,6332.100,316.77,6332.100
02/01/2010 14,02/01/2010 19,.040,88919.016000,6281.000,251.22,6281.000
02/01/2010 15,02/01/2010 20,.020,87247.916000,6317.200,126.35,6317.200
02/01/2010 16,02/01/2010 21,.010,86589.399000,6200.500,62.04,6200.500
02/01/2010 17,02/01/2010 22,.020,87705.246000,6183.200,123.66,6183.200
02/01/2010 18,02/01/2010 23,.050,92742.312000,6423.700,321.34,6423.700
02/01/2010 19,02/02/2010 00,.500,97336.900000,6319.000,3159.50,6319.000
02/01/2010 20,02/02/2010 01,.420,97248.299000,6440.100,2704.82,6440.100
02/01/2010 21,02/02/2010 02,.070,95997.933000,6418.600,449.31,6418.600
02/01/2010 22,02/02/2010 03,.050,92636.518000,6312.600,315.77,6312.600
02/01/2010 23,02/02/2010 04,.010,87834.398000,6214.900,62.18,6214.900
02/01/2010 24,02/02/2010 05,.000,82631.573000,6357.800,.00,6357.800
02/02/2010 01,02/02/2010 06,.010,79044.427000,6098.200,61.00,6098.200
02/02/2010 02,02/02/2010 07,.010,77371.519000,6363.400,63.69,6363.400
02/02/2010 03,02/02/2010 08,.010,76829.346000,6423.500,64.28,6423.500
02/02/2010 04,02/02/2010 09,.000,77091.656000,6289.200,.00,6289.200
02/02/2010 05,02/02/2010 10,.000,78928.739000,6273.400,.00,6273.400
02/02/2010 06,02/02/2010 11,.040,83654.804000,6423.000,256.90,6423.000
02/02/2010 07,02/02/2010 12,.090,91450.028000,6397.500,575.76,6397.500
02/02/2010 08,02/02/2010 13,.250,95935.477000,6204.500,1551.19,6204.500
02/02/2010 09,02/02/2010 14,.070,95632.863000,6203.300,434.24,6203.300
02/02/2010 10,02/02/2010 15,.050,94642.925000,6085.500,304.41,6085.500
02/02/2010 11,02/02/2010 16,.050,93401.090000,6356.500,317.87,6356.500
02/02/2010 12,02/02/2010 17,.050,92199.979000,6362.600,318.31,6362.600
02/02/2010 13,02/02/2010 18,.050,91071.658000,6154.300,307.85,6154.300
02/02/2010 14,02/02/2010 19,.040,90146.547000,6115.800,244.67,6115.800
02/02/2010 15,02/02/2010 20,.020,89292.026000,6077.600,121.55,6077.600
02/02/2010 16,02/02/2010 21,.010,89180.539000,6284.300,62.87,6284.300
02/02/2010 17,02/02/2010 22,.020,90654.186000,6304.400,126.09,6304.400
02/02/2010 18,02/02/2010 23,.070,94430.531000,6311.300,441.81,6311.300
02/02/2010 19,02/03/2010 00,.110,97350.662000,6345.700,698.07,6345.700
02/02/2010 20,02/03/2010 01,.050,96775.442000,6356.800,318.01,6356.800
02/02/2010 21,02/03/2010 02,.050,94818.303000,6159.200,308.10,6159.200
02/02/2010 22,02/03/2010 03,.050,91040.794000,6181.800,309.28,6181.800
02/02/2010 23,02/03/2010 04,.020,85786.700000,6131.500,122.62,6131.500
02/02/2010 24,02/03/2010 05,.010,80528.799000,6304.300,63.07,6304.300
02/03/2010 01,02/03/2010 06,.000,76651.516000,5867.200,.00,5867.200
02/03/2010 02,02/03/2010 07,.000,74443.538000,6039.400,.00,6039.400
02/03/2010 03,02/03/2010 08,.000,73688.275000,6034.400,.00,6034.400
02/03/2010 04,02/03/2010 09,.000,73661.403000,6048.300,.00,6048.300
02/03/2010 05,02/03/2010 10,.000,75344.694000,5906.900,.00,5906.900
