Preliminary Day-ahead Scheduling Reserve Summary
Month:,"April, 2010" ,Report Creation Timestamp (EPT):, 03/25/2013 11:22:49 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/01/2010 01,04/01/2010 05,.000,58927.329000,4643.700,.00,4643.700
04/01/2010 02,04/01/2010 06,.000,56582.211000,4661.700,.00,4661.700
04/01/2010 03,04/01/2010 07,.000,55581.419000,4661.400,.00,4661.400
04/01/2010 04,04/01/2010 08,.000,55385.752000,4665.700,.00,4665.700
04/01/2010 05,04/01/2010 09,.000,56701.289000,4085.700,.00,4085.700
04/01/2010 06,04/01/2010 10,.000,61000.330000,4094.200,.00,4094.200
04/01/2010 07,04/01/2010 11,.000,68604.341000,4931.000,.00,4931.000
04/01/2010 08,04/01/2010 12,.000,72749.478000,4928.300,.00,4928.300
04/01/2010 09,04/01/2010 13,.000,73545.010000,4982.000,.00,4982.000
04/01/2010 10,04/01/2010 14,.000,73573.734000,4939.300,.00,4939.300
04/01/2010 11,04/01/2010 15,.000,73860.049000,4671.900,.00,4671.900
04/01/2010 12,04/01/2010 16,.000,73702.131000,4999.700,.00,4999.700
04/01/2010 13,04/01/2010 17,.000,73489.837000,5027.300,.00,5027.300
04/01/2010 14,04/01/2010 18,.000,73654.938000,5145.700,.00,5145.700
04/01/2010 15,04/01/2010 19,.000,73447.675000,4881.100,.00,4881.100
04/01/2010 16,04/01/2010 20,.000,73046.433000,5145.900,.00,5145.900
04/01/2010 17,04/01/2010 21,.000,72573.617000,5075.000,.00,5075.000
04/01/2010 18,04/01/2010 22,.000,72023.336000,4680.100,.00,4680.100
04/01/2010 19,04/01/2010 23,.000,71053.387000,4356.100,.00,4356.100
04/01/2010 20,04/02/2010 00,.000,71565.251000,4359.100,.00,4359.100
04/01/2010 21,04/02/2010 01,.000,74509.225000,3789.500,.00,3789.500
04/01/2010 22,04/02/2010 02,.000,72265.686000,3796.200,.00,3796.200
04/01/2010 23,04/02/2010 03,.000,67213.868000,3803.400,.00,3803.400
04/01/2010 24,04/02/2010 04,.000,61686.342000,3789.200,.00,3789.200
04/02/2010 01,04/02/2010 05,.000,56717.732000,4083.600,.00,4083.600
04/02/2010 02,04/02/2010 06,.000,53949.244000,4316.800,.00,4316.800
04/02/2010 03,04/02/2010 07,.000,52377.606000,4146.600,.00,4146.600
04/02/2010 04,04/02/2010 08,.000,51696.371000,4146.600,.00,4146.600
04/02/2010 05,04/02/2010 09,.000,52438.174000,4146.600,.00,4146.600
04/02/2010 06,04/02/2010 10,.000,55156.241000,4083.600,.00,4083.600
04/02/2010 07,04/02/2010 11,.000,60308.914000,4783.500,.00,4783.500
04/02/2010 08,04/02/2010 12,.010,63623.344000,4759.200,47.62,4759.200
04/02/2010 09,04/02/2010 13,.020,65906.333000,4677.800,93.57,4677.800
04/02/2010 10,04/02/2010 14,.040,67702.195000,4435.600,177.43,4435.600
04/02/2010 11,04/02/2010 15,.050,68862.223000,4402.800,220.22,4402.800
04/02/2010 12,04/02/2010 16,.050,69332.569000,4662.800,233.22,4662.800
04/02/2010 13,04/02/2010 17,.050,69393.127000,4753.100,237.74,4753.100
04/02/2010 14,04/02/2010 18,.050,69389.952000,4802.300,240.17,4802.300
04/02/2010 15,04/02/2010 19,.050,69330.363000,4802.000,240.14,4802.000
04/02/2010 16,04/02/2010 20,.040,69123.641000,4685.600,187.46,4685.600
04/02/2010 17,04/02/2010 21,.040,69245.268000,4613.000,184.54,4613.000
04/02/2010 18,04/02/2010 22,.040,69127.163000,4464.000,178.57,4464.000
04/02/2010 19,04/02/2010 23,.040,67910.470000,4105.000,164.20,4105.000
04/02/2010 20,04/03/2010 00,.040,68223.071000,4080.700,163.18,4080.700
04/02/2010 21,04/03/2010 01,.040,70399.196000,3815.900,152.66,3815.900
04/02/2010 22,04/03/2010 02,.040,68329.411000,3952.400,158.10,3952.400
04/02/2010 23,04/03/2010 03,.000,64216.027000,4013.300,.00,4013.300
04/02/2010 24,04/03/2010 04,.000,59404.260000,4206.600,.00,4206.600
04/03/2010 01,04/03/2010 05,.000,55162.907000,3628.300,.00,3628.300
04/03/2010 02,04/03/2010 06,.000,52269.960000,3692.700,.00,3692.700
04/03/2010 03,04/03/2010 07,.000,50647.315000,3692.700,.00,3692.700
04/03/2010 04,04/03/2010 08,.000,49624.515000,3692.700,.00,3692.700
04/03/2010 05,04/03/2010 09,.000,49584.490000,3692.700,.00,3692.700
04/03/2010 06,04/03/2010 10,.000,50577.499000,3623.300,.00,3623.300
04/03/2010 07,04/03/2010 11,.000,52671.759000,3877.400,.00,3877.400
04/03/2010 08,04/03/2010 12,.000,55200.215000,4014.600,.00,4014.600
04/03/2010 09,04/03/2010 13,.000,59195.230000,4008.600,.00,4008.600
04/03/2010 10,04/03/2010 14,.000,62282.432000,3989.200,.00,3989.200
04/03/2010 11,04/03/2010 15,.020,64050.543000,3910.600,78.22,3910.600
04/03/2010 12,04/03/2010 16,.020,64487.859000,3820.200,76.41,3820.200
04/03/2010 13,04/03/2010 17,.020,64283.505000,3930.400,78.61,3930.400
04/03/2010 14,04/03/2010 18,.000,63687.590000,3981.400,.00,3981.400
04/03/2010 15,04/03/2010 19,.000,63097.882000,3976.900,.00,3976.900
04/03/2010 16,04/03/2010 20,.000,62710.054000,3977.000,.00,3977.000
04/03/2010 17,04/03/2010 21,.000,62704.783000,3974.200,.00,3974.200
04/03/2010 18,04/03/2010 22,.000,62621.420000,3951.700,.00,3951.700
04/03/2010 19,04/03/2010 23,.010,62636.405000,3617.000,36.18,3617.000
04/03/2010 20,04/04/2010 00,.040,64321.565000,3448.800,137.99,3448.800
04/03/2010 21,04/04/2010 01,.040,67210.264000,3448.700,137.99,3448.700
04/03/2010 22,04/04/2010 02,.000,65943.841000,3661.000,.00,3661.000
04/03/2010 23,04/04/2010 03,.000,62529.440000,3616.900,.00,3616.900
04/03/2010 24,04/04/2010 04,.000,58153.862000,3654.900,.00,3654.900
04/04/2010 01,04/04/2010 05,.000,54017.669000,3577.800,.00,3577.800
04/04/2010 02,04/04/2010 06,.000,51120.505000,3581.100,.00,3581.100
04/04/2010 03,04/04/2010 07,.000,49508.685000,3599.200,.00,3599.200
04/04/2010 04,04/04/2010 08,.000,48579.445000,3589.400,.00,3589.400
04/04/2010 05,04/04/2010 09,.000,48388.203000,3604.000,.00,3604.000
04/04/2010 06,04/04/2010 10,.000,49402.967000,3445.700,.00,3445.700
04/04/2010 07,04/04/2010 11,.000,51157.470000,3963.300,.00,3963.300
04/04/2010 08,04/04/2010 12,.000,53143.846000,3930.500,.00,3930.500
04/04/2010 09,04/04/2010 13,.000,56652.478000,3922.000,.00,3922.000
04/04/2010 10,04/04/2010 14,.000,59279.087000,3945.400,.00,3945.400
04/04/2010 11,04/04/2010 15,.000,60390.675000,3915.700,.00,3915.700
04/04/2010 12,04/04/2010 16,.000,60444.413000,3831.200,.00,3831.200
04/04/2010 13,04/04/2010 17,.000,60735.383000,3891.200,.00,3891.200
04/04/2010 14,04/04/2010 18,.000,60123.637000,3920.100,.00,3920.100
04/04/2010 15,04/04/2010 19,.000,59347.021000,3919.200,.00,3919.200
04/04/2010 16,04/04/2010 20,.000,59089.418000,3915.500,.00,3915.500
04/04/2010 17,04/04/2010 21,.000,59021.955000,3922.700,.00,3922.700
04/04/2010 18,04/04/2010 22,.000,58904.527000,3922.100,.00,3922.100
04/04/2010 19,04/04/2010 23,.000,59306.781000,3586.400,.00,3586.400
04/04/2010 20,04/05/2010 00,.040,61606.234000,3416.500,136.67,3416.500
04/04/2010 21,04/05/2010 01,.040,65445.161000,3503.100,140.16,3503.100
04/04/2010 22,04/05/2010 02,.020,64328.238000,3496.300,69.94,3496.300
04/04/2010 23,04/05/2010 03,.000,60827.533000,3505.900,.00,3505.900
04/04/2010 24,04/05/2010 04,.000,56668.862000,3452.400,.00,3452.400
04/05/2010 01,04/05/2010 05,.000,53124.838000,4307.800,.00,4307.800
04/05/2010 02,04/05/2010 06,.000,51300.535000,4319.100,.00,4319.100
04/05/2010 03,04/05/2010 07,.000,50088.958000,4317.800,.00,4317.800
04/05/2010 04,04/05/2010 08,.000,50078.884000,4317.700,.00,4317.700
04/05/2010 05,04/05/2010 09,.000,51338.003000,4311.700,.00,4311.700
04/05/2010 06,04/05/2010 10,.000,54992.697000,3780.000,.00,3780.000
