Preliminary Day-ahead Scheduling Reserve Summary
Month:,"May, 2010" ,Report Creation Timestamp (EPT):, 03/25/2013 12:57:13 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
05/01/2010 01,05/01/2010 05,.000,59461.170000,4152.800,.00,4152.800
05/01/2010 02,05/01/2010 06,.000,55935.013000,4284.500,.00,4284.500
05/01/2010 03,05/01/2010 07,.000,53631.932000,4290.900,.00,4290.900
05/01/2010 04,05/01/2010 08,.000,52332.849000,4290.900,.00,4290.900
05/01/2010 05,05/01/2010 09,.000,52157.204000,4123.400,.00,4123.400
05/01/2010 06,05/01/2010 10,.000,53044.655000,3888.700,.00,3888.700
05/01/2010 07,05/01/2010 11,.000,54225.119000,4636.500,.00,4636.500
05/01/2010 08,05/01/2010 12,.000,57491.994000,4525.600,.00,4525.600
05/01/2010 09,05/01/2010 13,.010,62197.811000,4534.600,45.36,4534.600
05/01/2010 10,05/01/2010 14,.020,66285.438000,4551.200,91.04,4551.200
05/01/2010 11,05/01/2010 15,.020,69360.782000,4565.300,91.31,4565.300
05/01/2010 12,05/01/2010 16,.020,71842.372000,4564.400,91.29,4564.400
05/01/2010 13,05/01/2010 17,.040,73465.804000,4417.800,176.72,4417.800
05/01/2010 14,05/01/2010 18,.080,74587.808000,4339.700,347.20,4339.700
05/01/2010 15,05/01/2010 19,.090,75432.151000,4333.400,390.05,4333.400
05/01/2010 16,05/01/2010 20,.110,76272.547000,4389.200,482.80,4389.200
05/01/2010 17,05/01/2010 21,.090,76846.579000,4378.500,394.09,4378.500
05/01/2010 18,05/01/2010 22,.050,76868.517000,4394.000,219.76,4394.000
05/01/2010 19,05/01/2010 23,.040,75963.361000,4103.300,164.14,4103.300
05/01/2010 20,05/02/2010 00,.040,75346.141000,4159.000,166.35,4159.000
05/01/2010 21,05/02/2010 01,.050,76794.727000,4045.800,202.39,4045.800
05/01/2010 22,05/02/2010 02,.020,76097.356000,4210.400,84.21,4210.400
05/01/2010 23,05/02/2010 03,.020,71874.955000,4202.200,84.06,4202.200
05/01/2010 24,05/02/2010 04,.000,66632.820000,4031.400,.00,4031.400
05/02/2010 01,05/02/2010 05,.000,61781.791000,3671.400,.00,3671.400
05/02/2010 02,05/02/2010 06,.000,58530.476000,3831.300,.00,3831.300
05/02/2010 03,05/02/2010 07,.000,56265.424000,3905.300,.00,3905.300
05/02/2010 04,05/02/2010 08,.000,54888.896000,3816.500,.00,3816.500
05/02/2010 05,05/02/2010 09,.000,54202.489000,3966.300,.00,3966.300
05/02/2010 06,05/02/2010 10,.000,54589.406000,3908.000,.00,3908.000
05/02/2010 07,05/02/2010 11,.000,55120.404000,4307.300,.00,4307.300
05/02/2010 08,05/02/2010 12,.000,57442.111000,4120.600,.00,4120.600
05/02/2010 09,05/02/2010 13,.000,61922.536000,4166.400,.00,4166.400
05/02/2010 10,05/02/2010 14,.020,66968.141000,4147.700,82.97,4147.700
05/02/2010 11,05/02/2010 15,.020,71274.309000,3998.200,79.99,3998.200
05/02/2010 12,05/02/2010 16,.020,74609.007000,4263.900,85.29,4263.900
05/02/2010 13,05/02/2010 17,.040,76930.138000,4260.100,170.42,4260.100
05/02/2010 14,05/02/2010 18,.050,78826.676000,4160.500,208.16,4160.500
05/02/2010 15,05/02/2010 19,.040,79741.570000,4139.600,165.62,4139.600
05/02/2010 16,05/02/2010 20,.050,80455.853000,4138.500,207.01,4138.500
05/02/2010 17,05/02/2010 21,.050,81336.725000,4138.500,207.03,4138.500
05/02/2010 18,05/02/2010 22,.050,82162.378000,4138.400,207.00,4138.400
05/02/2010 19,05/02/2010 23,.050,82250.241000,3777.800,188.96,3777.800
05/02/2010 20,05/03/2010 00,.040,82318.125000,3612.400,144.52,3612.400
05/02/2010 21,05/03/2010 01,.500,84460.677000,3773.600,1886.80,3773.600
05/02/2010 22,05/03/2010 02,.040,83348.968000,3617.800,144.73,3617.800
05/02/2010 23,05/03/2010 03,.020,78054.229000,4022.600,80.46,4022.600
05/02/2010 24,05/03/2010 04,.000,71865.658000,3833.300,.00,3833.300
05/03/2010 01,05/03/2010 05,.000,66673.727000,4694.900,.00,4694.900
05/03/2010 02,05/03/2010 06,.000,63415.620000,4713.800,.00,4713.800
05/03/2010 03,05/03/2010 07,.000,61410.752000,4713.800,.00,4713.800
05/03/2010 04,05/03/2010 08,.000,60459.521000,4713.800,.00,4713.800
05/03/2010 05,05/03/2010 09,.000,61121.020000,4694.200,.00,4694.200
05/03/2010 06,05/03/2010 10,.000,64477.188000,4563.800,.00,4563.800
05/03/2010 07,05/03/2010 11,.000,71168.277000,5577.600,.00,5577.600
05/03/2010 08,05/03/2010 12,.000,76392.511000,5557.200,.00,5557.200
