Preliminary Day-ahead Scheduling Reserve Summary
Month:,"September, 2010" ,Report Creation Timestamp (EPT):, 11/02/2012 08:57:51 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
09/01/2010 01,09/01/2010 05,.000,83640.222000,7546.300,.00,7546.300
09/01/2010 02,09/01/2010 06,.000,78055.789000,7420.700,.00,7420.700
09/01/2010 03,09/01/2010 07,.000,74274.367000,7391.200,.00,7391.200
09/01/2010 04,09/01/2010 08,.000,72114.698000,7439.700,.00,7439.700
09/01/2010 05,09/01/2010 09,.000,71709.579000,7587.600,.00,7587.600
09/01/2010 06,09/01/2010 10,.000,74321.182000,7432.000,.00,7432.000
09/01/2010 07,09/01/2010 11,.000,80193.452000,7378.000,.00,7378.000
09/01/2010 08,09/01/2010 12,.000,85070.885000,7796.900,.00,7796.900
09/01/2010 09,09/01/2010 13,.010,90249.989000,7821.900,78.26,7821.900
09/01/2010 10,09/01/2010 14,.020,96112.557000,7823.900,156.49,7823.900
09/01/2010 11,09/01/2010 15,.020,102707.001000,7828.100,156.55,7828.100
09/01/2010 12,09/01/2010 16,.040,109219.150000,7824.200,312.96,7824.200
09/01/2010 13,09/01/2010 17,.110,114562.742000,7765.700,854.31,7765.700
09/01/2010 14,09/01/2010 18,2.000,118927.912000,7666.899,15333.79,7666.899
09/01/2010 15,09/01/2010 19,4.000,122115.381000,7751.900,31007.60,7751.900
09/01/2010 16,09/01/2010 20,5.000,124210.171000,7705.899,38529.51,7705.899
09/01/2010 17,09/01/2010 21,5.000,124893.939000,7722.600,38613.00,7722.600
09/01/2010 18,09/01/2010 22,2.000,123973.386000,7746.899,15493.79,7746.899
09/01/2010 19,09/01/2010 23,1.000,120506.566000,7767.101,7767.09,7767.101
09/01/2010 20,09/02/2010 00,.150,116307.125000,7855.900,1178.45,7855.900
09/01/2010 21,09/02/2010 01,.040,115237.072000,7709.000,308.33,7709.000
09/01/2010 22,09/02/2010 02,.040,109520.486000,7706.700,308.23,7706.700
09/01/2010 23,09/02/2010 03,.020,100434.738000,7685.400,153.73,7685.400
09/01/2010 24,09/02/2010 04,.000,90799.563000,7659.500,.00,7659.500
09/02/2010 01,09/02/2010 05,.000,82920.934000,7147.400,.00,7147.400
09/02/2010 02,09/02/2010 06,.000,77392.740000,7237.400,.00,7237.400
09/02/2010 03,09/02/2010 07,.000,74079.443000,7291.600,.00,7291.600
09/02/2010 04,09/02/2010 08,.000,71571.731000,7330.100,.00,7330.100
09/02/2010 05,09/02/2010 09,.000,71296.512000,7147.400,.00,7147.400
09/02/2010 06,09/02/2010 10,.000,74060.483000,7193.700,.00,7193.700
09/02/2010 07,09/02/2010 11,.000,80537.954000,7070.400,.00,7070.400
09/02/2010 08,09/02/2010 12,.000,85331.874000,7455.100,.00,7455.100
09/02/2010 09,09/02/2010 13,.000,90801.635000,7523.000,.00,7523.000
