Preliminary Day-ahead Scheduling Reserve Summary
Month:,"October, 2010" ,Report Creation Timestamp (EPT):, 12/04/2011 04:38:43 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
10/01/2010 01,10/01/2010 05,.000,63620.675000,4633.300,.00,4633.300
10/01/2010 02,10/01/2010 06,.000,60412.198000,4701.800,.00,4701.800
10/01/2010 03,10/01/2010 07,.000,58329.159000,4700.300,.00,4700.300
10/01/2010 04,10/01/2010 08,.000,57072.949000,4682.600,.00,4682.600
10/01/2010 05,10/01/2010 09,.000,57223.539000,4693.300,.00,4693.300
10/01/2010 06,10/01/2010 10,.000,60151.815000,4707.700,.00,4707.700
10/01/2010 07,10/01/2010 11,.000,67124.401000,4869.000,.00,4869.000
10/01/2010 08,10/01/2010 12,.000,72024.048000,4863.800,.00,4863.800
10/01/2010 09,10/01/2010 13,.000,73333.825000,4863.600,.00,4863.600
10/01/2010 10,10/01/2010 14,.000,74673.650000,4875.300,.00,4875.300
10/01/2010 11,10/01/2010 15,.000,75972.778000,4842.700,.00,4842.700
10/01/2010 12,10/01/2010 16,.000,76466.793000,4852.500,.00,4852.500
10/01/2010 13,10/01/2010 17,.000,76694.280000,4810.700,.00,4810.700
10/01/2010 14,10/01/2010 18,.000,76785.205000,4823.400,.00,4823.400
10/01/2010 15,10/01/2010 19,.000,76371.670000,4830.400,.00,4830.400
10/01/2010 16,10/01/2010 20,.000,75709.459000,4823.500,.00,4823.500
10/01/2010 17,10/01/2010 21,.000,75297.197000,4665.500,.00,4665.500
10/01/2010 18,10/01/2010 22,.000,74250.915000,4672.400,.00,4672.400
10/01/2010 19,10/01/2010 23,.000,72710.113000,4673.200,.00,4673.200
10/01/2010 20,10/02/2010 00,.000,74141.144000,4503.500,.00,4503.500
10/01/2010 21,10/02/2010 01,.000,73595.644000,4276.800,.00,4276.800
10/01/2010 22,10/02/2010 02,.000,70692.961000,4471.700,.00,4471.700
10/01/2010 23,10/02/2010 03,.000,66581.335000,4568.000,.00,4568.000
10/01/2010 24,10/02/2010 04,.000,61543.675000,4476.800,.00,4476.800
10/02/2010 01,10/02/2010 05,.000,57119.756000,4285.700,.00,4285.700
10/02/2010 02,10/02/2010 06,.000,54272.335000,4268.800,.00,4268.800
10/02/2010 03,10/02/2010 07,.000,52571.108000,4238.800,.00,4238.800
10/02/2010 04,10/02/2010 08,.000,51653.327000,4268.800,.00,4268.800
10/02/2010 05,10/02/2010 09,.000,51502.048000,4253.000,.00,4253.000
10/02/2010 06,10/02/2010 10,.000,52556.282000,4238.800,.00,4238.800
10/02/2010 07,10/02/2010 11,.000,54817.277000,4261.900,.00,4261.900
10/02/2010 08,10/02/2010 12,.000,57396.218000,4231.800,.00,4231.800
10/02/2010 09,10/02/2010 13,.000,60742.106000,4224.800,.00,4224.800
10/02/2010 10,10/02/2010 14,.000,63609.288000,4284.400,.00,4284.400
10/02/2010 11,10/02/2010 15,.010,65085.798000,3969.900,39.74,3969.900
10/02/2010 12,10/02/2010 16,.010,65503.020000,3963.200,39.63,3963.200
10/02/2010 13,10/02/2010 17,.000,65389.775000,4232.800,.00,4232.800
10/02/2010 14,10/02/2010 18,.000,65198.849000,4238.300,.00,4238.300
10/02/2010 15,10/02/2010 19,.000,64635.906000,4194.200,.00,4194.200
10/02/2010 16,10/02/2010 20,.000,64579.263000,4224.300,.00,4224.300
10/02/2010 17,10/02/2010 21,.000,64953.012000,4248.500,.00,4248.500
10/02/2010 18,10/02/2010 22,.000,65006.106000,4264.900,.00,4264.900
10/02/2010 19,10/02/2010 23,.010,65261.493000,4226.000,42.29,4226.000
10/02/2010 20,10/03/2010 00,.020,68139.428000,4218.900,84.38,4218.900
10/02/2010 21,10/03/2010 01,.010,67867.121000,4255.200,42.58,4255.200
10/02/2010 22,10/03/2010 02,.000,65569.138000,4426.200,.00,4426.200
10/02/2010 23,10/03/2010 03,.000,62176.973000,4261.800,.00,4261.800
10/02/2010 24,10/03/2010 04,.000,58168.785000,4215.900,.00,4215.900
10/03/2010 01,10/03/2010 05,.000,54496.857000,4182.300,.00,4182.300
10/03/2010 02,10/03/2010 06,.000,52030.965000,4166.900,.00,4166.900
10/03/2010 03,10/03/2010 07,.000,50612.555000,4148.900,.00,4148.900
10/03/2010 04,10/03/2010 08,.000,49716.369000,4114.800,.00,4114.800
