Preliminary Day-ahead Scheduling Reserve Summary
Month:,"January, 2011" ,Report Creation Timestamp (EPT):, 03/05/2013 10:56:59 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/01/2011 01,01/01/2011 06,.010,67431.623000,5440.000,54.43,5440.000
01/01/2011 02,01/01/2011 07,.010,65297.773000,5291.700,52.97,5291.700
01/01/2011 03,01/01/2011 08,.010,63576.779000,5365.701,53.69,5365.701
01/01/2011 04,01/01/2011 09,.010,62573.064000,5373.901,53.77,5373.901
01/01/2011 05,01/01/2011 10,.010,62611.878000,5361.701,53.66,5361.701
01/01/2011 06,01/01/2011 11,.000,63372.393000,5436.200,.00,5436.200
01/01/2011 07,01/01/2011 12,.010,65056.185000,5532.600,55.36,5532.600
01/01/2011 08,01/01/2011 13,.010,66395.952000,5564.500,55.70,5564.500
01/01/2011 09,01/01/2011 14,.010,67708.337000,5564.700,55.70,5564.700
01/01/2011 10,01/01/2011 15,.020,69045.644000,5564.700,111.30,5564.700
01/01/2011 11,01/01/2011 16,.020,70579.299000,5564.600,111.30,5564.600
01/01/2011 12,01/01/2011 17,.020,71308.641000,5564.600,111.29,5564.600
01/01/2011 13,01/01/2011 18,.020,71354.523000,5564.800,111.29,5564.800
01/01/2011 14,01/01/2011 19,.010,70737.550000,5564.800,55.69,5564.800
01/01/2011 15,01/01/2011 20,.010,69979.309000,5564.800,55.67,5564.800
01/01/2011 16,01/01/2011 21,.010,69886.987000,5564.900,55.67,5564.900
01/01/2011 17,01/01/2011 22,.020,72144.036000,5564.800,111.31,5564.800
01/01/2011 18,01/01/2011 23,.050,77169.996000,5524.600,276.30,5524.600
01/01/2011 19,01/02/2011 00,.080,78249.158000,5524.800,441.99,5524.800
01/01/2011 20,01/02/2011 01,.040,77270.812000,5524.600,221.00,5524.600
01/01/2011 21,01/02/2011 02,.040,76003.863000,5524.400,220.96,5524.400
01/01/2011 22,01/02/2011 03,.020,74042.139000,5522.600,110.46,5522.600
01/01/2011 23,01/02/2011 04,.020,71025.729000,5504.600,110.10,5504.600
01/01/2011 24,01/02/2011 05,.010,67126.853000,5564.600,55.65,5564.600
01/02/2011 01,01/02/2011 06,.010,63498.056000,6025.102,60.25,6025.102
01/02/2011 02,01/02/2011 07,.010,61028.928000,6057.300,60.65,6057.300
01/02/2011 03,01/02/2011 08,.010,59787.749000,6057.600,60.65,6057.600
01/02/2011 04,01/02/2011 09,.010,59137.443000,6057.600,60.62,6057.600
