Preliminary Day-ahead Scheduling Reserve Summary
Month:,"March, 2011" ,Report Creation Timestamp (EPT):, 11/03/2012 03:21:01 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
03/01/2011 01,03/01/2011 06,.000,67708.277000,5504.700,.00,5504.700
03/01/2011 02,03/01/2011 07,.000,66352.938000,5657.700,.00,5657.700
03/01/2011 03,03/01/2011 08,.000,66259.772000,5692.300,.00,5692.300
03/01/2011 04,03/01/2011 09,.000,66802.825000,5752.200,.00,5752.200
03/01/2011 05,03/01/2011 10,.000,69157.058000,5730.700,.00,5730.700
03/01/2011 06,03/01/2011 11,.000,74909.876000,5762.700,.00,5762.700
03/01/2011 07,03/01/2011 12,.010,83713.652000,5709.802,57.11,5709.802
03/01/2011 08,03/01/2011 13,.040,87644.167000,5763.200,230.50,5763.200
03/01/2011 09,03/01/2011 14,.020,86819.221000,5613.500,112.29,5613.500
03/01/2011 10,03/01/2011 15,.010,84972.212000,5711.400,57.12,5711.400
03/01/2011 11,03/01/2011 16,.010,83745.048000,5864.800,58.67,5864.800
03/01/2011 12,03/01/2011 17,.000,82179.194000,5826.100,.00,5826.100
03/01/2011 13,03/01/2011 18,.000,80399.625000,5818.700,.00,5818.700
03/01/2011 14,03/01/2011 19,.000,78988.709000,5805.000,.00,5805.000
03/01/2011 15,03/01/2011 20,.000,77612.657000,5697.800,.00,5697.800
03/01/2011 16,03/01/2011 21,.000,76520.069000,5692.100,.00,5692.100
03/01/2011 17,03/01/2011 22,.000,76856.731000,5225.700,.00,5225.700
03/01/2011 18,03/01/2011 23,.000,79176.395000,5184.800,.00,5184.800
03/01/2011 19,03/02/2011 00,.040,84900.184000,4941.400,197.63,4941.400
03/01/2011 20,03/02/2011 01,.040,87566.530000,4994.700,199.80,4994.700
03/01/2011 21,03/02/2011 02,.020,87132.154000,5058.600,101.18,5058.600
03/01/2011 22,03/02/2011 03,.000,84695.813000,5034.900,.00,5034.900
03/01/2011 23,03/02/2011 04,.000,80069.493000,5055.600,.00,5055.600
03/01/2011 24,03/02/2011 05,.000,75162.589000,4754.700,.00,4754.700
03/02/2011 01,03/02/2011 06,.000,71861.988000,5313.300,.00,5313.300
03/02/2011 02,03/02/2011 07,.000,70239.401000,5458.700,.00,5458.700
