Preliminary Day-ahead Scheduling Reserve Summary
Month:,"April, 2011" ,Report Creation Timestamp (EPT):, 12/03/2012 01:36:51 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/01/2011 01,04/01/2011 05,.000,68487.020000,5566.500,.00,5566.500
04/01/2011 02,04/01/2011 06,.000,66360.483000,5657.400,.00,5657.400
04/01/2011 03,04/01/2011 07,.000,65369.003000,5653.300,.00,5653.300
04/01/2011 04,04/01/2011 08,.000,65276.108000,5664.000,.00,5664.000
04/01/2011 05,04/01/2011 09,.000,66795.316000,5652.900,.00,5652.900
04/01/2011 06,04/01/2011 10,.000,71211.205000,5656.100,.00,5656.100
04/01/2011 07,04/01/2011 11,.000,79113.587000,5603.800,.00,5603.800
04/01/2011 08,04/01/2011 12,.040,83732.050000,5545.800,221.80,5545.800
04/01/2011 09,04/01/2011 13,.020,84571.988000,5618.900,112.39,5618.900
04/01/2011 10,04/01/2011 14,.030,84129.999000,5631.400,168.95,5631.400
04/01/2011 11,04/01/2011 15,.020,83736.773000,5631.500,112.64,5631.500
04/01/2011 12,04/01/2011 16,.010,82661.841000,5145.000,51.47,5145.000
04/01/2011 13,04/01/2011 17,.010,81454.209000,5215.100,52.17,5215.100
04/01/2011 14,04/01/2011 18,.010,80476.358000,5689.100,56.93,5689.100
04/01/2011 15,04/01/2011 19,.000,79205.876000,5688.800,.00,5688.800
04/01/2011 16,04/01/2011 20,.000,78193.545000,5690.400,.00,5690.400
04/01/2011 17,04/01/2011 21,.000,77614.115000,5695.500,.00,5695.500
04/01/2011 18,04/01/2011 22,.000,77289.618000,5709.200,.00,5709.200
04/01/2011 19,04/01/2011 23,.000,77144.417000,5693.400,.00,5693.400
04/01/2011 20,04/02/2011 00,.000,78656.108000,5688.900,.00,5688.900
04/01/2011 21,04/02/2011 01,.010,80700.375000,5530.500,55.35,5530.500
04/01/2011 22,04/02/2011 02,.010,79066.709000,5609.500,56.10,5609.500
04/01/2011 23,04/02/2011 03,.000,75453.421000,5643.700,.00,5643.700
04/01/2011 24,04/02/2011 04,.000,71076.876000,5619.300,.00,5619.300
