Preliminary Day-ahead Scheduling Reserve Summary
Month:,"May, 2011" ,Report Creation Timestamp (EPT):, 03/05/2013 11:35:44 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
05/01/2011 01,05/01/2011 05,.000,54634.394000,3953.200,.00,3953.200
05/01/2011 02,05/01/2011 06,.000,52160.602000,4039.700,.00,4039.700
05/01/2011 03,05/01/2011 07,.000,50745.555000,4049.900,.00,4049.900
05/01/2011 04,05/01/2011 08,.000,50098.244000,3674.100,.00,3674.100
05/01/2011 05,05/01/2011 09,.000,49878.930000,4049.900,.00,4049.900
05/01/2011 06,05/01/2011 10,.000,50488.397000,4043.600,.00,4043.600
05/01/2011 07,05/01/2011 11,.000,51345.531000,4000.200,.00,4000.200
05/01/2011 08,05/01/2011 12,.000,53599.201000,3982.900,.00,3982.900
05/01/2011 09,05/01/2011 13,.000,56856.603000,4059.900,.00,4059.900
05/01/2011 10,05/01/2011 14,.000,59601.416000,4166.700,.00,4166.700
05/01/2011 11,05/01/2011 15,.000,61115.038000,3981.100,.00,3981.100
05/01/2011 12,05/01/2011 16,.000,62207.705000,3995.800,.00,3995.800
05/01/2011 13,05/01/2011 17,.000,62674.752000,3912.000,.00,3912.000
05/01/2011 14,05/01/2011 18,.000,62571.315000,3954.000,.00,3954.000
05/01/2011 15,05/01/2011 19,.000,62318.155000,3990.500,.00,3990.500
05/01/2011 16,05/01/2011 20,.000,62227.209000,4033.100,.00,4033.100
05/01/2011 17,05/01/2011 21,.000,62822.389000,3953.100,.00,3953.100
05/01/2011 18,05/01/2011 22,.000,63813.228000,3924.100,.00,3924.100
05/01/2011 19,05/01/2011 23,.010,64448.284000,3864.900,38.67,3864.900
05/01/2011 20,05/02/2011 00,.010,65682.393000,3664.400,36.66,3664.400
05/01/2011 21,05/02/2011 01,.040,68624.488000,3569.500,142.82,3569.500
05/01/2011 22,05/02/2011 02,.020,67733.303000,3797.100,75.94,3797.100
05/01/2011 23,05/02/2011 03,.000,63492.878000,3949.700,.00,3949.700
05/01/2011 24,05/02/2011 04,.000,58978.657000,3942.200,.00,3942.200
05/02/2011 01,05/02/2011 05,.000,55416.762000,4449.900,.00,4449.900
05/02/2011 02,05/02/2011 06,.000,53315.378000,4656.100,.00,4656.100
05/02/2011 03,05/02/2011 07,.000,52273.922000,4648.700,.00,4648.700
05/02/2011 04,05/02/2011 08,.000,51961.036000,4640.900,.00,4640.900
05/02/2011 05,05/02/2011 09,.000,52975.798000,4598.100,.00,4598.100
05/02/2011 06,05/02/2011 10,.000,57186.758000,4751.500,.00,4751.500
05/02/2011 07,05/02/2011 11,.000,64405.442000,4730.900,.00,4730.900
05/02/2011 08,05/02/2011 12,.000,69215.463000,4589.700,.00,4589.700
05/02/2011 09,05/02/2011 13,.010,71696.296000,4676.500,46.82,4676.500
05/02/2011 10,05/02/2011 14,.010,72916.805000,4686.600,46.91,4686.600
05/02/2011 11,05/02/2011 15,.010,74131.092000,4706.600,47.13,4706.600
05/02/2011 12,05/02/2011 16,.010,74708.054000,4706.300,47.07,4706.300
05/02/2011 13,05/02/2011 17,.010,75320.089000,4706.100,47.11,4706.100
05/02/2011 14,05/02/2011 18,.010,75589.164000,4706.500,47.08,4706.500
05/02/2011 15,05/02/2011 19,.010,75686.815000,4706.500,47.09,4706.500
05/02/2011 16,05/02/2011 20,.000,75606.780000,4584.800,.00,4584.800
05/02/2011 17,05/02/2011 21,.010,75708.647000,4062.400,40.63,4062.400
05/02/2011 18,05/02/2011 22,.010,75563.460000,4143.300,41.45,4143.300
05/02/2011 19,05/02/2011 23,.010,75140.200000,3996.300,40.01,3996.300
05/02/2011 20,05/03/2011 00,.010,75390.899000,3870.700,38.73,3870.700
05/02/2011 21,05/03/2011 01,.010,77820.321000,3869.800,38.73,3869.800
05/02/2011 22,05/03/2011 02,.010,76159.112000,3941.300,39.44,3941.300
05/02/2011 23,05/03/2011 03,.000,70460.543000,3931.900,.00,3931.900
05/02/2011 24,05/03/2011 04,.000,64272.457000,4072.500,.00,4072.500
05/03/2011 01,05/03/2011 05,.000,59519.202000,4819.800,.00,4819.800
05/03/2011 02,05/03/2011 06,.000,56816.382000,4889.000,.00,4889.000
05/03/2011 03,05/03/2011 07,.000,55389.349000,4733.500,.00,4733.500
05/03/2011 04,05/03/2011 08,.000,54634.262000,4849.800,.00,4849.800
05/03/2011 05,05/03/2011 09,.000,55522.481000,4868.900,.00,4868.900
05/03/2011 06,05/03/2011 10,.000,59356.934000,4777.500,.00,4777.500
05/03/2011 07,05/03/2011 11,.000,66153.672000,4878.600,.00,4878.600
05/03/2011 08,05/03/2011 12,.010,71114.914000,4846.600,48.50,4846.600
05/03/2011 09,05/03/2011 13,.010,73571.516000,4865.400,48.66,4865.400
05/03/2011 10,05/03/2011 14,.010,75369.970000,4895.100,49.00,4895.100
05/03/2011 11,05/03/2011 15,.010,77227.436000,4880.800,48.83,4880.800
05/03/2011 12,05/03/2011 16,.010,78618.150000,4872.000,48.75,4872.000
05/03/2011 13,05/03/2011 17,.010,79566.211000,4872.600,48.74,4872.600
05/03/2011 14,05/03/2011 18,.010,80721.556000,4872.700,48.76,4872.700
05/03/2011 15,05/03/2011 19,.020,81333.820000,4873.800,97.48,4873.800
05/03/2011 16,05/03/2011 20,.010,81623.674000,4874.900,48.79,4874.900
05/03/2011 17,05/03/2011 21,.010,81664.322000,4875.600,48.80,4875.600
05/03/2011 18,05/03/2011 22,.010,81660.850000,4313.700,43.17,4313.700
05/03/2011 19,05/03/2011 23,.010,80582.232000,4314.900,43.17,4314.900
05/03/2011 20,05/04/2011 00,.010,80176.835000,4089.900,40.93,4089.900
05/03/2011 21,05/04/2011 01,.010,81976.668000,4081.900,40.82,4081.900
05/03/2011 22,05/04/2011 02,.010,79764.344000,4163.400,41.69,4163.400
05/03/2011 23,05/04/2011 03,.000,73594.442000,4214.600,.00,4214.600
05/03/2011 24,05/04/2011 04,.000,66969.289000,4324.400,.00,4324.400
05/04/2011 01,05/04/2011 05,.000,61891.248000,4721.400,.00,4721.400
05/04/2011 02,05/04/2011 06,.000,58983.942000,4772.200,.00,4772.200
05/04/2011 03,05/04/2011 07,.000,57369.581000,4750.900,.00,4750.900
05/04/2011 04,05/04/2011 08,.000,56342.478000,4752.800,.00,4752.800
05/04/2011 05,05/04/2011 09,.000,57122.326000,4773.800,.00,4773.800
05/04/2011 06,05/04/2011 10,.000,60843.010000,4809.900,.00,4809.900
05/04/2011 07,05/04/2011 11,.000,67722.604000,4864.500,.00,4864.500
05/04/2011 08,05/04/2011 12,.010,72300.450000,4744.800,47.48,4744.800
05/04/2011 09,05/04/2011 13,.010,73959.197000,4858.900,48.66,4858.900
05/04/2011 10,05/04/2011 14,.010,74728.520000,4863.400,48.70,4863.400
05/04/2011 11,05/04/2011 15,.010,75339.597000,4862.200,48.69,4862.200
05/04/2011 12,05/04/2011 16,.010,75330.777000,4843.900,48.48,4843.900
05/04/2011 13,05/04/2011 17,.010,74928.663000,4853.700,48.59,4853.700
05/04/2011 14,05/04/2011 18,.010,74635.810000,4852.800,48.55,4852.800
05/04/2011 15,05/04/2011 19,.010,73889.873000,4852.800,48.60,4852.800
05/04/2011 16,05/04/2011 20,.010,72977.290000,4849.200,48.52,4849.200
05/04/2011 17,05/04/2011 21,.010,73079.209000,4850.800,48.57,4850.800
05/04/2011 18,05/04/2011 22,.010,72826.623000,4850.700,48.51,4850.700
05/04/2011 19,05/04/2011 23,.010,72467.801000,4852.000,48.58,4852.000
05/04/2011 20,05/05/2011 00,.010,72620.228000,4848.200,48.53,4848.200
05/04/2011 21,05/05/2011 01,.010,75177.871000,4686.600,46.91,4686.600
05/04/2011 22,05/05/2011 02,.010,74879.781000,4683.200,46.86,4683.200
05/04/2011 23,05/05/2011 03,.000,70108.430000,4778.300,.00,4778.300
05/04/2011 24,05/05/2011 04,.000,64339.278000,4711.000,.00,4711.000
05/05/2011 01,05/05/2011 05,.000,60428.118000,4582.100,.00,4582.100
05/05/2011 02,05/05/2011 06,.000,58207.914000,4740.300,.00,4740.300
05/05/2011 03,05/05/2011 07,.000,56990.681000,4733.200,.00,4733.200
05/05/2011 04,05/05/2011 08,.000,56756.097000,4737.800,.00,4737.800
05/05/2011 05,05/05/2011 09,.000,58108.035000,4735.900,.00,4735.900
05/05/2011 06,05/05/2011 10,.000,62455.053000,4741.300,.00,4741.300
05/05/2011 07,05/05/2011 11,.000,69109.836000,4699.700,.00,4699.700
05/05/2011 08,05/05/2011 12,.010,73242.548000,4789.600,47.93,4789.600
05/05/2011 09,05/05/2011 13,.000,74255.694000,4710.600,.00,4710.600
05/05/2011 10,05/05/2011 14,.000,74190.678000,4698.500,.00,4698.500
05/05/2011 11,05/05/2011 15,.010,74364.617000,4714.900,47.20,4714.900
05/05/2011 12,05/05/2011 16,.010,74038.189000,4651.300,46.58,4651.300
05/05/2011 13,05/05/2011 17,.010,73562.422000,4611.100,46.17,4611.100
