Preliminary Day-ahead Scheduling Reserve Summary
Month:,"June, 2011" ,Report Creation Timestamp (EPT):, 03/05/2013 11:09:25 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
06/01/2011 01,06/01/2011 05,.020,82021.195000,6051.200,121.03,6051.200
06/01/2011 02,06/01/2011 06,.020,84828.613000,6840.500,136.82,6840.500
06/01/2011 03,06/01/2011 07,.010,80944.360000,6829.300,68.36,6829.300
06/01/2011 04,06/01/2011 08,.010,78406.320000,6843.501,68.45,6843.501
06/01/2011 05,06/01/2011 09,.010,77672.538000,6828.500,68.37,6828.500
06/01/2011 06,06/01/2011 10,.010,80542.485000,6703.300,67.04,6703.300
06/01/2011 07,06/01/2011 11,.020,86381.466000,6790.500,135.83,6790.500
06/01/2011 08,06/01/2011 12,.040,94164.234000,6851.200,274.05,6851.200
06/01/2011 09,06/01/2011 13,.040,100836.611000,6926.300,277.07,6926.300
06/01/2011 10,06/01/2011 14,.040,106756.557000,6928.500,277.13,6928.500
06/01/2011 11,06/01/2011 15,.570,112807.842000,7225.200,4118.39,7225.200
06/01/2011 12,06/01/2011 16,5.000,117606.227000,6993.099,34965.51,6993.099
06/01/2011 13,06/01/2011 17,10.000,121474.740000,6727.599,67275.99,6727.599
06/01/2011 14,06/01/2011 18,14.770,124279.190000,6709.099,99093.43,6709.099
06/01/2011 15,06/01/2011 19,33.880,126644.396000,6696.199,226867.21,6696.199
06/01/2011 16,06/01/2011 20,41.390,127711.817000,6695.399,277122.71,6695.399
06/01/2011 17,06/01/2011 21,41.690,128213.088000,6694.299,279085.39,6694.299
06/01/2011 18,06/01/2011 22,12.000,127174.159000,6335.399,76024.80,6335.399
06/01/2011 19,06/01/2011 23,5.000,124366.951000,6648.800,33244.00,6648.800
06/01/2011 20,06/02/2011 00,.250,119836.934000,6887.400,1721.95,6887.400
06/01/2011 21,06/02/2011 01,.040,116510.576000,6741.900,269.68,6741.900
