Preliminary Day-ahead Scheduling Reserve Summary
Month:,"July, 2011" ,Report Creation Timestamp (EPT):, 03/05/2013 11:12:52 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
07/01/2011 01,07/01/2011 05,.010,79037.539000,7608.898,76.20,7608.898
07/01/2011 02,07/01/2011 06,.000,73754.767000,7504.700,.00,7504.700
07/01/2011 03,07/01/2011 07,.000,70237.934000,7763.900,.00,7763.900
07/01/2011 04,07/01/2011 08,.000,68321.259000,7647.300,.00,7647.300
07/01/2011 05,07/01/2011 09,.000,68151.848000,7684.100,.00,7684.100
07/01/2011 06,07/01/2011 10,.000,69885.386000,7512.000,.00,7512.000
07/01/2011 07,07/01/2011 11,.000,73893.895000,7566.400,.00,7566.400
07/01/2011 08,07/01/2011 12,.010,80259.850000,7671.701,76.70,7671.701
07/01/2011 09,07/01/2011 13,.010,86979.281000,7712.700,77.15,7712.700
07/01/2011 10,07/01/2011 14,.010,92655.847000,7517.900,75.22,7517.900
07/01/2011 11,07/01/2011 15,.010,97701.164000,7434.400,74.39,7434.400
07/01/2011 12,07/01/2011 16,.020,101572.482000,7454.500,149.08,7454.500
07/01/2011 13,07/01/2011 17,.020,104323.384000,7693.600,153.87,7693.600
07/01/2011 14,07/01/2011 18,.020,107211.143000,7704.400,154.10,7704.400
07/01/2011 15,07/01/2011 19,.050,109671.536000,7696.000,384.89,7696.000
07/01/2011 16,07/01/2011 20,.250,111492.965000,7710.800,1927.75,7710.800
07/01/2011 17,07/01/2011 21,.300,113418.348000,7714.000,2314.20,7714.000
07/01/2011 18,07/01/2011 22,.050,114025.366000,7633.800,381.72,7633.800
07/01/2011 19,07/01/2011 23,.040,112142.531000,7559.300,302.36,7559.300
07/01/2011 20,07/02/2011 00,.020,107966.726000,7476.300,149.53,7476.300
07/01/2011 21,07/02/2011 01,.010,103446.044000,7304.100,73.11,7304.100
07/01/2011 22,07/02/2011 02,.010,100951.381000,7271.300,72.77,7271.300
07/01/2011 23,07/02/2011 03,.010,94813.424000,7361.900,73.65,7361.900
07/01/2011 24,07/02/2011 04,.010,86613.822000,7597.400,76.11,7597.400
07/02/2011 01,07/02/2011 05,.000,78943.149000,7283.000,.00,7283.000
07/02/2011 02,07/02/2011 06,.000,73535.644000,7422.600,.00,7422.600
07/02/2011 03,07/02/2011 07,.000,69873.364000,7434.800,.00,7434.800
07/02/2011 04,07/02/2011 08,.000,67390.849000,7353.100,.00,7353.100
07/02/2011 05,07/02/2011 09,.000,66238.273000,7209.200,.00,7209.200
07/02/2011 06,07/02/2011 10,.000,66135.378000,7292.600,.00,7292.600
07/02/2011 07,07/02/2011 11,.000,66590.473000,7435.000,.00,7435.000
07/02/2011 08,07/02/2011 12,.000,70719.639000,7409.600,.00,7409.600
07/02/2011 09,07/02/2011 13,.000,78005.500000,7395.900,.00,7395.900
07/02/2011 10,07/02/2011 14,.010,85958.876000,7243.000,72.52,7243.000
07/02/2011 11,07/02/2011 15,.010,92932.368000,7025.200,70.31,7025.200
07/02/2011 12,07/02/2011 16,.010,98874.024000,7019.200,70.32,7019.200
07/02/2011 13,07/02/2011 17,.020,103239.563000,7039.000,140.80,7039.000
07/02/2011 14,07/02/2011 18,.020,106431.425000,7283.700,145.66,7283.700
07/02/2011 15,07/02/2011 19,.040,108973.486000,7270.400,290.82,7270.400
07/02/2011 16,07/02/2011 20,.050,111448.696000,7271.500,363.77,7271.500
07/02/2011 17,07/02/2011 21,.050,113386.598000,7271.100,363.72,7271.100
07/02/2011 18,07/02/2011 22,.050,113302.734000,7271.700,363.72,7271.700
07/02/2011 19,07/02/2011 23,.020,111077.151000,7296.100,145.91,7296.100
07/02/2011 20,07/03/2011 00,.010,107255.059000,7054.200,70.64,7054.200
07/02/2011 21,07/03/2011 01,.010,103410.900000,7054.100,70.60,7054.100
07/02/2011 22,07/03/2011 02,.010,101182.913000,7049.700,70.60,7049.700
07/02/2011 23,07/03/2011 03,.000,95799.953000,7023.600,.00,7023.600
07/02/2011 24,07/03/2011 04,.010,88768.198000,7363.300,73.78,7363.300
07/03/2011 01,07/03/2011 05,.000,81883.955000,7108.800,.00,7108.800
07/03/2011 02,07/03/2011 06,.000,76413.752000,7075.500,.00,7075.500
07/03/2011 03,07/03/2011 07,.000,72683.095000,7143.100,.00,7143.100
07/03/2011 04,07/03/2011 08,.000,69999.008000,7128.900,.00,7128.900
07/03/2011 05,07/03/2011 09,.000,68341.026000,7003.800,.00,7003.800
07/03/2011 06,07/03/2011 10,.000,67801.469000,7145.200,.00,7145.200
07/03/2011 07,07/03/2011 11,.000,67405.738000,7144.100,.00,7144.100
07/03/2011 08,07/03/2011 12,.000,69821.718000,6992.300,.00,6992.300
07/03/2011 09,07/03/2011 13,.000,75615.635000,7105.900,.00,7105.900
07/03/2011 10,07/03/2011 14,.010,82426.242000,7138.200,71.51,7138.200
07/03/2011 11,07/03/2011 15,.010,89105.480000,6802.900,68.12,6802.900
07/03/2011 12,07/03/2011 16,.010,95324.073000,6737.600,67.45,6737.600
07/03/2011 13,07/03/2011 17,.010,100538.089000,6734.600,67.41,6734.600
07/03/2011 14,07/03/2011 18,.010,104444.734000,6764.600,67.72,6764.600
07/03/2011 15,07/03/2011 19,.020,107174.885000,6797.000,135.96,6797.000
07/03/2011 16,07/03/2011 20,.040,108710.619000,6962.300,278.55,6962.300
07/03/2011 17,07/03/2011 21,.040,110027.164000,6884.000,275.36,6884.000
07/03/2011 18,07/03/2011 22,.040,109579.163000,6986.800,279.52,6986.800
07/03/2011 19,07/03/2011 23,.010,106577.946000,6725.900,67.34,6725.900
07/03/2011 20,07/04/2011 00,.010,101894.444000,6788.900,67.98,6788.900
07/03/2011 21,07/04/2011 01,.010,98185.788000,6759.600,67.69,6759.600
07/03/2011 22,07/04/2011 02,.000,96248.013000,6736.900,.00,6736.900
07/03/2011 23,07/04/2011 03,.010,91995.142000,6961.400,69.71,6961.400
07/03/2011 24,07/04/2011 04,.000,85846.116000,6994.700,.00,6994.700
07/04/2011 01,07/04/2011 05,.000,79312.828000,7640.900,.00,7640.900
07/04/2011 02,07/04/2011 06,.000,74363.913000,7707.100,.00,7707.100
07/04/2011 03,07/04/2011 07,.000,70604.472000,7698.000,.00,7698.000
07/04/2011 04,07/04/2011 08,.000,68193.042000,7735.000,.00,7735.000
07/04/2011 05,07/04/2011 09,.000,67211.712000,7708.600,.00,7708.600
07/04/2011 06,07/04/2011 10,.000,67360.596000,7704.800,.00,7704.800
07/04/2011 07,07/04/2011 11,.000,67316.626000,7696.500,.00,7696.500
07/04/2011 08,07/04/2011 12,.000,70127.673000,7601.300,.00,7601.300
07/04/2011 09,07/04/2011 13,.000,75968.031000,7628.600,.00,7628.600
07/04/2011 10,07/04/2011 14,.010,83031.559000,7555.400,75.65,7555.400
07/04/2011 11,07/04/2011 15,.010,90257.329000,7147.200,71.61,7147.200
07/04/2011 12,07/04/2011 16,.010,96393.861000,7288.100,72.99,7288.100
07/04/2011 13,07/04/2011 17,.020,101054.935000,7263.800,145.30,7263.800
07/04/2011 14,07/04/2011 18,.040,104123.082000,7566.600,302.74,7566.600
07/04/2011 15,07/04/2011 19,.050,105891.455000,7566.500,378.47,7566.500
07/04/2011 16,07/04/2011 20,.050,107425.781000,7566.800,378.47,7566.800
07/04/2011 17,07/04/2011 21,.100,108513.862000,7566.700,756.67,7566.700
07/04/2011 18,07/04/2011 22,.050,107758.750000,7566.900,378.53,7566.900
07/04/2011 19,07/04/2011 23,.040,104750.792000,7568.300,302.73,7568.300
07/04/2011 20,07/05/2011 00,.020,100638.573000,7333.700,146.72,7333.700
07/04/2011 21,07/05/2011 01,.010,97457.115000,7319.900,73.24,7319.900
07/04/2011 22,07/05/2011 02,.010,94556.087000,7299.300,73.03,7299.300
07/04/2011 23,07/05/2011 03,.010,90471.998000,7282.100,72.88,7282.100
07/04/2011 24,07/05/2011 04,.010,84863.807000,7643.900,76.57,7643.900
07/05/2011 01,07/05/2011 05,.000,78227.429000,7803.400,.00,7803.400
07/05/2011 02,07/05/2011 06,.000,73036.900000,7925.600,.00,7925.600
07/05/2011 03,07/05/2011 07,.000,69968.594000,7852.900,.00,7852.900
07/05/2011 04,07/05/2011 08,.000,67857.290000,7859.300,.00,7859.300
07/05/2011 05,07/05/2011 09,.000,67786.810000,7857.800,.00,7857.800
07/05/2011 06,07/05/2011 10,.000,70210.200000,7694.500,.00,7694.500
07/05/2011 07,07/05/2011 11,.000,74723.563000,7826.800,.00,7826.800
07/05/2011 08,07/05/2011 12,.000,82058.257000,7683.300,.00,7683.300
07/05/2011 09,07/05/2011 13,.010,89873.447000,7801.200,78.00,7801.200
07/05/2011 10,07/05/2011 14,.010,97365.543000,7294.500,73.04,7294.500
07/05/2011 11,07/05/2011 15,.010,104618.251000,7372.600,73.81,7372.600
07/05/2011 12,07/05/2011 16,.020,110755.366000,7396.600,147.97,7396.600
07/05/2011 13,07/05/2011 17,.020,115742.044000,7730.500,154.62,7730.500
07/05/2011 14,07/05/2011 18,.020,119995.775000,7803.900,156.11,7803.900
07/05/2011 15,07/05/2011 19,.040,123152.251000,7851.400,314.06,7851.400
07/05/2011 16,07/05/2011 20,.100,125715.884000,8167.400,816.74,8167.400
07/05/2011 17,07/05/2011 21,.500,127840.936000,8165.800,4082.90,8165.800
07/05/2011 18,07/05/2011 22,.100,128391.583000,8165.800,816.58,8165.800
07/05/2011 19,07/05/2011 23,.020,126595.715000,7867.800,157.38,7867.800
07/05/2011 20,07/06/2011 00,.040,122642.661000,7326.900,293.09,7326.900
07/05/2011 21,07/06/2011 01,.020,117714.843000,7331.900,146.66,7331.900
07/05/2011 22,07/06/2011 02,.010,114853.882000,6966.900,69.72,6966.900
07/05/2011 23,07/06/2011 03,.010,107051.696000,7034.900,70.44,7034.900
07/05/2011 24,07/06/2011 04,.000,97451.117000,7238.700,.00,7238.700
07/06/2011 01,07/06/2011 05,.000,88419.421000,7644.200,.00,7644.200
07/06/2011 02,07/06/2011 06,.000,82391.437000,7601.500,.00,7601.500
07/06/2011 03,07/06/2011 07,.000,78344.945000,7684.400,.00,7684.400
07/06/2011 04,07/06/2011 08,.000,75744.469000,7684.500,.00,7684.500
07/06/2011 05,07/06/2011 09,.000,75399.316000,7535.100,.00,7535.100
07/06/2011 06,07/06/2011 10,.000,77585.945000,7409.100,.00,7409.100
07/06/2011 07,07/06/2011 11,.000,82164.389000,7872.400,.00,7872.400
07/06/2011 08,07/06/2011 12,.000,89198.945000,8080.200,.00,8080.200
07/06/2011 09,07/06/2011 13,.010,96176.752000,8006.800,80.08,8006.800
07/06/2011 10,07/06/2011 14,.010,102967.965000,7543.800,75.45,7543.800
07/06/2011 11,07/06/2011 15,.010,109837.729000,7784.000,77.86,7784.000
07/06/2011 12,07/06/2011 16,.020,115485.615000,8082.000,161.65,8082.000
07/06/2011 13,07/06/2011 17,.020,119971.835000,8123.200,162.46,8123.200
07/06/2011 14,07/06/2011 18,.020,123629.186000,8175.200,163.52,8175.200
07/06/2011 15,07/06/2011 19,.020,125593.613000,8175.200,163.51,8175.200
07/06/2011 16,07/06/2011 20,.040,126517.703000,8175.400,326.99,8175.400
07/06/2011 17,07/06/2011 21,.040,127487.247000,8176.400,327.04,8176.400
07/06/2011 18,07/06/2011 22,.100,126941.550000,7898.300,789.83,7898.300
07/06/2011 19,07/06/2011 23,.020,124139.354000,7939.600,158.79,7939.600
07/06/2011 20,07/07/2011 00,.020,119647.120000,7765.700,155.33,7765.700
07/06/2011 21,07/07/2011 01,.010,115025.222000,7727.900,77.39,7727.900
07/06/2011 22,07/07/2011 02,.010,112113.313000,7683.600,76.88,7683.600
07/06/2011 23,07/07/2011 03,.010,104769.908000,7463.100,74.68,7463.100
07/06/2011 24,07/07/2011 04,.010,95207.073000,7614.000,76.17,7614.000
07/07/2011 01,07/07/2011 05,.000,86736.548000,7728.200,.00,7728.200
07/07/2011 02,07/07/2011 06,.000,81176.043000,7754.800,.00,7754.800
07/07/2011 03,07/07/2011 07,.000,77317.519000,7926.300,.00,7926.300
07/07/2011 04,07/07/2011 08,.000,74971.882000,7973.500,.00,7973.500
