Preliminary Day-ahead Scheduling Reserve Summary
Month:,"August, 2011" ,Report Creation Timestamp (EPT):, 10/03/2012 11:29:42 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/01/2011 01,08/01/2011 05,.010,92130.691000,8414.200,84.20,8414.200
08/01/2011 02,08/01/2011 06,.010,86598.044000,8680.200,86.83,8680.200
08/01/2011 03,08/01/2011 07,.000,82841.561000,8622.300,.00,8622.300
08/01/2011 04,08/01/2011 08,.000,80206.392000,8647.800,.00,8647.800
08/01/2011 05,08/01/2011 09,.000,79879.970000,8614.600,.00,8614.600
08/01/2011 06,08/01/2011 10,.000,82367.247000,8423.900,.00,8423.900
08/01/2011 07,08/01/2011 11,.010,86951.615000,8286.700,82.92,8286.700
08/01/2011 08,08/01/2011 12,.010,93921.412000,8637.400,86.47,8637.400
08/01/2011 09,08/01/2011 13,.020,102043.195000,8789.300,175.78,8789.300
08/01/2011 10,08/01/2011 14,.050,110336.518000,8905.000,445.42,8905.000
08/01/2011 11,08/01/2011 15,.040,118879.465000,8591.700,343.66,8591.700
08/01/2011 12,08/01/2011 16,.150,126316.394000,8540.400,1281.18,8540.400
08/01/2011 13,08/01/2011 17,5.000,131921.634000,8217.400,41087.00,8217.400
08/01/2011 14,08/01/2011 18,11.000,136419.289000,7756.799,85324.80,7756.799
08/01/2011 15,08/01/2011 19,22.660,138910.380000,7507.699,170124.39,7507.699
08/01/2011 16,08/01/2011 20,53.070,139899.106000,7441.599,394925.67,7441.599
08/01/2011 17,08/01/2011 21,61.910,139455.131000,7441.500,460703.41,7441.500
08/01/2011 18,08/01/2011 22,49.730,136724.519000,7434.500,369717.86,7434.500
08/01/2011 19,08/01/2011 23,12.000,132514.990000,7730.800,92769.61,7730.800
08/01/2011 20,08/02/2011 00,.250,127410.418000,8539.600,2135.05,8539.600
08/01/2011 21,08/02/2011 01,1.000,123393.713000,7799.099,7799.10,7799.099
08/01/2011 22,08/02/2011 02,.100,119836.384000,7970.400,797.04,7970.400
08/01/2011 23,08/02/2011 03,.100,111316.765000,8016.200,801.62,8016.200
08/01/2011 24,08/02/2011 04,.040,101312.947000,7843.900,313.74,7843.900
08/02/2011 01,08/02/2011 05,.020,93066.724000,8683.100,173.68,8683.100
08/02/2011 02,08/02/2011 06,.010,87276.129000,8840.000,88.48,8840.000
08/02/2011 03,08/02/2011 07,.000,83486.742000,8820.500,.00,8820.500
08/02/2011 04,08/02/2011 08,.000,81142.751000,8783.100,.00,8783.100
08/02/2011 05,08/02/2011 09,.000,80674.903000,8811.100,.00,8811.100
08/02/2011 06,08/02/2011 10,.000,83516.547000,8751.200,.00,8751.200
08/02/2011 07,08/02/2011 11,.000,88285.444000,8496.900,.00,8496.900
08/02/2011 08,08/02/2011 12,.010,94581.518000,8613.900,86.20,8613.900
08/02/2011 09,08/02/2011 13,.020,101994.759000,8705.700,174.14,8705.700
08/02/2011 10,08/02/2011 14,.100,109067.021000,8772.600,877.26,8772.600
08/02/2011 11,08/02/2011 15,.040,116537.071000,8645.800,345.80,8645.800
08/02/2011 12,08/02/2011 16,.050,122477.218000,8772.500,438.77,8772.500
08/02/2011 13,08/02/2011 17,5.000,127442.392000,8289.400,41447.00,8289.400
08/02/2011 14,08/02/2011 18,7.800,131576.981000,7864.799,61345.45,7864.799
08/02/2011 15,08/02/2011 19,20.000,134741.979000,7789.699,155793.99,7789.699
08/02/2011 16,08/02/2011 20,41.810,137053.600000,7722.499,322877.77,7722.499
08/02/2011 17,08/02/2011 21,54.210,138275.490000,7703.199,417590.56,7703.199
08/02/2011 18,08/02/2011 22,35.250,137527.128000,7733.599,272609.64,7733.599
08/02/2011 19,08/02/2011 23,7.000,134567.373000,8078.500,56549.49,8078.500
08/02/2011 20,08/03/2011 00,.800,129781.692000,8643.000,6914.40,8643.000
08/02/2011 21,08/03/2011 01,1.000,126937.148000,8351.701,8351.69,8351.701
08/02/2011 22,08/03/2011 02,.150,123242.660000,8580.500,1287.16,8580.500
08/02/2011 23,08/03/2011 03,.040,114367.875000,8505.800,340.24,8505.800
08/02/2011 24,08/03/2011 04,.020,103896.922000,8726.300,174.56,8726.300
08/03/2011 01,08/03/2011 05,.000,95483.674000,7670.700,.00,7670.700
08/03/2011 02,08/03/2011 06,.000,89708.746000,7969.400,.00,7969.400
08/03/2011 03,08/03/2011 07,.000,85812.308000,7827.100,.00,7827.100
08/03/2011 04,08/03/2011 08,.000,83637.194000,8002.400,.00,8002.400
08/03/2011 05,08/03/2011 09,.000,83355.585000,7952.100,.00,7952.100
08/03/2011 06,08/03/2011 10,.000,86192.238000,7784.500,.00,7784.500
08/03/2011 07,08/03/2011 11,.000,91017.740000,7896.800,.00,7896.800
08/03/2011 08,08/03/2011 12,.000,96263.586000,7921.900,.00,7921.900
08/03/2011 09,08/03/2011 13,.040,101323.313000,7823.400,312.99,7823.400
08/03/2011 10,08/03/2011 14,.020,105912.612000,7968.800,159.40,7968.800
08/03/2011 11,08/03/2011 15,.020,110289.648000,7793.900,155.88,7793.900
08/03/2011 12,08/03/2011 16,.020,114190.148000,7803.700,156.08,7803.700
08/03/2011 13,08/03/2011 17,.100,117079.948000,7779.300,777.93,7779.300
08/03/2011 14,08/03/2011 18,.250,119027.021000,7860.500,1965.26,7860.500
08/03/2011 15,08/03/2011 19,.500,119719.191000,7872.600,3936.30,7872.600
08/03/2011 16,08/03/2011 20,.500,119280.453000,7872.500,3936.25,7872.500
08/03/2011 17,08/03/2011 21,.500,118524.814000,7830.600,3915.30,7830.600
08/03/2011 18,08/03/2011 22,.300,117429.624000,7231.700,2169.51,7231.700
08/03/2011 19,08/03/2011 23,.050,115361.970000,7015.500,350.89,7015.500
08/03/2011 20,08/04/2011 00,.020,113012.263000,7184.100,143.69,7184.100
08/03/2011 21,08/04/2011 01,.040,111562.680000,6923.400,276.94,6923.400
08/03/2011 22,08/04/2011 02,.020,108668.093000,7096.700,141.94,7096.700
08/03/2011 23,08/04/2011 03,.020,102191.673000,6928.300,138.59,6928.300
08/03/2011 24,08/04/2011 04,.000,93982.383000,7280.400,.00,7280.400
08/04/2011 01,08/04/2011 05,.000,86943.437000,7121.600,.00,7121.600
08/04/2011 02,08/04/2011 06,.000,81932.140000,6992.400,.00,6992.400
08/04/2011 03,08/04/2011 07,.000,78754.268000,7137.600,.00,7137.600
08/04/2011 04,08/04/2011 08,.000,77300.232000,7119.800,.00,7119.800
08/04/2011 05,08/04/2011 09,.000,77581.590000,7114.900,.00,7114.900
08/04/2011 06,08/04/2011 10,.000,80819.997000,7134.100,.00,7134.100
08/04/2011 07,08/04/2011 11,.000,86170.440000,7210.500,.00,7210.500
08/04/2011 08,08/04/2011 12,.000,91626.307000,7180.900,.00,7180.900
08/04/2011 09,08/04/2011 13,.000,97234.803000,7232.900,.00,7232.900
08/04/2011 10,08/04/2011 14,.000,102476.628000,7225.600,.00,7225.600
08/04/2011 11,08/04/2011 15,.010,107438.368000,7114.800,71.22,7114.800
08/04/2011 12,08/04/2011 16,.020,111468.997000,7185.100,143.71,7185.100
08/04/2011 13,08/04/2011 17,.040,115034.899000,7204.400,288.20,7204.400
08/04/2011 14,08/04/2011 18,.040,118261.006000,7208.400,288.37,7208.400
08/04/2011 15,08/04/2011 19,.050,121133.398000,7187.600,359.53,7187.600
08/04/2011 16,08/04/2011 20,.100,122831.735000,7151.200,715.12,7151.200
08/04/2011 17,08/04/2011 21,.080,123547.904000,7156.100,572.45,7156.100
08/04/2011 18,08/04/2011 22,.050,122771.852000,7195.100,359.86,7195.100
08/04/2011 19,08/04/2011 23,.040,119917.593000,7213.300,288.57,7213.300
08/04/2011 20,08/05/2011 00,.020,115726.899000,7255.000,145.11,7255.000
08/04/2011 21,08/05/2011 01,.040,113178.862000,7053.300,282.14,7053.300
08/04/2011 22,08/05/2011 02,.010,110896.922000,6979.600,69.88,6979.600
08/04/2011 23,08/05/2011 03,.000,103554.564000,7042.700,.00,7042.700
08/04/2011 24,08/05/2011 04,.000,94738.225000,7184.800,.00,7184.800
08/05/2011 01,08/05/2011 05,.000,86998.103000,7839.600,.00,7839.600
08/05/2011 02,08/05/2011 06,.000,81359.028000,7702.800,.00,7702.800
08/05/2011 03,08/05/2011 07,.000,77853.380000,7868.900,.00,7868.900
08/05/2011 04,08/05/2011 08,.000,75629.041000,7720.100,.00,7720.100
08/05/2011 05,08/05/2011 09,.000,75438.699000,7862.300,.00,7862.300
08/05/2011 06,08/05/2011 10,.000,77966.452000,7707.700,.00,7707.700
08/05/2011 07,08/05/2011 11,.000,82208.027000,7796.000,.00,7796.000
08/05/2011 08,08/05/2011 12,.000,88337.417000,7932.400,.00,7932.400
08/05/2011 09,08/05/2011 13,.000,95226.125000,7966.900,.00,7966.900
08/05/2011 10,08/05/2011 14,.010,101711.726000,7852.800,78.54,7852.800
08/05/2011 11,08/05/2011 15,.020,108130.594000,7787.200,155.73,7787.200
08/05/2011 12,08/05/2011 16,.020,113048.235000,7827.200,156.54,7827.200
08/05/2011 13,08/05/2011 17,.040,117332.681000,7837.500,313.52,7837.500
08/05/2011 14,08/05/2011 18,.050,120671.869000,7837.700,392.01,7837.700
08/05/2011 15,08/05/2011 19,.100,123299.609000,7883.200,788.32,7883.200
08/05/2011 16,08/05/2011 20,.750,124632.454000,7842.400,5881.94,7842.400
08/05/2011 17,08/05/2011 21,.750,125579.656000,7822.300,5866.88,7822.300
08/05/2011 18,08/05/2011 22,.080,125086.921000,7847.200,627.80,7847.200
08/05/2011 19,08/05/2011 23,.040,121810.809000,7732.500,309.27,7732.500
08/05/2011 20,08/06/2011 00,.020,116538.952000,7728.200,154.55,7728.200
08/05/2011 21,08/06/2011 01,.040,113166.298000,7745.000,309.79,7745.000
