Preliminary Day-ahead Scheduling Reserve Summary
Month:,"October, 2011" ,Report Creation Timestamp (EPT):, 07/02/2012 11:46:01 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
10/01/2011 01,10/01/2011 05,.000,64669.432000,4534.300,.00,4534.300
10/01/2011 02,10/01/2011 06,.000,61737.449000,4258.400,.00,4258.400
10/01/2011 03,10/01/2011 07,.000,59818.435000,4200.900,.00,4200.900
10/01/2011 04,10/01/2011 08,.000,58798.636000,4258.400,.00,4258.400
10/01/2011 05,10/01/2011 09,.000,58691.634000,4258.400,.00,4258.400
10/01/2011 06,10/01/2011 10,.000,59816.773000,4248.400,.00,4248.400
10/01/2011 07,10/01/2011 11,.000,62368.747000,4278.400,.00,4278.400
10/01/2011 08,10/01/2011 12,.000,65319.646000,4278.400,.00,4278.400
10/01/2011 09,10/01/2011 13,.000,68651.636000,4261.800,.00,4261.800
10/01/2011 10,10/01/2011 14,.000,72073.050000,4234.000,.00,4234.000
10/01/2011 11,10/01/2011 15,.000,74042.545000,4261.500,.00,4261.500
10/01/2011 12,10/01/2011 16,.000,74484.891000,4215.800,.00,4215.800
10/01/2011 13,10/01/2011 17,.000,74106.428000,4278.400,.00,4278.400
10/01/2011 14,10/01/2011 18,.000,73364.165000,4276.800,.00,4276.800
10/01/2011 15,10/01/2011 19,.000,72634.655000,4265.700,.00,4265.700
10/01/2011 16,10/01/2011 20,.000,72163.065000,4183.900,.00,4183.900
10/01/2011 17,10/01/2011 21,.000,72249.813000,4236.700,.00,4236.700
10/01/2011 18,10/01/2011 22,.000,72805.914000,4231.700,.00,4231.700
10/01/2011 19,10/01/2011 23,.000,73565.897000,4242.400,.00,4242.400
10/01/2011 20,10/02/2011 00,.000,76085.787000,4159.100,.00,4159.100
10/01/2011 21,10/02/2011 01,.000,76088.010000,4174.000,.00,4174.000
10/01/2011 22,10/02/2011 02,.000,73743.135000,4197.400,.00,4197.400
10/01/2011 23,10/02/2011 03,.000,70255.589000,4243.800,.00,4243.800
10/01/2011 24,10/02/2011 04,.000,65952.675000,4242.300,.00,4242.300
10/02/2011 01,10/02/2011 05,.000,62137.427000,4288.300,.00,4288.300
10/02/2011 02,10/02/2011 06,.000,59617.199000,4287.100,.00,4287.100
10/02/2011 03,10/02/2011 07,.000,58054.349000,4286.000,.00,4286.000
10/02/2011 04,10/02/2011 08,.000,57234.535000,4266.900,.00,4266.900
10/02/2011 05,10/02/2011 09,.000,57107.386000,4285.900,.00,4285.900
10/02/2011 06,10/02/2011 10,.000,58042.426000,4289.400,.00,4289.400
10/02/2011 07,10/02/2011 11,.000,59870.208000,4268.900,.00,4268.900
10/02/2011 08,10/02/2011 12,.000,62388.157000,4261.900,.00,4261.900
10/02/2011 09,10/02/2011 13,.000,65935.924000,4258.900,.00,4258.900
10/02/2011 10,10/02/2011 14,.000,68842.108000,4258.900,.00,4258.900
10/02/2011 11,10/02/2011 15,.000,70265.867000,4392.000,.00,4392.000
10/02/2011 12,10/02/2011 16,.000,71016.976000,4222.100,.00,4222.100
