Preliminary Day-ahead Scheduling Reserve Summary
Month:,"August, 2012" ,Report Creation Timestamp (EPT):, 03/05/2013 12:11:47 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/01/2012 01,08/01/2012 05,.000,89517.344000,6478.400,.00,6478.400
08/01/2012 02,08/01/2012 06,.000,83831.182000,6480.700,.00,6480.700
08/01/2012 03,08/01/2012 07,.000,80272.271000,6508.700,.00,6508.700
08/01/2012 04,08/01/2012 08,.000,77952.818000,6507.800,.00,6507.800
08/01/2012 05,08/01/2012 09,.000,77677.210000,6506.900,.00,6506.900
08/01/2012 06,08/01/2012 10,.000,80429.553000,6733.100,.00,6733.100
08/01/2012 07,08/01/2012 11,.000,85344.108000,7337.800,.00,7337.800
08/01/2012 08,08/01/2012 12,.000,90981.690000,7895.300,.00,7895.300
08/01/2012 09,08/01/2012 13,.000,97028.540000,7837.400,.00,7837.400
08/01/2012 10,08/01/2012 14,.010,103002.404000,7961.600,79.67,7961.600
08/01/2012 11,08/01/2012 15,.020,109329.841000,7804.000,156.11,7804.000
08/01/2012 12,08/01/2012 16,.020,115279.349000,7853.200,157.10,7853.200
08/01/2012 13,08/01/2012 17,.100,119528.195000,7836.200,783.62,7836.200
08/01/2012 14,08/01/2012 18,.150,123055.291000,8031.800,1204.89,8031.800
08/01/2012 15,08/01/2012 19,.800,125827.575000,8196.100,6556.88,8196.100
08/01/2012 16,08/01/2012 20,1.000,127789.163000,8155.201,8155.19,8155.201
08/01/2012 17,08/01/2012 21,1.000,128963.537000,8154.599,8154.61,8154.599
08/01/2012 18,08/01/2012 22,1.000,128652.040000,8130.898,8130.92,8130.898
08/01/2012 19,08/01/2012 23,.150,125832.705000,7990.400,1198.69,7990.400
08/01/2012 20,08/02/2012 00,.050,121531.266000,7745.901,387.41,7745.901
08/01/2012 21,08/02/2012 01,.020,118194.247000,7551.800,151.08,7551.800
08/01/2012 22,08/02/2012 02,.010,115192.606000,7503.300,75.08,7503.300
08/01/2012 23,08/02/2012 03,.000,106958.857000,6629.500,.00,6629.500
08/01/2012 24,08/02/2012 04,.000,97323.258000,6778.800,.00,6778.800
08/02/2012 01,08/02/2012 05,.000,89146.983000,6486.900,.00,6486.900
08/02/2012 02,08/02/2012 06,.000,83053.892000,5993.500,.00,5993.500
08/02/2012 03,08/02/2012 07,.000,79299.627000,6396.600,.00,6396.600
08/02/2012 04,08/02/2012 08,.000,76956.155000,6397.500,.00,6397.500
08/02/2012 05,08/02/2012 09,.000,76703.314000,6395.500,.00,6395.500
08/02/2012 06,08/02/2012 10,.000,79558.036000,6233.100,.00,6233.100
08/02/2012 07,08/02/2012 11,.000,84216.565000,7248.600,.00,7248.600
08/02/2012 08,08/02/2012 12,.000,90349.098000,7480.600,.00,7480.600
08/02/2012 09,08/02/2012 13,.000,97819.169000,7648.400,.00,7648.400
08/02/2012 10,08/02/2012 14,.020,105547.976000,7735.600,154.72,7735.600
08/02/2012 11,08/02/2012 15,.020,113405.942000,7789.000,155.81,7789.000
08/02/2012 12,08/02/2012 16,.020,120642.858000,7978.600,159.58,7978.600
08/02/2012 13,08/02/2012 17,.100,126779.324000,7805.200,780.52,7805.200
08/02/2012 14,08/02/2012 18,1.000,132018.243000,8015.601,8015.61,8015.601
08/02/2012 15,08/02/2012 19,5.000,135810.356000,7737.299,38686.50,7737.299
08/02/2012 16,08/02/2012 20,10.000,138341.144000,7951.400,79514.00,7951.400
08/02/2012 17,08/02/2012 21,12.000,138962.647000,8023.300,96279.61,8023.300
08/02/2012 18,08/02/2012 22,12.000,138310.350000,7995.999,95952.01,7995.999
08/02/2012 19,08/02/2012 23,1.090,135528.344000,7658.500,8347.92,7658.500
08/02/2012 20,08/03/2012 00,1.000,130631.822000,7657.800,7657.80,7657.800
08/02/2012 21,08/03/2012 01,.110,126666.063000,7748.500,852.36,7748.500
08/02/2012 22,08/03/2012 02,.020,122741.475000,7663.500,153.30,7663.500
08/02/2012 23,08/03/2012 03,.010,114057.005000,6628.400,66.29,6628.400
08/02/2012 24,08/03/2012 04,.000,103953.422000,6684.600,.00,6684.600
08/03/2012 01,08/03/2012 05,.000,95276.173000,6832.600,.00,6832.600
08/03/2012 02,08/03/2012 06,.000,88584.903000,6446.600,.00,6446.600
08/03/2012 03,08/03/2012 07,.000,84230.606000,6420.600,.00,6420.600
