Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2012 ",Report Creation Timestamp (EPT):, 03/26/2013 11:15:01 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/01/2012 01,11/01/2012 05,0,69539.229,4936.3,0,4936.3
11/01/2012 02,11/01/2012 06,0,67536.626,4975.2,0,4975.2
11/01/2012 03,11/01/2012 07,0,66309.01,4980.3,0,4980.3
11/01/2012 04,11/01/2012 08,0,66078.285,4699.2,0,4699.2
11/01/2012 05,11/01/2012 09,0,67289.778,4911.1,0,4911.1
11/01/2012 06,11/01/2012 10,0.01,71671.539,4461.6,44.62,4461.6
11/01/2012 07,11/01/2012 11,0.05,79356.691,4731.1,236.67,4731.1
11/01/2012 08,11/01/2012 12,0.8,85010.663,5986.9,4789.52,5986.9
11/01/2012 09,11/01/2012 13,1,85759.653,5979.6,5979.59,5979.6
11/01/2012 10,11/01/2012 14,0.3,85447.359,5993.4,1798.02,5993.4
11/01/2012 11,11/01/2012 15,0.05,84492.117,6007,300.43,6007
11/01/2012 12,11/01/2012 16,0.02,84355.602,6019.4,120.39,6019.4
11/01/2012 13,11/01/2012 17,0.02,83954.485,5974.4,119.48,5974.4
11/01/2012 14,11/01/2012 18,0.02,83212.565,6019.7,120.39,6019.7
11/01/2012 15,11/01/2012 19,0.04,82411.113,5914.9,236.59,5914.9
11/01/2012 16,11/01/2012 20,0.02,81942.059,5978.3,119.55,5978.3
11/01/2012 17,11/01/2012 21,0.01,82088.019,5358.9,53.61,5358.9
11/01/2012 18,11/01/2012 22,0.02,83393.085,4415.7,88.31,4415.7
11/01/2012 19,11/01/2012 23,0.11,86947.782,4417.2,485.93,4417.2
11/01/2012 20,11/02/2012 00,0.1,88890.013,4440.7,444.07,4440.7
11/01/2012 21,11/02/2012 01,0.02,87670.271,4415.6,88.31,4415.6
11/01/2012 22,11/02/2012 02,0.02,85009.127,4400.3,88.01,4400.3
11/01/2012 23,11/02/2012 03,0,80044.179,4174.3,0,4174.3
11/01/2012 24,11/02/2012 04,0,74956.532,4219.9,0,4219.9
11/02/2012 01,11/02/2012 05,0,70262.953,4761.9,0,4761.9
11/02/2012 02,11/02/2012 06,0,68026.119,4751.1,0,4751.1
11/02/2012 03,11/02/2012 07,0,66737.257,4761.1,0,4761.1
11/02/2012 04,11/02/2012 08,0,66735.217,4949.6,0,4949.6
11/02/2012 05,11/02/2012 09,0,68195.583,4743.2,0,4743.2
11/02/2012 06,11/02/2012 10,0,72890.791,4681.5,0,4681.5
11/02/2012 07,11/02/2012 11,0.04,81004.239,5079.2,203.2,5079.2
11/02/2012 08,11/02/2012 12,0.05,86846.383,5975.5,298.9,5975.5
11/02/2012 09,11/02/2012 13,0.05,87424.308,5707.1,285.47,5707.1
11/02/2012 10,11/02/2012 14,0.05,86870.937,5724.4,286.34,5724.4
11/02/2012 11,11/02/2012 15,0.02,86274.668,5693,113.86,5693
11/02/2012 12,11/02/2012 16,0.02,84963.471,5697.7,113.95,5697.7
11/02/2012 13,11/02/2012 17,0.02,83863.611,5727.3,114.53,5727.3
11/02/2012 14,11/02/2012 18,0.01,83291.078,5763.1,57.63,5763.1
11/02/2012 15,11/02/2012 19,0.01,82354.904,5657.1,56.58,5657.1
11/02/2012 16,11/02/2012 20,0,81481.677,5660.6,0,5660.6
11/02/2012 17,11/02/2012 21,0,81719.977,5333.6,0,5333.6
11/02/2012 18,11/02/2012 22,0.02,82818.543,4544.7,90.88,4544.7
11/02/2012 19,11/02/2012 23,0.04,86180.803,3732.5,149.28,3732.5
11/02/2012 20,11/03/2012 00,0.01,87400.823,3755.7,37.61,3755.7
11/02/2012 21,11/03/2012 01,0,86009.964,3826.3,0,3826.3
11/02/2012 22,11/03/2012 02,0,83803.476,3916,0,3916
11/02/2012 23,11/03/2012 03,0,79964.92,3781,0,3781
11/02/2012 24,11/03/2012 04,0,75229.517,3918.8,0,3918.8
11/03/2012 01,11/03/2012 05,0,71357.697,3926.4,0,3926.4
11/03/2012 02,11/03/2012 06,0,68632.185,3903.5,0,3903.5
11/03/2012 03,11/03/2012 07,0,67368.468,3925,0,3925
11/03/2012 04,11/03/2012 08,0,66918.008,3911.6,0,3911.6
11/03/2012 05,11/03/2012 09,0,67480.044,3881.9,0,3881.9
11/03/2012 06,11/03/2012 10,0,69248.126,4154.4,0,4154.4
11/03/2012 07,11/03/2012 11,0,72505.817,3881.8,0,3881.8
11/03/2012 08,11/03/2012 12,0.02,76465.077,3695.6,73.9,3695.6
11/03/2012 09,11/03/2012 13,0.04,79295.072,3870.4,154.81,3870.4
11/03/2012 10,11/03/2012 14,0.05,81086.179,3886.9,194.5,3886.9
11/03/2012 11,11/03/2012 15,0.02,81400.676,3887.5,77.75,3887.5
11/03/2012 12,11/03/2012 16,0.02,80613.023,3881.5,77.65,3881.5
11/03/2012 13,11/03/2012 17,0,79381.921,3790.6,0,3790.6
11/03/2012 14,11/03/2012 18,0,78152.943,3933.5,0,3933.5
11/03/2012 15,11/03/2012 19,0,76905.492,3830.8,0,3830.8
11/03/2012 16,11/03/2012 20,0,76416.652,3913.6,0,3913.6
11/03/2012 17,11/03/2012 21,0,76757.929,3616.5,0,3616.5
11/03/2012 18,11/03/2012 22,0,78387.15,3666,0,3666
11/03/2012 19,11/03/2012 23,0.04,82203.787,3767.4,150.73,3767.4
11/03/2012 20,11/04/2012 00,0.02,83599.507,3727.6,74.56,3727.6
11/03/2012 21,11/04/2012 01,0.01,82804.633,3708.9,37.11,3708.9
11/03/2012 22,11/04/2012 02,0.01,80604.846,3681.2,36.85,3681.2
11/03/2012 23,11/04/2012 03,0,77441.067,3659.5,0,3659.5
11/03/2012 24,11/04/2012 04,0,73478.301,3656.5,0,3656.5
11/04/2012 01,11/04/2012 05,0,69795.348,4020.2,0,4020.2
11/04/2012 02,11/04/2012 06,0,67275.396,4176.7,0,4176.7
11/04/2012 02,11/04/2012 07,0,65520.677,4164.4,0,4164.4
11/04/2012 03,11/04/2012 08,0,65161.283,4426.1,0,4426.1
11/04/2012 04,11/04/2012 09,0,65259.436,4422,0,4422
11/04/2012 05,11/04/2012 10,0,65899.442,4166.4,0,4166.4
11/04/2012 06,11/04/2012 11,0,67354.732,4250.1,0,4250.1
11/04/2012 07,11/04/2012 12,0,70355.001,4094.8,0,4094.8
11/04/2012 08,11/04/2012 13,0,73150.2,4168.5,0,4168.5
11/04/2012 09,11/04/2012 14,0.01,75762.757,4273.8,42.76,4273.8
11/04/2012 10,11/04/2012 15,0.01,76674.246,4269.4,42.7,4269.4
11/04/2012 11,11/04/2012 16,0.01,76213.568,4164.3,41.68,4164.3
11/04/2012 12,11/04/2012 17,0,75725.532,4231.9,0,4231.9
11/04/2012 13,11/04/2012 18,0,75526.468,4260.6,0,4260.6
11/04/2012 14,11/04/2012 19,0,74763.427,4334.6,0,4334.6
11/04/2012 15,11/04/2012 20,0,74349.591,4334.2,0,4334.2
11/04/2012 16,11/04/2012 21,0,75254.81,3988.5,0,3988.5
11/04/2012 17,11/04/2012 22,0.01,77710.855,4124.6,41.28,4124.6
11/04/2012 18,11/04/2012 23,0.05,83354.467,4318.4,216.07,4318.4
11/04/2012 19,11/05/2012 00,0.05,85794.224,4271.8,213.75,4271.8
11/04/2012 20,11/05/2012 01,0.02,85414.174,4176.5,83.53,4176.5
11/04/2012 21,11/05/2012 02,0.02,84547.246,4162.1,83.25,4162.1
11/04/2012 22,11/05/2012 03,0,81503.355,4039.6,0,4039.6
11/04/2012 23,11/05/2012 04,0,77524.805,4165.1,0,4165.1
11/04/2012 24,11/05/2012 05,0,72810.344,4333,0,4333
11/05/2012 01,11/05/2012 06,0,70846.854,4784.6,0,4784.6
11/05/2012 02,11/05/2012 07,0,69487.449,4785.7,0,4785.7
11/05/2012 03,11/05/2012 08,0,69178.26,4785.6,0,4785.6
11/05/2012 04,11/05/2012 09,0,69894.281,4710.7,0,4710.7
11/05/2012 05,11/05/2012 10,0,72320.406,4791.9,0,4791.9
11/05/2012 06,11/05/2012 11,0,77870.021,4722.8,0,4722.8
11/05/2012 07,11/05/2012 12,0.02,86829.477,5000.1,99.95,5000.1
11/05/2012 08,11/05/2012 13,0.02,91522.268,5896,117.89,5896
11/05/2012 09,11/05/2012 14,0.02,92129.16,6282,125.61,6282
11/05/2012 10,11/05/2012 15,0.04,91515.053,6282,251.33,6282
11/05/2012 11,11/05/2012 16,0.02,90689.928,6281.9,125.59,6281.9
11/05/2012 12,11/05/2012 17,0.01,89545.752,6231.1,62.32,6231.1
11/05/2012 13,11/05/2012 18,0.01,88189.326,6190.3,61.91,6190.3
11/05/2012 14,11/05/2012 19,0,87181.355,6183.9,0,6183.9
11/05/2012 15,11/05/2012 20,0,86159.578,6152.8,0,6152.8
11/05/2012 16,11/05/2012 21,0,86016.228,6217.7,0,6217.7
11/05/2012 17,11/05/2012 22,0,88086.399,5877.2,0,5877.2
11/05/2012 18,11/05/2012 23,0.05,94346.77,5063.4,253.27,5063.4
11/05/2012 19,11/06/2012 00,0.05,97005.97,4994.2,249.79,4994.2
11/05/2012 20,11/06/2012 01,0.04,96432.795,5052.8,202.16,5052.8
11/05/2012 21,11/06/2012 02,0.02,94848.63,5019.9,100.35,5019.9
11/05/2012 22,11/06/2012 03,0,91386.553,4959.6,0,4959.6
11/05/2012 23,11/06/2012 04,0,86272.426,4507.3,0,4507.3
11/05/2012 24,11/06/2012 05,0,81322.444,4389.7,0,4389.7
11/06/2012 01,11/06/2012 06,0,77735.441,4340,0,4340
11/06/2012 02,11/06/2012 07,0,76132.407,4131.1,0,4131.1
11/06/2012 03,11/06/2012 08,0,75602.734,4031.1,0,4031.1
11/06/2012 04,11/06/2012 09,0,76278.98,4340,0,4340
11/06/2012 05,11/06/2012 10,0,78462.944,4235,0,4235
11/06/2012 06,11/06/2012 11,0,84054.936,3948,0,3948
11/06/2012 07,11/06/2012 12,0.01,92019.821,4263.2,42.67,4263.2
11/06/2012 08,11/06/2012 13,0.04,95236.819,5508.6,220.41,5508.6
11/06/2012 09,11/06/2012 14,0.04,94815.553,5475.3,219,5475.3
11/06/2012 10,11/06/2012 15,0.02,93248.285,5481,109.63,5481
11/06/2012 11,11/06/2012 16,0.02,91915.337,5443,108.88,5443
11/06/2012 12,11/06/2012 17,0.01,90448.043,5459.8,54.61,5459.8
11/06/2012 13,11/06/2012 18,0.01,89027.701,5476.1,54.77,5476.1
11/06/2012 14,11/06/2012 19,0,87881.67,5498.2,0,5498.2
11/06/2012 15,11/06/2012 20,0,86979.685,5533.4,0,5533.4
11/06/2012 16,11/06/2012 21,0,86763.039,5543,0,5543
11/06/2012 17,11/06/2012 22,0,88836.519,5358,0,5358
11/06/2012 18,11/06/2012 23,0.05,94960.618,4696.6,234.92,4696.6
11/06/2012 19,11/07/2012 00,0.05,97480.015,4686.8,234.46,4686.8
11/06/2012 20,11/07/2012 01,0.02,96727.025,4514.1,90.28,4514.1
11/06/2012 21,11/07/2012 02,0.01,94894.998,4174.8,41.75,4174.8
11/06/2012 22,11/07/2012 03,0,91265.857,4174.9,0,4174.9
11/06/2012 23,11/07/2012 04,0,85843.418,3915,0,3915
11/06/2012 24,11/07/2012 05,0,80690.414,3950,0,3950
11/07/2012 01,11/07/2012 06,0,76831.42,4916.9,0,4916.9
11/07/2012 02,11/07/2012 07,0,74631.404,4946,0,4946
11/07/2012 03,11/07/2012 08,0,73491.453,5110.2,0,5110.2
11/07/2012 04,11/07/2012 09,0,73314.873,4945.9,0,4945.9
11/07/2012 05,11/07/2012 10,0,75062.125,4728.9,0,4728.9
