Preliminary Day-ahead Scheduling Reserve Summary
Month:,"December, 2012" ,Report Creation Timestamp (EPT):, 03/26/2013 11:44:32 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
12/31/2012 19,01/01/2013 00,.000,100924.746000,6879.800,.00,6879.800
12/31/2012 20,01/01/2013 01,.000,97674.619000,6830.600,.00,6830.600
12/31/2012 21,01/01/2013 02,.000,94086.872000,7112.700,.00,7112.700
12/31/2012 22,01/01/2013 03,.000,90452.328000,7112.600,.00,7112.600
12/31/2012 23,01/01/2013 04,.000,86464.708000,6665.700,.00,6665.700
12/31/2012 24,01/01/2013 05,.000,82786.706000,6595.000,.00,6595.000
12/01/2012 01,12/01/2012 06,.000,76828.691000,4402.700,.00,4402.700
12/01/2012 02,12/01/2012 07,.000,74218.944000,4521.600,.00,4521.600
12/01/2012 03,12/01/2012 08,.000,73023.156000,4521.800,.00,4521.800
12/01/2012 04,12/01/2012 09,.000,72740.214000,4410.900,.00,4410.900
12/01/2012 05,12/01/2012 10,.000,73521.285000,4508.100,.00,4508.100
12/01/2012 06,12/01/2012 11,.000,75827.648000,4324.100,.00,4324.100
12/01/2012 07,12/01/2012 12,.000,79317.505000,4366.200,.00,4366.200
12/01/2012 08,12/01/2012 13,.000,82811.059000,4423.600,.00,4423.600
12/01/2012 09,12/01/2012 14,.000,85242.033000,4386.800,.00,4386.800
12/01/2012 10,12/01/2012 15,.000,85909.903000,4098.000,.00,4098.000
12/01/2012 11,12/01/2012 16,.000,84965.529000,4494.100,.00,4494.100
12/01/2012 12,12/01/2012 17,.000,83223.194000,4578.600,.00,4578.600
12/01/2012 13,12/01/2012 18,.000,81189.957000,4401.800,.00,4401.800
12/01/2012 14,12/01/2012 19,.000,79174.660000,4403.000,.00,4403.000
12/01/2012 15,12/01/2012 20,.000,77868.564000,4393.100,.00,4393.100
12/01/2012 16,12/01/2012 21,.000,77609.090000,4308.000,.00,4308.000
12/01/2012 17,12/01/2012 22,.000,80385.571000,4254.000,.00,4254.000
12/01/2012 18,12/01/2012 23,.000,87377.158000,4046.800,.00,4046.800
12/01/2012 19,12/02/2012 00,.000,88592.342000,4119.900,.00,4119.900
12/01/2012 20,12/02/2012 01,.000,87728.956000,4274.200,.00,4274.200
12/01/2012 21,12/02/2012 02,.000,86837.396000,4348.400,.00,4348.400
12/01/2012 22,12/02/2012 03,.000,84581.636000,4320.200,.00,4320.200
