Preliminary Day-ahead Scheduling Reserve Summary
Month:,"February, 2013" ,Report Creation Timestamp (EPT):, 03/26/2013 12:58:16 PM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
02/01/2013 01,02/01/2013 06,.000,90295.634000,6221.800,.00,6221.800
02/01/2013 02,02/01/2013 07,.000,88578.938000,6281.800,.00,6281.800
02/01/2013 03,02/01/2013 08,.000,87970.119000,6290.000,.00,6290.000
02/01/2013 04,02/01/2013 09,.000,88235.185000,6281.800,.00,6281.800
02/01/2013 05,02/01/2013 10,.000,90193.536000,6269.800,.00,6269.800
02/01/2013 06,02/01/2013 11,.000,95573.860000,6439.800,.00,6439.800
02/01/2013 07,02/01/2013 12,.000,104662.591000,6622.800,.00,6622.800
02/01/2013 08,02/01/2013 13,.040,110491.570000,6472.300,258.86,6472.300
02/01/2013 09,02/01/2013 14,.010,111314.452000,6796.500,67.98,6796.500
02/01/2013 10,02/01/2013 15,.000,111247.020000,6834.200,.00,6834.200
02/01/2013 11,02/01/2013 16,.000,110695.923000,7114.200,.00,7114.200
02/01/2013 12,02/01/2013 17,.000,109406.379000,7119.800,.00,7119.800
02/01/2013 13,02/01/2013 18,.000,108002.690000,7116.200,.00,7116.200
02/01/2013 14,02/01/2013 19,.000,106790.110000,6965.400,.00,6965.400
02/01/2013 15,02/01/2013 20,.000,105709.870000,6872.900,.00,6872.900
02/01/2013 16,02/01/2013 21,.000,104945.171000,6691.000,.00,6691.000
02/01/2013 17,02/01/2013 22,.000,106476.342000,6888.100,.00,6888.100
02/01/2013 18,02/01/2013 23,.050,111274.248000,7097.600,355.10,7097.600
02/01/2013 19,02/02/2013 00,.750,115908.656000,7249.800,5437.49,7249.800
02/01/2013 20,02/02/2013 01,.250,115157.539000,7216.100,1804.21,7216.100
02/01/2013 21,02/02/2013 02,.050,113571.971000,7104.400,355.44,7104.400
02/01/2013 22,02/02/2013 03,.010,110883.364000,6784.100,67.83,6784.100
02/01/2013 23,02/02/2013 04,.000,106625.322000,6169.800,.00,6169.800
02/01/2013 24,02/02/2013 05,.000,101729.487000,6027.700,.00,6027.700
02/02/2013 01,02/02/2013 06,.000,97724.510000,6120.900,.00,6120.900
02/02/2013 02,02/02/2013 07,.000,95864.965000,6190.900,.00,6190.900
02/02/2013 03,02/02/2013 08,.000,94796.781000,6190.900,.00,6190.900
02/02/2013 04,02/02/2013 09,.000,94603.419000,6190.900,.00,6190.900
02/02/2013 05,02/02/2013 10,.000,95176.034000,6026.000,.00,6026.000
02/02/2013 06,02/02/2013 11,.000,97326.038000,6190.900,.00,6190.900
02/02/2013 07,02/02/2013 12,.000,100529.205000,6043.800,.00,6043.800
02/02/2013 08,02/02/2013 13,.010,103856.737000,5579.000,55.73,5579.000
02/02/2013 09,02/02/2013 14,.050,105333.593000,5654.000,282.85,5654.000
02/02/2013 10,02/02/2013 15,.050,105708.305000,5566.801,278.48,5566.801
02/02/2013 11,02/02/2013 16,.050,105364.961000,5873.300,293.78,5873.300
02/02/2013 12,02/02/2013 17,.000,104121.443000,6120.900,.00,6120.900
02/02/2013 13,02/02/2013 18,.000,102243.347000,6173.900,.00,6173.900
02/02/2013 14,02/02/2013 19,.000,100324.541000,5948.700,.00,5948.700
02/02/2013 15,02/02/2013 20,.000,98890.637000,6010.200,.00,6010.200
02/02/2013 16,02/02/2013 21,.000,98557.381000,6092.400,.00,6092.400
02/02/2013 17,02/02/2013 22,.000,99974.899000,6022.200,.00,6022.200
02/02/2013 18,02/02/2013 23,.000,103672.990000,5867.400,.00,5867.400
02/02/2013 19,02/03/2013 00,.050,106700.540000,5653.700,282.81,5653.700
02/02/2013 20,02/03/2013 01,.000,106037.431000,5870.400,.00,5870.400
02/02/2013 21,02/03/2013 02,.000,104424.478000,6137.800,.00,6137.800
02/02/2013 22,02/03/2013 03,.000,101501.800000,6173.900,.00,6173.900
02/02/2013 23,02/03/2013 04,.000,97117.563000,5823.500,.00,5823.500
02/02/2013 24,02/03/2013 05,.000,92457.639000,6157.000,.00,6157.000
02/03/2013 01,02/03/2013 06,.000,88450.842000,6176.600,.00,6176.600
02/03/2013 02,02/03/2013 07,.000,86098.952000,5887.900,.00,5887.900
02/03/2013 03,02/03/2013 08,.000,84760.866000,5931.600,.00,5931.600
02/03/2013 04,02/03/2013 09,.000,84505.033000,6230.900,.00,6230.900
02/03/2013 05,02/03/2013 10,.000,84900.752000,6095.600,.00,6095.600
02/03/2013 06,02/03/2013 11,.000,86523.103000,6142.100,.00,6142.100
02/03/2013 07,02/03/2013 12,.000,89034.261000,6110.100,.00,6110.100
02/03/2013 08,02/03/2013 13,.000,91940.374000,5908.000,.00,5908.000
02/03/2013 09,02/03/2013 14,.000,94680.939000,5927.700,.00,5927.700
02/03/2013 10,02/03/2013 15,.000,96607.670000,5937.200,.00,5937.200
02/03/2013 11,02/03/2013 16,.000,96862.663000,6132.600,.00,6132.600
02/03/2013 12,02/03/2013 17,.000,96116.166000,6187.100,.00,6187.100
02/03/2013 13,02/03/2013 18,.000,95195.509000,6085.200,.00,6085.200
02/03/2013 14,02/03/2013 19,.000,94059.251000,6088.100,.00,6088.100
02/03/2013 15,02/03/2013 20,.000,93373.149000,6049.300,.00,6049.300
02/03/2013 16,02/03/2013 21,.000,93788.040000,6277.400,.00,6277.400
02/03/2013 17,02/03/2013 22,.000,95713.744000,6011.600,.00,6011.600
02/03/2013 18,02/03/2013 23,.000,100372.628000,5983.800,.00,5983.800
02/03/2013 19,02/04/2013 00,.000,103282.116000,5926.600,.00,5926.600
02/03/2013 20,02/04/2013 01,.000,101687.176000,5942.500,.00,5942.500
02/03/2013 21,02/04/2013 02,.000,100605.499000,5964.100,.00,5964.100
02/03/2013 22,02/04/2013 03,.000,98904.073000,6177.600,.00,6177.600
02/03/2013 23,02/04/2013 04,.000,95596.337000,6119.000,.00,6119.000
02/03/2013 24,02/04/2013 05,.000,92729.352000,6176.700,.00,6176.700
02/04/2013 01,02/04/2013 06,.000,89302.772000,6791.300,.00,6791.300
02/04/2013 02,02/04/2013 07,.000,87858.041000,7167.100,.00,7167.100
02/04/2013 03,02/04/2013 08,.000,87514.603000,6791.100,.00,6791.100
02/04/2013 04,02/04/2013 09,.000,88241.327000,6956.200,.00,6956.200
02/04/2013 05,02/04/2013 10,.000,90800.812000,6836.300,.00,6836.300
02/04/2013 06,02/04/2013 11,.000,96428.257000,6949.900,.00,6949.900
02/04/2013 07,02/04/2013 12,.050,105664.087000,7025.500,351.37,7025.500
02/04/2013 08,02/04/2013 13,.050,110865.833000,6842.800,342.26,6842.800
02/04/2013 09,02/04/2013 14,.050,110445.203000,6872.700,343.72,6872.700
02/04/2013 10,02/04/2013 15,.050,109143.195000,6864.800,343.40,6864.800
02/04/2013 11,02/04/2013 16,.040,108272.181000,7083.500,283.31,7083.500
02/04/2013 12,02/04/2013 17,.000,106604.340000,6980.200,.00,6980.200
02/04/2013 13,02/04/2013 18,.000,104888.566000,7271.500,.00,7271.500
02/04/2013 14,02/04/2013 19,.000,103778.864000,7248.500,.00,7248.500
02/04/2013 15,02/04/2013 20,.000,102680.203000,7136.000,.00,7136.000
02/04/2013 16,02/04/2013 21,.000,102264.497000,7214.600,.00,7214.600
02/04/2013 17,02/04/2013 22,.000,103392.811000,6685.500,.00,6685.500
02/04/2013 18,02/04/2013 23,.040,107539.173000,6376.700,255.07,6376.700
02/04/2013 19,02/05/2013 00,.050,111836.824000,6274.900,313.85,6274.900
02/04/2013 20,02/05/2013 01,.040,111275.812000,6050.100,241.95,6050.100
02/04/2013 21,02/05/2013 02,.010,108801.172000,6182.400,61.86,6182.400
02/04/2013 22,02/05/2013 03,.000,104301.685000,6297.500,.00,6297.500
02/04/2013 23,02/05/2013 04,.000,97856.767000,6201.000,.00,6201.000
02/04/2013 24,02/05/2013 05,.000,91601.810000,6229.000,.00,6229.000
02/05/2013 01,02/05/2013 06,.000,87266.983000,6393.700,.00,6393.700
02/05/2013 02,02/05/2013 07,.000,85041.200000,6492.200,.00,6492.200
02/05/2013 03,02/05/2013 08,.000,83836.574000,6393.700,.00,6393.700
02/05/2013 04,02/05/2013 09,.000,83767.813000,6593.700,.00,6593.700
02/05/2013 05,02/05/2013 10,.000,85690.483000,6393.700,.00,6393.700
02/05/2013 06,02/05/2013 11,.000,90769.219000,6386.800,.00,6386.800
02/05/2013 07,02/05/2013 12,.000,99577.297000,6727.700,.00,6727.700
